v15.04    Планета: Уран  (INPOP13C)
          Спутник: U1 Ариэль  (Emelyanov,Nikonchuk(2013),DOI:10.1093/mnras/stt1851..)
                            - эфемериды на инт. 1787/02/12.0-2032/01/09.0
   Обсерватория N:  84 - Pulkovo
    Шкала времени: UTC
Средний экватор и равноденствие эпохи J2000.  ICRF. 
Координаты астрометрические 
Год  Месяц День       alpha (h)          delta (º)
2007  8  1.000000    23.2866566828      -5.476077040  
2007  8  6.000000    23.2777233595      -5.535326305  
2007  8 11.000000    23.2679778611      -5.599414169  
2007  8 16.000000    23.2575159964      -5.667698180  
2007  8 21.000000    23.2464476010      -5.739433073  
2007  8 26.000000    23.2348883298      -5.813858933  
2007  8 31.000000    23.2229538570      -5.890221659  
2007  9  5.000000    23.2107583872      -5.967798487  
2007  9 10.000000    23.1984236610      -6.045810853  
2007  9 15.000000    23.1860825037      -6.123401357  
2007  9 20.000000    23.1738704340      -6.199710060  
2007  9 25.000000    23.1619181576      -6.273917267  
2007  9 30.000000    23.1503474110      -6.345285740  
2007 10  5.000000    23.1392741761      -6.413113600  
2007 10 10.000000    23.1288186254      -6.476664336  
2007 10 15.000000    23.1190999024      -6.535212906  
2007 10 20.000000    23.1102273316      -6.588098284  
2007 10 25.000000    23.1022960331      -6.634775476  
2007 10 30.000000    23.0953855195      -6.674794837  
2007 11  4.000000    23.0895696159      -6.707739805  
2007 11  9.000000    23.0849201113      -6.733194292  
2007 11 14.000000    23.0814976251      -6.750807634  
2007 11 19.000000    23.0793467734      -6.760349524  
2007 11 24.000000    23.0784940889      -6.761698928  
2007 11 29.000000    23.0789529145      -6.754818852  
2007 12  4.000000    23.0807340495      -6.739662713  
2007 12  9.000000    23.0838417914      -6.716225507  
2007 12 14.000000    23.0882665169      -6.684583465  
2007 12 19.000000    23.0939829460      -6.644928457  
2007 12 24.000000    23.1009515211      -6.597533726  
2007 12 29.000000    23.1091279458      -6.542682148  
2008  1  3.000000    23.1184685258      -6.480655752  
2008  1  8.000000    23.1289216151      -6.411768238  
2008  1 13.000000    23.1404243354      -6.336426614  
2008  1 18.000000    23.1529019758      -6.255111464  
2008  1 23.000000    23.1662741136      -6.168331548  
2008  1 28.000000    23.1804638641      -6.076563280  
2008  2  2.000000    23.1953950256      -5.980274091  
2008  2  7.000000    23.2109850088      -5.879979124  
2008  2 12.000000    23.2271430745      -5.776257417  
2008  2 17.000000    23.2437724409      -5.669730651  
2008  2 22.000000    23.2607795160      -5.560984276  
2008  2 27.000000    23.2780774591      -5.450558300  
2008  3  3.000000    23.2955790409      -5.338998049  
2008  3  8.000000    23.3131923269      -5.226889849  
2008  3 13.000000    23.3308199976      -5.114868553  
2008  3 18.000000    23.3483651798      -5.003552681  
2008  3 23.000000    23.3657402252      -4.893495771  
2008  3 28.000000    23.3828628521      -4.785215456  
2008  4  2.000000    23.3996495032      -4.679243309  
2008  4  7.000000    23.4160132732      -4.576149657  
2008  4 12.000000    23.4318648073      -4.476513081  
2008  4 17.000000    23.4471226320      -4.380856751  
2008  4 22.000000    23.4617154137      -4.289622461  
2008  4 27.000000    23.4755748915      -4.203243848  
2008  5  2.000000    23.4886315932      -4.122166787  
2008  5  7.000000    23.5008140899      -4.046857147  
2008  5 12.000000    23.5120544376      -3.977752090  
2008  5 17.000000    23.5222978216      -3.915180841  
2008  5 22.000000    23.5314980617      -3.859423827  
2008  5 27.000000    23.5396108462      -3.810751498  
2008  6  1.000000    23.5465921557      -3.769446562  
2008  6  6.000000    23.5523994912      -3.735769884  
2008  6 11.000000    23.5570020539      -3.709899785  
2008  6 16.000000    23.5603842360      -3.691897916  
2008  6 21.000000    23.5625370494      -3.681795016  
2008  6 26.000000    23.5634545256      -3.679615364  
2008  7  1.000000    23.5631332218      -3.685357704  
2008  7  6.000000    23.5615783717      -3.698965672  
2008  7 11.000000    23.5588134338      -3.720242704  
2008  7 16.000000    23.5548751052      -3.748909451  
2008  7 21.000000    23.5498057584      -3.784665260  
2008  7 26.000000    23.5436514062      -3.827190927  
2008  7 31.000000    23.5364642446      -3.876123626  
2008  8  5.000000    23.5283118334      -3.930992697  
2008  8 10.000000    23.5192795381      -3.991201069  
2008  8 15.000000    23.5094605091      -4.056117698  
2008  8 20.000000    23.4989505891      -4.125111376  
2008  8 25.000000    23.4878476252      -4.197538674  
2008  8 30.000000    23.4762576887      -4.272699371  
2008  9  4.000000    23.4643021465      -4.349788952  
2008  9  9.000000    23.4521104089      -4.427951992  
2008  9 14.000000    23.4398108600      -4.506370809  
2008  9 19.000000    23.4275274850      -4.584260766  
2008  9 24.000000    23.4153819516      -4.660853051  
2008  9 29.000000    23.4035025076      -4.735335463  
2008 10  4.000000    23.3920223561      -4.806856775  
2008 10  9.000000    23.3810691694      -4.874625176  
2008 10 14.000000    23.3707593112      -4.937932042  
2008 10 19.000000    23.3611972179      -4.996156492  
2008 10 24.000000    23.3524819802      -5.048695806  
2008 10 29.000000    23.3447135852      -5.094942646  
2008 11  3.000000    23.3379840882      -5.134339707  
2008 11  8.000000    23.3323701542      -5.166444780  
2008 11 13.000000    23.3279315581      -5.190932150  
2008 11 18.000000    23.3247139672      -5.207553789  
2008 11 23.000000    23.3227593732      -5.216073477  
2008 11 28.000000    23.3221043142      -5.216279589  
2008 12  3.000000    23.3227708421      -5.208070884  
2008 12  8.000000    23.3247637404      -5.191452405  
2008 12 13.000000    23.3280722631      -5.166532303  
2008 12 18.000000    23.3326773891      -5.133450249  
2008 12 23.000000    23.3385595886      -5.092333656  
2008 12 28.000000    23.3456907775      -5.043375991  
2009  1  2.000000    23.3540288958      -4.986862438  
2009  1  7.000000    23.3635186338      -4.923165373  
2009  1 12.000000    23.3740958111      -4.852706067  
2009  1 17.000000    23.3856967610      -4.775882379  
2009  1 22.000000    23.3982585393      -4.693087199  
2009  1 27.000000    23.4117095808      -4.604782138  
2009  2  1.000000    23.4259684381      -4.511495489  
2009  2  6.000000    23.4409462574      -4.413803537  
2009  2 11.000000    23.4565537775      -4.312273719  
2009  2 16.000000    23.4727079994      -4.207417683  
2009  2 21.000000    23.4893253003      -4.099768290  
2009  2 26.000000    23.5063153342      -3.989912326  
2009  3  3.000000    23.5235817051      -3.878471468  
2009  3  8.000000    23.5410268368      -3.766082156  
2009  3 13.000000    23.5585597076      -3.653309830  
2009  3 18.000000    23.5760960183      -3.540689604  
2009  3 23.000000    23.5935490478      -3.428783861  
2009  3 28.000000    23.6108273381      -3.318187280  
2009  4  2.000000    23.6278370637      -3.209513729  
2009  4  7.000000    23.6444892169      -3.103329808  
2009  4 12.000000    23.6607049738      -3.000131340  
2009  4 17.000000    23.6764089398      -2.900396749  
2009  4 22.000000    23.6915230073      -2.804641041  
2009  4 27.000000    23.7059664583      -2.713384341  
2009  5  2.000000    23.7196605896      -2.627137807  
2009  5  7.000000    23.7325374767      -2.546319738  
2009  5 12.000000    23.7445384356      -2.471291755  
2009  5 17.000000    23.7556057996      -2.402425832  
2009  5 22.000000    23.7656804510      -2.340099164  
2009  5 27.000000    23.7747040612      -2.284688673  
2009  6  1.000000    23.7826268268      -2.236491094  
2009  6  6.000000    23.7894134007      -2.195708117  
2009  6 11.000000    23.7950350461      -2.162507308  
2009  6 16.000000    23.7994640604      -2.137057934  
2009  6 21.000000    23.8026745426      -2.119518658  
2009  6 26.000000    23.8046468420      -2.109992881  
2009  7  1.000000    23.8053773719      -2.108468143  
2009  7  6.000000    23.8048766609      -2.114843142  
2009  7 11.000000    23.8031598683      -2.129000745  
2009  7 16.000000    23.8002455419      -2.150807821  
2009  7 21.000000    23.7961578787      -2.180085175  
2009  7 26.000000    23.7909344973      -2.216556400  
2009  7 31.000000    23.7846323508      -2.259808441  
2009  8  5.000000    23.7773179995      -2.309388528  
2009  8 10.000000    23.7690613819      -2.364825561  
2009  8 15.000000    23.7599368094      -2.425628981  
2009  8 20.000000    23.7500273291      -2.491235846  
2009  8 25.000000    23.7394327153      -2.560959797  
2009  8 30.000000    23.7282666116      -2.634051357  
2009  9  4.000000    23.7166439007      -2.709749383  
2009  9  9.000000    23.7046792747      -2.787322417  
2009  9 14.000000    23.6924889431      -2.866012130  
2009  9 19.000000    23.6801971969      -2.944999393  
2009  9 24.000000    23.6679395793      -3.023399631  
2009  9 29.000000    23.6558512736      -3.100346911  
2009 10  4.000000    23.6440593756      -3.175041675  
2009 10  9.000000    23.6326835904      -3.246732766  
2009 10 14.000000    23.6218406852      -3.314686347  
2009 10 19.000000    23.6116505935      -3.378128084  
2009 10 24.000000    23.6022313790      -3.436326860  
2009 10 29.000000    23.5936873500      -3.488641549  
2009 11  3.000000    23.5861076621      -3.534539242  
2009 11  8.000000    23.5795692911      -3.573563816  
2009 11 13.000000    23.5741443184      -3.605263660  
2009 11 18.000000    23.5699019515      -3.629221881  
2009 11 23.000000    23.5668979664      -3.645112583  
2009 11 28.000000    23.5651695901      -3.652737888  
2009 12  3.000000    23.5647381211      -3.652000881  
2009 12  8.000000    23.5656144300      -3.642848416  
2009 12 13.000000    23.5678072338      -3.625238175  
2009 12 18.000000    23.5713171040      -3.599184363  
2009 12 23.000000    23.5761284802      -3.564818412  
2009 12 28.000000    23.5822103248      -3.522363920  
2010  1  2.000000    23.5895206213      -3.472109604  
2010  1  7.000000    23.5980145382      -3.414343762  
2010  1 12.000000    23.6076471996      -3.349351233  
2010  1 17.000000    23.6183639448      -3.277504407  
2010  1 22.000000    23.6300973107      -3.199246416  
2010  1 27.000000    23.6427710312      -3.115088309  
2010  2  1.000000    23.6563052361      -3.025537411  
2010  2  6.000000    23.6706246586      -2.931071097  
2010  2 11.000000    23.6856533710      -2.832179649  
2010  2 16.000000    23.7013064304      -2.729421086  
2010  2 21.000000    23.7174918263      -2.623408358  
2010  2 26.000000    23.7341144285      -2.514748429  
2010  3  3.000000    23.7510833654      -2.404027625  
2010  3  8.000000    23.7683147331      -2.291775157  
2010  3 13.000000    23.7857215735      -2.178564920  
2010  3 18.000000    23.8032106058      -2.065014033  
2010  3 23.000000    23.8206857321      -1.951748963  
2010  3 28.000000    23.8380535821      -1.839370215  
2010  4  2.000000    23.8552297568      -1.728411332  
2010  4  7.000000    23.8721346176      -1.619392023  
2010  4 12.000000    23.8886838849      -1.512864002  
2010  4 17.000000    23.9047901316      -1.409406832  
2010  4 22.000000    23.9203670470      -1.309572308  
2010  4 27.000000    23.9353363854      -1.213852336  
2010  5  2.000000    23.9496300347      -1.122682139  
2010  5  7.000000    23.9631803198      -1.036494447  
2010  5 12.000000    23.9759164516      -0.955761411  
2010  5 17.000000    23.9877676717      -0.880932274  
2010  5 22.000000    23.9986694151      -0.812404723  
2010  5 27.000000     0.0085700528      -0.750497413  
2010  6  1.000000     0.0174250424      -0.695480107  
2010  6  6.000000     0.0251892586      -0.647650646  
2010  6 11.000000     0.0318175608      -0.607290177  
2010  6 16.000000     0.0372698353      -0.574641145  
2010  6 21.000000     0.0415189044      -0.549845259  
2010  6 26.000000     0.0445519241      -0.532965963  
2010  7  1.000000     0.0463602479      -0.524046091  
2010  7  6.000000     0.0469365314      -0.523121398  
2010  7 11.000000     0.0462786594      -0.530195755  
2010  7 16.000000     0.0443954516      -0.545167713  
2010  7 21.000000     0.0413147206      -0.567833762  
2010  7 26.000000     0.0370751809      -0.597915272  
2010  7 31.000000     0.0317186833      -0.635133640  
2010  8  5.000000     0.0252917457      -0.679173252  
2010  8 10.000000     0.0178499407      -0.729643906  
2010  8 15.000000     0.0094656764      -0.786043598  
2010  8 20.000000     0.0002283470      -0.847759591  
2010  8 25.000000    23.9902317469      -0.914181980  
2010  8 30.000000    23.9795711284      -0.984679108  
2010  9  4.000000    23.9683466920      -1.058588469  
2010  9  9.000000    23.9566686107      -1.135168995  
2010  9 14.000000    23.9446622235      -1.213579666  
2010  9 19.000000    23.9324587271      -1.292969462  
2010  9 24.000000    23.9201842681      -1.372521735  
2010  9 29.000000    23.9079621400      -1.451442186  
2010 10  4.000000    23.8959162335      -1.528918289  
2010 10  9.000000    23.8841763957      -1.604098298  
2010 10 14.000000    23.8728769429      -1.676115112  
2010 10 19.000000    23.8621421915      -1.744181911  
2010 10 24.000000    23.8520838921      -1.807603895  
2010 10 29.000000    23.8428045785      -1.865722632  
2010 11  3.000000    23.8344032360      -1.917912463  
2010 11  8.000000    23.8269779854      -1.963541810  
2010 11 13.000000    23.8206175172      -2.002067540  
2010 11 18.000000    23.8153915886      -2.033081540  
2010 11 23.000000    23.8113540038      -2.056253543  
2010 11 28.000000    23.8085485936      -2.071327226  
2010 12  3.000000    23.8070146509      -2.078052247  
2010 12  8.000000    23.8067852408      -2.076243838  
2010 12 13.000000    23.8078761937      -2.065833876  
2010 12 18.000000    23.8102852971      -2.046871022  
2010 12 23.000000    23.8139980006      -2.019465076  
2010 12 28.000000    23.8189941857      -1.983755211  
2011  1  2.000000    23.8252521089      -1.939897888  
2011  1  7.000000    23.8327398011      -1.888116634  
