v15.04    Планета: Уран  (INPOP13C)
          Спутник: U2 Умбриэль  (Emelyanov,Nikonchuk(2013),DOI:10.1093/mnras/stt1851..)
                            - эфемериды на инт. 1787/02/12.0-2032/01/09.0
   Обсерватория N:  84 - Pulkovo
    Шкала времени: UTC
Средний экватор и равноденствие эпохи J2000.  ICRF. 
Координаты астрометрические 
Год  Месяц День       alpha (h)          delta (º)
2007  8  1.000000    23.2867219980      -5.479793384  
2007  8  6.000000    23.2777483290      -5.536654629  
2007  8 11.000000    23.2678833466      -5.594227730  
2007  8 16.000000    23.2573923975      -5.660930587  
2007  8 21.000000    23.2464205366      -5.737852354  
2007  8 26.000000    23.2349336097      -5.816257814  
2007  8 31.000000    23.2229334647      -5.889190170  
2007  9  5.000000    23.2106253159      -5.960542150  
2007  9 10.000000    23.1982935122      -6.038343046  
2007  9 15.000000    23.1860611899      -6.121750970  
2007  9 20.000000    23.1738989308      -6.201243287  
2007  9 25.000000    23.1618603731      -6.271206935  
2007  9 30.000000    23.1501927845      -6.336986668  
2007 10  5.000000    23.1391545945      -6.406025966  
2007 10 10.000000    23.1288118817      -6.475769685  
2007 10 15.000000    23.1191178104      -6.536590705  
2007 10 20.000000    23.1101460445      -6.584642955  
2007 10 25.000000    23.1021405912      -6.626646006  
2007 10 30.000000    23.0952926490      -6.669207305  
2007 11  4.000000    23.0895861506      -6.708422204  
2007 11  9.000000    23.0849374558      -6.735120754  
2007 11 14.000000    23.0814114747      -6.747522507  
2007 11 19.000000    23.0792113437      -6.753453971  
2007 11 24.000000    23.0784415062      -6.758475638  
2007 11 29.000000    23.0790008159      -6.757605099  
2007 12  4.000000    23.0807629116      -6.742573667  
2007 12  9.000000    23.0837688901      -6.713708147  
2007 12 14.000000    23.0881670108      -6.679571340  
2007 12 19.000000    23.0939785868      -6.644457546  
2007 12 24.000000    23.1010354627      -6.602483034  
2007 12 29.000000    23.1091769433      -6.546583294  
2008  1  3.000000    23.1184198170      -6.479055550  
2008  1  8.000000    23.1288639954      -6.408786291  
2008  1 13.000000    23.1404672578      -6.338577839  
2008  1 18.000000    23.1530197725      -6.261835340  
2008  1 23.000000    23.1663432116      -6.172818352  
2008  1 28.000000    23.1804388901      -6.075642197  
2008  2  2.000000    23.1953733232      -5.979048134  
2008  2  7.000000    23.2110647290      -5.884223858  
2008  2 12.000000    23.2272837731      -5.784022479  
2008  2 17.000000    23.2438515015      -5.674133312  
2008  2 22.000000    23.2607660809      -5.560231095  
2008  2 27.000000    23.2780758643      -5.450542648  
2008  3  3.000000    23.2956777359      -5.344558604  
2008  3  8.000000    23.3133378634      -5.234766546  
2008  3 13.000000    23.3308906288      -5.118371969  
2008  3 18.000000    23.3483436039      -5.002325159  
2008  3 23.000000    23.3657384678      -4.894018244  
2008  3 28.000000    23.3829603463      -4.791210582  
2008  4  2.000000    23.3997795779      -4.686265543  
2008  4  7.000000    23.4160547659      -4.577951019  
2008  4 12.000000    23.4318157389      -4.474219396  
2008  4 17.000000    23.4471036094      -4.381282755  
2008  4 22.000000    23.4617960456      -4.295246720  
2008  4 27.000000    23.4756731355      -4.208573933  
2008  5  2.000000    23.4886283411      -4.121662763  
2008  5  7.000000    23.5007258976      -4.043103454  
2008  5 12.000000    23.5120108532      -3.977645645  
2008  5 17.000000    23.5223548679      -3.919829944  
2008  5 22.000000    23.5315563363      -3.862496395  
2008  5 27.000000    23.5395567912      -3.807652411  
2008  6  1.000000    23.5464649937      -3.764144093  
2008  6  6.000000    23.5523360045      -3.734978718  
2008  6 11.000000    23.5570384421      -3.713266156  
2008  6 16.000000    23.5604031906      -3.692501356  
2008  6 21.000000    23.5624367027      -3.676204726  
2008  6 26.000000    23.5633008095      -3.673064450  
2008  7  1.000000    23.5630644397      -3.684068297  
2008  7  6.000000    23.5616043016      -3.701118668  
2008  7 11.000000    23.5588006385      -3.718595642  
2008  7 16.000000    23.5547423151      -3.741400286  
2008  7 21.000000    23.5496466046      -3.777572858  
2008  7 26.000000    23.5435969487      -3.825956378  
2008  7 31.000000    23.5364919763      -3.877503287  
2008  8  5.000000    23.5282784599      -3.927751469  
2008  8 10.000000    23.5191332208      -3.982755113  
2008  8 15.000000    23.5093195859      -4.049510005  
2008  8 20.000000    23.4989280997      -4.124728366  
2008  8 25.000000    23.4878863930      -4.198830125  
2008  8 30.000000    23.4762147696      -4.268782051  
2008  9  4.000000    23.4641614820      -4.341584689  
2008  9  9.000000    23.4520076412      -4.422928608  
2008  9 14.000000    23.4398309199      -4.507629949  
2008  9 19.000000    23.4275816846      -4.586153600  
2008  9 24.000000    23.4153388242      -4.657162687  
2008  9 29.000000    23.4033840442      -4.728459544  
2008 10  4.000000    23.3919701827      -4.804286512  
2008 10  9.000000    23.3811344343      -4.878045184  
2008 10 14.000000    23.3708295192      -4.940858696  
2008 10 19.000000    23.3611619607      -4.993337237  
2008 10 24.000000    23.3523970573      -5.043849965  
2008 10 29.000000    23.3447159244      -5.095230606  
2008 11  3.000000    23.3380904063      -5.139960801  
2008 11  8.000000    23.3324542346      -5.170400308  
2008 11 13.000000    23.3279089241      -5.189163809  
2008 11 18.000000    23.3246659468      -5.204886860  
2008 11 23.000000    23.3228106793      -5.219029944  
2008 11 28.000000    23.3222413506      -5.223601812  
2008 12  3.000000    23.3228626275      -5.212571068  
2008 12  8.000000    23.3247515904      -5.190421797  
2008 12 13.000000    23.3280545990      -5.165675843  
2008 12 18.000000    23.3327631340      -5.138385093  
2008 12 23.000000    23.3387114794      -5.100459912  
2008 12 28.000000    23.3457786837      -5.047616600  
2009  1  2.000000    23.3540170669      -4.985957374  
2009  1  7.000000    23.3635158821      -4.923438791  
2009  1 12.000000    23.3741957497      -4.858689806  
2009  1 17.000000    23.3858441088      -4.783764859  
2009  1 22.000000    23.3983268548      -4.696200762  
2009  1 27.000000    23.4116821129      -4.603321451  
2009  2  1.000000    23.4259610764      -4.512156856  
2009  2  6.000000    23.4410393976      -4.419897490  
2009  2 11.000000    23.4566776724      -4.318940843  
2009  2 16.000000    23.4727403424      -4.208650236  
2009  2 21.000000    23.4892659703      -4.097190356  
2009  2 26.000000    23.5062866302      -3.990344669  
2009  3  3.000000    23.5236523434      -3.883896029  
2009  3  8.000000    23.5411139279      -3.770790733  
2009  3 13.000000    23.5585445268      -3.652161361  
2009  3 18.000000    23.5759952728      -3.536692103  
2009  3 23.000000    23.5934917621      -3.428623530  
2009  3 28.000000    23.6108705249      -3.322454221  
2009  4  2.000000    23.6278837305      -3.211851381  
2009  4  7.000000    23.6444249161      -3.099676225  
2009  4 12.000000    23.6605648410      -2.994756558  
2009  4 17.000000    23.6763290320      -2.899615434  
2009  4 22.000000    23.6915459897      -2.807606221  
2009  4 27.000000    23.7059796519      -2.713328172  
2009  5  2.000000    23.7195562509      -2.621245679  
2009  5  7.000000    23.7323720196      -2.539975209  
2009  5 12.000000    23.7444534285      -2.470182590  
2009  5 17.000000    23.7556247722      -2.404275040  
2009  5 22.000000    23.7656741580      -2.337980243  
2009  5 27.000000    23.7745762170      -2.277171703  
2009  6  1.000000    23.7824585080      -2.229893708  
2009  6  6.000000    23.7893468629      -2.194823300  
2009  6 11.000000    23.7950690204      -2.163697338  
2009  6 16.000000    23.7994538640      -2.133504310  
2009  6 21.000000    23.8025428646      -2.111290345  
2009  6 26.000000    23.8045005899      -2.104073841  
2009  7  1.000000    23.8053520712      -2.108543157  
2009  7  6.000000    23.8049403109      -2.116006693  
2009  7 11.000000    23.8031576777      -2.124855784  
2009  7 16.000000    23.8001274792      -2.142941942  
2009  7 21.000000    23.7960545594      -2.175843013  
2009  7 26.000000    23.7909648598      -2.218320657  
2009  7 31.000000    23.7847303395      -2.261587111  
2009  8  5.000000    23.7773278759      -2.305497726  
2009  8 10.000000    23.7689678428      -2.358322656  
2009  8 15.000000    23.7598879823      -2.423876402  
2009  8 20.000000    23.7501148271      -2.495164137  
2009  8 25.000000    23.7395581651      -2.563758995  
2009  8 30.000000    23.7282847160      -2.631013867  
2009  9  4.000000    23.7165785680      -2.705283877  
2009  9  9.000000    23.7046856132      -2.788434815  
2009  9 14.000000    23.6926232424      -2.872133008  
2009  9 19.000000    23.6803350086      -2.948801301  
2009  9 24.000000    23.6679581846      -3.021412645  
2009  9 29.000000    23.6558116716      -3.098081857  
2009 10  4.000000    23.6441120991      -3.178827401  
2009 10  9.000000    23.6328463158      -3.254530814  
2009 10 14.000000    23.6219730334      -3.319011112  
2009 10 19.000000    23.6116605185      -3.376908897  
2009 10 24.000000    23.6022099529      -3.435897826  
2009 10 29.000000    23.5937705159      -3.494366825  
2009 11  3.000000    23.5862767358      -3.543034228  
2009 11  8.000000    23.5796790588      -3.577561500  
2009 11 13.000000    23.5741354312      -3.604155325  
2009 11 18.000000    23.5698866469      -3.629880351  
2009 11 23.000000    23.5669915004      -3.651711778  
2009 11 28.000000    23.5653234753      -3.660748778  
2009 12  3.000000    23.5648103992      -3.654699853  
2009 12  8.000000    23.5655765129      -3.641108371  
2009 12 13.000000    23.5677836319      -3.626143364  
2009 12 18.000000    23.5714016198      -3.605600982  
2009 12 23.000000    23.5762498296      -3.571288538  
2009 12 28.000000    23.5822345805      -3.522998524  
2010  1  2.000000    23.5894452755      -3.469181864  
2010  1  7.000000    23.5979706798      -3.414860819  
2010  1 12.000000    23.6077091152      -3.354796225  
2010  1 17.000000    23.6184432212      -3.281735882  
2010  1 22.000000    23.6300693085      -3.197421333  
2010  1 27.000000    23.6426550785      -3.110755811  
2010  2  1.000000    23.6562367671      -3.025372163  
2010  2  6.000000    23.6706604088      -2.935130748  
2010  2 11.000000    23.6856912447      -2.833899383  
2010  2 16.000000    23.7012303766      -2.725155134  
2010  2 21.000000    23.7173411063      -2.617839279  
2010  2 26.000000    23.7340280394      -2.513965718  
2010  3  3.000000    23.7511017581      -2.406690533  
2010  3  8.000000    23.7683223453      -2.291118964  
2010  3 13.000000    23.7856111399      -2.172285291  
2010  3 18.000000    23.8030410557      -2.058731458  
2010  3 23.000000    23.8205992301      -1.950744637  
2010  3 28.000000    23.8380732879      -1.840958185  
2010  4  2.000000    23.8552257490      -1.725871594  
2010  4  7.000000    23.8720098135      -1.611839848  
2010  4 12.000000    23.8885181780      -1.506649928  
2010  4 17.000000    23.9047275188      -1.408799256  
2010  4 22.000000    23.9204098794      -1.310617794  
2010  4 27.000000    23.9353401252      -1.210130645  
2010  5  2.000000    23.9495110507      -1.114773229  
2010  5  7.000000    23.9630418371      -1.031245513  
2010  5 12.000000    23.9759003246      -0.956237645  
2010  5 17.000000    23.9878509342      -0.882040990  
2010  5 22.000000    23.9986940189      -0.808270807  
2010  5 27.000000     0.0084720511      -0.743190754  
2010  6  1.000000     0.0173316514      -0.692055131  
2010  6  6.000000     0.0252341996      -0.649832094  
2010  6 11.000000     0.0319475744      -0.609003102  
2010  6 16.000000     0.0373177400      -0.570818735  
2010  6 21.000000     0.0414481125      -0.543991315  
2010  6 26.000000     0.0445117024      -0.532043402  
2010  7  1.000000     0.0464676451      -0.528321775  
2010  7  6.000000     0.0471049928      -0.525771130  
2010  7 11.000000     0.0463402403      -0.527197194  
2010  7 16.000000     0.0443478265      -0.541328540  
2010  7 21.000000     0.0413243814      -0.569721173  
2010  7 26.000000     0.0372321447      -0.604275249  
2010  7 31.000000     0.0319040348      -0.638673756  
2010  8  5.000000     0.0253482250      -0.677133325  
2010  8 10.000000     0.0178145627      -0.727941082  
2010  8 15.000000     0.0095125885      -0.790525486  
2010  8 20.000000     0.0004118332      -0.855696155  
2010  8 25.000000    23.9904058113      -0.918130838  
2010  8 30.000000    23.9796022787      -0.983317029  
2010  9  4.000000    23.9683112113      -1.058661741  
2010  9  9.000000    23.9567360109      -1.141531800  
2010  9 14.000000    23.9448457004      -1.222134977  
2010  9 19.000000    23.9325954009      -1.296509477  
2010  9 24.000000    23.9201749553      -1.371221048  
2010  9 29.000000    23.9079166656      -1.452559214  
2010 10  4.000000    23.8959873549      -1.536091765  
2010 10  9.000000    23.8843360510      -1.612071178  
2010 10 14.000000    23.8729581324      -1.678280523  
2010 10 19.000000    23.8620850055      -1.742195919  
2010 10 24.000000    23.8520222758      -1.808893866  
2010 10 29.000000    23.8428654834      -1.872561021  
2010 11  3.000000    23.8345228109      -1.924166443  
2010 11  8.000000    23.8269959539      -1.963512197  
2010 11 13.000000    23.8205131451      -1.998816472  
2010 11 18.000000    23.8153119035      -2.033843597  
2010 11 23.000000    23.8113966112      -2.061880995  
2010 11 28.000000    23.8086219954      -2.075110047  
2010 12  3.000000    23.8069725039      -2.075454828  
2010 12  8.000000    23.8066411071      -2.071546349  
2010 12 13.000000    23.8077818811      -2.065784776  
2010 12 18.000000    23.8103096910      -2.050889671  
2010 12 23.000000    23.8140299334      -2.020577813  
2010 12 28.000000    23.8189040508      -1.978745487  
2011  1  2.000000    23.8250816123      -1.934043714  
2011  1  7.000000    23.8326408291      -1.887415431  
