v15.04    Планета: Уран  (INPOP13C)
          Спутник: U3 Титани  (Emelyanov,Nikonchuk(2013),DOI:10.1093/mnras/stt1851..)
                            - эфемериды на инт. 1787/02/12.0-2032/01/09.0
   Обсерватория N:  84 - Pulkovo
    Шкала времени: UTC
Средний экватор и равноденствие эпохи J2000.  ICRF. 
Координаты астрометрические 
Год  Месяц День       alpha (h)          delta (º)
2007  8  1.000000    23.2867860476      -5.483285947  
2007  8  6.000000    23.2775604460      -5.526539849  
2007  8 11.000000    23.2680307029      -5.602266554  
2007  8 16.000000    23.2574573763      -5.664495760  
2007  8 21.000000    23.2463511576      -5.734165949  
2007  8 26.000000    23.2349523782      -5.817216057  
2007  8 31.000000    23.2227538021      -5.879178495  
2007  9  5.000000    23.2108515615      -5.972949996  
2007  9 10.000000    23.1982471363      -6.035625137  
2007  9 15.000000    23.1860791832      -6.123729700  
2007  9 20.000000    23.1738186393      -6.196009899  
2007  9 25.000000    23.1617708867      -6.266487634  
2007  9 30.000000    23.1504117694      -6.348298311  
2007 10  5.000000    23.1390550741      -6.401146998  
2007 10 10.000000    23.1288892952      -6.481085202  
2007 10 15.000000    23.1189390276      -6.525529591  
2007 10 20.000000    23.1101903582      -6.587572940  
2007 10 25.000000    23.1022738945      -6.632444210  
2007 10 30.000000    23.0952211530      -6.667221980  
2007 11  4.000000    23.0896523832      -6.712093156  
2007 11  9.000000    23.0847175856      -6.722438535  
2007 11 14.000000    23.0815697295      -6.756099755  
2007 11 19.000000    23.0792293534      -6.753138216  
2007 11 24.000000    23.0784584381      -6.761946520  
2007 11 29.000000    23.0789791833      -6.755426925  
2007 12  4.000000    23.0805913200      -6.733546267  
2007 12  9.000000    23.0839616121      -6.723064146  
2007 12 14.000000    23.0881104884      -6.676399390  
2007 12 19.000000    23.0940830190      -6.651942035  
2007 12 24.000000    23.1008935208      -6.593738853  
2007 12 29.000000    23.1091246654      -6.544348638  
2008  1  3.000000    23.1185506368      -6.484635970  
2008  1  8.000000    23.1288235620      -6.407472036  
2008  1 13.000000    23.1405893554      -6.345750032  
2008  1 18.000000    23.1527996455      -6.249541152  
2008  1 23.000000    23.1664126662      -6.176753243  
2008  1 28.000000    23.1804578807      -6.075828984  
2008  2  2.000000    23.1954288769      -5.982771850  
2008  2  7.000000    23.2111091133      -5.886592663  
2008  2 12.000000    23.2270811685      -5.772986157  
2008  2 17.000000    23.2439681043      -5.680509951  
2008  2 22.000000    23.2607074903      -5.557004576  
2008  2 27.000000    23.2782371382      -5.459160218  
2008  3  3.000000    23.2955929776      -5.340071710  
2008  3  8.000000    23.3132378482      -5.228881059  
2008  3 13.000000    23.3309528867      -5.122695440  
2008  3 18.000000    23.3483035416      -4.999886578  
2008  3 23.000000    23.3659342590      -4.904220527  
2008  3 28.000000    23.3827794718      -4.781344170  
2008  4  2.000000    23.3997957471      -4.686488972  
2008  4  7.000000    23.4160074483      -4.577528593  
2008  4 12.000000    23.4318828852      -4.476493312  
2008  4 17.000000    23.4472304130      -4.388411600  
2008  4 22.000000    23.4616138066      -4.284136766  
2008  4 27.000000    23.4757368463      -4.212478672  
2008  5  2.000000    23.4885029314      -4.117097562  
2008  5  7.000000    23.5009168558      -4.051434626  
2008  5 12.000000    23.5120059884      -3.978255465  
2008  5 17.000000    23.5222601377      -3.912030541  
2008  5 22.000000    23.5315668258      -3.865648360  
2008  5 27.000000    23.5394494428      -3.802576666  
2008  6  1.000000    23.5467121297      -3.776328907  
2008  6  6.000000    23.5522203603      -3.728881911  
2008  6 11.000000    23.5570527129      -3.711211780  
2008  6 16.000000    23.5603015362      -3.691107338  
2008  6 21.000000    23.5624410189      -3.675273327  
2008  6 26.000000    23.5634994238      -3.684335057  
2008  7  1.000000    23.5629231713      -3.674627515  
2008  7  6.000000    23.5616701929      -3.703589828  
2008  7 11.000000    23.5586105080      -3.711963463  
2008  7 16.000000    23.5548866396      -3.747426699  
2008  7 21.000000    23.5497243910      -3.783264141  
2008  7 26.000000    23.5435171828      -3.818214822  
2008  7 31.000000    23.5365175789      -3.880202157  
2008  8  5.000000    23.5280865660      -3.919003570  
2008  8 10.000000    23.5193670122      -3.994679710  
2008  8 15.000000    23.5092768470      -4.047977468  
2008  8 20.000000    23.4989444136      -4.122320049  
2008  8 25.000000    23.4878080119      -4.197096590  
2008  8 30.000000    23.4761139762      -4.263136695  
2008  9  4.000000    23.4643919490      -4.354779352  
2008  9  9.000000    23.4519067229      -4.416748444  
2008  9 14.000000    23.4399120329      -4.510344879  
2008  9 19.000000    23.4273994865      -4.578226471  
2008  9 24.000000    23.4153768913      -4.658587435  
2008  9 29.000000    23.4035292349      -4.737514991  
2008 10  4.000000    23.3918933962      -4.798596981  
2008 10  9.000000    23.3812069155      -4.881868557  
2008 10 14.000000    23.3706028306      -4.929273971  
2008 10 19.000000    23.3613201961      -5.001794366  
2008 10 24.000000    23.3524254928      -5.046084984  
2008 10 29.000000    23.3447216257      -5.094229138  
2008 11  3.000000    23.3380789959      -5.139856398  
2008 11  8.000000    23.3322704630      -5.160363577  
2008 11 13.000000    23.3281129212      -5.200640965  
2008 11 18.000000    23.3246109496      -5.201938890  
2008 11 23.000000    23.3229029341      -5.223249967  
2008 11 28.000000    23.3221103765      -5.217008666  
2008 12  3.000000    23.3227944490      -5.208592708  
2008 12  8.000000    23.3249077450      -5.199646003  
2008 12 13.000000    23.3279985053      -5.162095148  
2008 12 18.000000    23.3328838968      -5.144562785  
2008 12 23.000000    23.3384915982      -5.088881691  
2008 12 28.000000    23.3458409517      -5.050815903  
2009  1  2.000000    23.3540653717      -4.989657291  
2009  1  7.000000    23.3635425836      -4.923566991  
2009  1 12.000000    23.3742536032      -4.862019207  
2009  1 17.000000    23.3856229863      -4.771642115  
2009  1 22.000000    23.3984592288      -4.703890469  
2009  1 27.000000    23.4116380819      -4.601930783  
2009  2  1.000000    23.4260982622      -4.517500741  
2009  2  6.000000    23.4409699277      -4.417031066  
2009  2 11.000000    23.4565484006      -4.310946088  
2009  2 16.000000    23.4728407543      -4.216193650  
2009  2 21.000000    23.4892155473      -4.094226042  
2009  2 26.000000    23.5064798248      -3.998854788  
2009  3  3.000000    23.5234685827      -3.874838112  
2009  3  8.000000    23.5411111431      -3.769295968  
2009  3 13.000000    23.5585384718      -3.655709875  
2009  3 18.000000    23.5760372364      -3.536507720  
2009  3 23.000000    23.5936363581      -3.435955587  
2009  3 28.000000    23.6106596067      -3.310449483  
2009  4  2.000000    23.6279551988      -3.215771210  
2009  4  7.000000    23.6443207859      -3.098257162  
2009  4 12.000000    23.6607391476      -2.999998908  
2009  4 17.000000    23.6763426962      -2.901573109  
2009  4 22.000000    23.6914104971      -2.797341934  
2009  4 27.000000    23.7060204212      -2.718806117  
2009  5  2.000000    23.7194432185      -2.617252140  
2009  5  7.000000    23.7326276273      -2.550004074  
2009  5 12.000000    23.7443360080      -2.465116667  
2009  5 17.000000    23.7556106494      -2.399361725  
2009  5 22.000000    23.7656025456      -2.340626792  
2009  5 27.000000    23.7745633034      -2.275019059  
2009  6  1.000000    23.7826856640      -2.240946416  
2009  6  6.000000    23.7891805049      -2.184693790  
2009  6 11.000000    23.7951327619      -2.164635526  
2009  6 16.000000    23.7992719912      -2.131012410  
2009  6 21.000000    23.8026821979      -2.114823217  
2009  6 26.000000    23.8046051055      -2.111220554  
2009  7  1.000000    23.8052412092      -2.097945298  
2009  7  6.000000    23.8049807546      -2.119756144  
2009  7 11.000000    23.8029509274      -2.118547439  
2009  7 16.000000    23.8003788795      -2.152937046  
2009  7 21.000000    23.7960191009      -2.175867718  
2009  7 26.000000    23.7909642779      -2.211891598  
2009  7 31.000000    23.7846616789      -2.263300930  
2009  8  5.000000    23.7772067286      -2.299781011  
2009  8 10.000000    23.7692284395      -2.371631157  
2009  8 15.000000    23.7597762692      -2.417434130  
2009  8 20.000000    23.7501979824      -2.494705296  
2009  8 25.000000    23.7393678589      -2.559961613  
2009  8 30.000000    23.7283146804      -2.630732474  
2009  9  4.000000    23.7167495740      -2.716470522  
2009  9  9.000000    23.7045930592      -2.779836135  
2009  9 14.000000    23.6927064993      -2.875303825  
2009  9 19.000000    23.6800870100      -2.939914378  
2009  9 24.000000    23.6681252391      -3.028557571  
2009  9 29.000000    23.6558532168      -3.102830760  
2009 10  4.000000    23.6441061504      -3.173264582  
2009 10  9.000000    23.6328440274      -3.256364913  
2009 10 14.000000    23.6217654090      -3.309258989  
2009 10 19.000000    23.6118865677      -3.389112396  
2009 10 24.000000    23.6021544633      -3.433816058  
2009 10 29.000000    23.5938576782      -3.494473111  
2009 11  3.000000    23.5861487729      -3.539419591  
2009 11  8.000000    23.5795919321      -3.572220535  
2009 11 13.000000    23.5743223088      -3.616192585  
2009 11 18.000000    23.5698159922      -3.624583302  
2009 11 23.000000    23.5671164141      -3.655926838  
2009 11 28.000000    23.5650961312      -3.651259625  
2009 12  3.000000    23.5648664601      -3.656677875  
2009 12  8.000000    23.5656557660      -3.648269383  
2009 12 13.000000    23.5677846319      -3.622631494  
2009 12 18.000000    23.5714739285      -3.609403871  
2009 12 23.000000    23.5760062992      -3.559347254  
2009 12 28.000000    23.5823830528      -3.531115627  
2010  1  2.000000    23.5894177541      -3.470078457  
2010  1  7.000000    23.5980835169      -3.416255702  
2010  1 12.000000    23.6076551966      -3.353782695  
2010  1 17.000000    23.6182814688      -3.272331787  
2010  1 22.000000    23.6302096452      -3.207413608  
2010  1 27.000000    23.6425957435      -3.107787890  
2010  2  1.000000    23.6564235463      -3.031198384  
2010  2  6.000000    23.6704755018      -2.927733463  
2010  2 11.000000    23.6856643309      -2.830674197  
2010  2 16.000000    23.7012730019      -2.732363903  
2010  2 21.000000    23.7173545737      -2.615411670  
2010  2 26.000000    23.7341890360      -2.520656660  
2010  3  3.000000    23.7508617288      -2.394955263  
2010  3  8.000000    23.7683983949      -2.294467854  
2010  3 13.000000    23.7855395890      -2.174252928  
2010  3 18.000000    23.8031899364      -2.060560007  
2010  3 23.000000    23.8206361887      -1.953778197  
2010  3 28.000000    23.8378895861      -1.829293917  
2010  4  2.000000    23.8553029855      -1.732869265  
2010  4  7.000000    23.8718980760      -1.609530316  
2010  4 12.000000    23.8887741143      -1.513633564  
2010  4 17.000000    23.9046138859      -1.405285440  
2010  4 22.000000    23.9203544267      -1.303393010  
2010  4 27.000000    23.9353159521      -1.216260287  
2010  5  2.000000    23.9494770577      -1.111916817  
2010  5  7.000000    23.9632978967      -1.040893231  
2010  5 12.000000    23.9757041521      -0.946615128  
2010  5 17.000000    23.9879035759      -0.881232596  
2010  5 22.000000    23.9985404091      -0.810001342  
2010  5 27.000000     0.0085955820      -0.744114648  
2010  6  1.000000     0.0174721630      -0.699739736  
2010  6  6.000000     0.0250722000      -0.637749857  
2010  6 11.000000     0.0320074639      -0.613035056  
2010  6 16.000000     0.0371058285      -0.567698339  
2010  6 21.000000     0.0417126840      -0.551005170  
2010  6 26.000000     0.0444910933      -0.533576306  
2010  7  1.000000     0.0464240651      -0.518718629  
2010  7  6.000000     0.0470621779      -0.530314606  
2010  7 11.000000     0.0461943237      -0.522298114  
2010  7 16.000000     0.0446499021      -0.553070760  
2010  7 21.000000     0.0411960616      -0.563960293  
2010  7 26.000000     0.0373017586      -0.600544296  
2010  7 31.000000     0.0317187150      -0.639272257  
2010  8  5.000000     0.0253627762      -0.675353961  
2010  8 10.000000     0.0180318915      -0.739819705  
2010  8 15.000000     0.0093870023      -0.780333220  
2010  8 20.000000     0.0005070146      -0.857499584  
2010  8 25.000000    23.9901352697      -0.913160564  
2010  8 30.000000    23.9797817035      -0.988244447  
2010  9  4.000000    23.9683795890      -1.065487570  
2010  9  9.000000    23.9567035834      -1.132150716  
2010  9 14.000000    23.9448593727      -1.225460004  
2010  9 19.000000    23.9323531521      -1.288465126  
2010  9 24.000000    23.9204372626      -1.382540968  
2010  9 29.000000    23.9078613465      -1.451887508  
2010 10  4.000000    23.8960656824      -1.531816688  
2010 10  9.000000    23.8842106226      -1.611902432  
2010 10 14.000000    23.8728441386      -1.672292844  
2010 10 19.000000    23.8623164876      -1.755634742  
2010 10 24.000000    23.8519320221      -1.802672700  
2010 10 29.000000    23.8429973063      -1.873933984  
2010 11  3.000000    23.8342799543      -1.918027698  
2010 11  8.000000    23.8270450330      -1.963943173  
2010 11 13.000000    23.8206308148      -2.008858162  
2010 11 18.000000    23.8152838609      -2.026995989  
2010 11 23.000000    23.8114854128      -2.065459669  
2010 11 28.000000    23.8083477339      -2.064760067  
2010 12  3.000000    23.8071396687      -2.083002702  
2010 12  8.000000    23.8066338138      -2.074962406  
2010 12 13.000000    23.8078684339      -2.062836586  
2010 12 18.000000    23.8102724211      -2.051753590  
2010 12 23.000000    23.8138302938      -2.010720577  
2010 12 28.000000    23.8190883125      -1.990159877  
2011  1  2.000000    23.8250156350      -1.931652472  
2011  1  7.000000    23.8328181815      -1.889728701  
