v15.04    Планета: Уран  (INPOP13C)
          Спутник: U4 Оберон  (Emelyanov,Nikonchuk(2013),DOI:10.1093/mnras/stt1851..)
                            - эфемериды на инт. 1787/02/12.0-2032/01/09.0
   Обсерватория N:  84 - Pulkovo
    Шкала времени: UTC
Средний экватор и равноденствие эпохи J2000.  ICRF. 
Координаты астрометрические 
Год  Месяц День       alpha (h)          delta (º)
2007  8  1.000000    23.2867373642      -5.480893888  
2007  8  6.000000    23.2777474942      -5.536569494  
2007  8 11.000000    23.2677665335      -5.587799789  
2007  8 16.000000    23.2576717863      -5.676321666  
2007  8 21.000000    23.2463088821      -5.731922984  
2007  8 26.000000    23.2347777130      -5.807344362  
2007  8 31.000000    23.2230834804      -5.897580749  
2007  9  5.000000    23.2105101772      -5.954181152  
2007  9 10.000000    23.1984520001      -6.046557947  
2007  9 15.000000    23.1860911089      -6.124719134  
2007  9 20.000000    23.1736212490      -6.185395498  
2007  9 25.000000    23.1620420382      -6.280246728  
2007  9 30.000000    23.1502022110      -6.338575048  
2007 10  5.000000    23.1391289964      -6.403703057  
2007 10 10.000000    23.1289397264      -6.484004631  
2007 10 15.000000    23.1188497028      -6.522357725  
2007 10 20.000000    23.1102314765      -6.586710877  
2007 10 25.000000    23.1023204595      -6.638148413  
2007 10 30.000000    23.0951345883      -6.660778408  
2007 11  4.000000    23.0896885145      -6.713583473  
2007 11  9.000000    23.0848103072      -6.729760850  
2007 11 14.000000    23.0813487796      -6.741297835  
2007 11 19.000000    23.0794929293      -6.769356418  
2007 11 24.000000    23.0782878067      -6.752298638  
2007 11 29.000000    23.0789565059      -6.753461119  
2007 12  4.000000    23.0808172668      -6.746614512  
2007 12  9.000000    23.0836275132      -6.704932339  
2007 12 14.000000    23.0884025334      -6.691351289  
2007 12 19.000000    23.0939566564      -6.646130269  
2007 12 24.000000    23.1008225769      -6.589678559  
2007 12 29.000000    23.1093233225      -6.553998127  
2008  1  3.000000    23.1183469362      -6.475712420  
2008  1  8.000000    23.1289333456      -6.411313800  
2008  1 13.000000    23.1405916265      -6.346969936  
2008  1 18.000000    23.1527474347      -6.247046917  
2008  1 23.000000    23.1664237380      -6.175967511  
2008  1 28.000000    23.1805401234      -6.081901307  
2008  2  2.000000    23.1952858802      -5.973930240  
2008  2  7.000000    23.2112163320      -5.892721314  
2008  2 12.000000    23.2271116295      -5.774880078  
2008  2 17.000000    23.2437697506      -5.669360668  
2008  2 22.000000    23.2610093377      -5.573670805  
2008  2 27.000000    23.2779693866      -5.444458885  
2008  3  3.000000    23.2957007966      -5.346030361  
2008  3  8.000000    23.3133418170      -5.234578127  
2008  3 13.000000    23.3306991100      -5.108466815  
2008  3 18.000000    23.3485793873      -5.015838043  
2008  3 23.000000    23.3657632772      -4.893739797  
2008  3 28.000000    23.3827989198      -4.783068993  
2008  4  2.000000    23.3998841434      -4.691989128  
2008  4  7.000000    23.4159130579      -4.570056186  
2008  4 12.000000    23.4319034374      -4.480943569  
2008  4 17.000000    23.4472910209      -4.388855743  
2008  4 22.000000    23.4615452506      -4.281273484  
2008  4 27.000000    23.4757153139      -4.213090676  
2008  5  2.000000    23.4886654025      -4.122213036  
2008  5  7.000000    23.5006557481      -4.041170761  
2008  5 12.000000    23.5122438511      -3.988817218  
2008  5 17.000000    23.5221790915      -3.907659539  
2008  5 22.000000    23.5314272309      -3.859708079  
2008  5 27.000000    23.5397618620      -3.817752940  
2008  6  1.000000    23.5463653350      -3.758082721  
2008  6  6.000000    23.5524479933      -3.741989939  
2008  6 11.000000    23.5570311707      -3.709082337  
2008  6 16.000000    23.5601422539      -3.681996165  
2008  6 21.000000    23.5626723419      -3.690523004  
2008  6 26.000000    23.5633252130      -3.670631562  
2008  7  1.000000    23.5629764340      -3.681201903  
2008  7  6.000000    23.5617140641      -3.705050490  
2008  7 11.000000    23.5585610532      -3.706425314  
2008  7 16.000000    23.5548608770      -3.751663553  
2008  7 21.000000    23.5498455967      -3.783885755  
2008  7 26.000000    23.5433741015      -3.814080034  
2008  7 31.000000    23.5365731911      -3.883225265  
2008  8  5.000000    23.5282025925      -3.922224805  
2008  8 10.000000    23.5190917922      -3.983922213  
2008  8 15.000000    23.5096060068      -4.062692760  
2008  8 20.000000    23.4987180453      -4.111117475  
2008  8 25.000000    23.4878192951      -4.198298514  
2008  8 30.000000    23.4763329171      -4.274056724  
2008  9  4.000000    23.4640424755      -4.336003786  
2008  9  9.000000    23.4522290950      -4.435079890  
2008  9 14.000000    23.4397512260      -4.500522545  
2008  9 19.000000    23.4273573501      -4.576226056  
2008  9 24.000000    23.4155610489      -4.669723876  
2008  9 29.000000    23.4033237416      -4.724098712  
2008 10  4.000000    23.3920150754      -4.807555497  
2008 10  9.000000    23.3811986723      -4.880084400  
2008 10 14.000000    23.3705492751      -4.926152052  
2008 10 19.000000    23.3613451312      -5.004632863  
2008 10 24.000000    23.3524909362      -5.047715465  
2008 10 29.000000    23.3445814004      -5.088087172  
2008 11  3.000000    23.3382063378      -5.146212723  
2008 11  8.000000    23.3322625549      -5.159644265  
2008 11 13.000000    23.3279494672      -5.192448450  
2008 11 18.000000    23.3249048252      -5.217303374  
2008 11 23.000000    23.3226051309      -5.207313399  
2008 11 28.000000    23.3222715307      -5.225822459  
2008 12  3.000000    23.3228538815      -5.211729031  
2008 12  8.000000    23.3246576109      -5.185883239  
2008 12 13.000000    23.3283216688      -5.180204092  
2008 12 18.000000    23.3326373823      -5.130415552  
2008 12 23.000000    23.3385712762      -5.093724104  
2008 12 28.000000    23.3459250277      -5.055612393  
2009  1  2.000000    23.3539103965      -4.980020782  
2009  1  7.000000    23.3636615691      -4.931985554  
2009  1 12.000000    23.3742316768      -4.858914274  
2009  1 17.000000    23.3855772857      -4.770048295  
2009  1 22.000000    23.3984872008      -4.706223183  
2009  1 27.000000    23.4117089203      -4.603381965  
2009  2  1.000000    23.4259201519      -4.510863318  
2009  2  6.000000    23.4411781445      -4.426037947  
2009  2 11.000000    23.4564351478      -4.305359608  
2009  2 16.000000    23.4727673366      -4.213429497  
2009  2 21.000000    23.4894735718      -4.106186853  
2009  2 26.000000    23.5061411878      -3.982008862  
2009  3  3.000000    23.5237346505      -3.889045889  
2009  3  8.000000    23.5410342842      -3.764416768  
2009  3 13.000000    23.5584105728      -3.649096058  
2009  3 18.000000    23.5762824745      -3.551165940  
2009  3 23.000000    23.5934097734      -3.420382656  
2009  3 28.000000    23.6107688342      -3.320135564  
2009  4  2.000000    23.6279729993      -3.214898997  
2009  4  7.000000    23.6442528614      -3.092457827  
2009  4 12.000000    23.6607598931      -3.007274216  
2009  4 17.000000    23.6764211344      -2.897806255  
2009  4 22.000000    23.6912783416      -2.796404517  
2009  4 27.000000    23.7061006031      -2.721728492  
2009  5  2.000000    23.7195193853      -2.617188717  
2009  5  7.000000    23.7323781415      -2.544213628  
2009  5 12.000000    23.7446734829      -2.475866531  
2009  5 17.000000    23.7553454146      -2.389049225  
2009  5 22.000000    23.7656621440      -2.344235939  
2009  5 27.000000    23.7747509165      -2.282000581  
2009  6  1.000000    23.7823385878      -2.225136049  
2009  6  6.000000    23.7895259509      -2.202862455  
2009  6 11.000000    23.7949392177      -2.152409887  
2009  6 16.000000    23.7992601476      -2.132080235  
2009  6 21.000000    23.8028426058      -2.124757514  
2009  6 26.000000    23.8044223976      -2.095926472  
2009  7  1.000000    23.8053376953      -2.111068074  
2009  7  6.000000    23.8049948124      -2.114079528  
2009  7 11.000000    23.8028929650      -2.116512058  
2009  7 16.000000    23.8003758501      -2.158504657  
2009  7 21.000000    23.7961463470      -2.172245111  
2009  7 26.000000    23.7907446601      -2.210659448  
2009  7 31.000000    23.7848564177      -2.267710230  
2009  8  5.000000    23.7771706161      -2.297175269  
2009  8 10.000000    23.7690415000      -2.367637703  
2009  8 15.000000    23.7601351171      -2.428970886  
2009  8 20.000000    23.7498192756      -2.479891637  
2009  8 25.000000    23.7395957362      -2.570613632  
2009  8 30.000000    23.7283412617      -2.630693964  
2009  9  4.000000    23.7164941522      -2.704594632  
2009  9  9.000000    23.7049493095      -2.798962855  
2009  9 14.000000    23.6924175008      -2.857540722  
2009  9 19.000000    23.6802016307      -2.948733376  
2009  9 24.000000    23.6681923131      -3.031618510  
2009  9 29.000000    23.6556975440      -3.091326143  
2009 10  4.000000    23.6442363870      -3.186394972  
2009 10  9.000000    23.6328140327      -3.248237892  
2009 10 14.000000    23.6217165416      -3.310355977  
2009 10 19.000000    23.6119309739      -3.392432287  
2009 10 24.000000    23.6022063155      -3.431468705  
2009 10 29.000000    23.5936870803      -3.492199493  
2009 11  3.000000    23.5863745552      -3.546022121  
2009 11  8.000000    23.5794392791      -3.566096071  
2009 11 13.000000    23.5742934937      -3.616170399  
2009 11 18.000000    23.5700509901      -3.633707160  
2009 11 23.000000    23.5667612770      -3.640109968  
2009 11 28.000000    23.5654156187      -3.666948105  
2009 12  3.000000    23.5647268779      -3.648872556  
2009 12  8.000000    23.5655622902      -3.644066477  
2009 12 13.000000    23.5680493951      -3.637091194  
2009 12 18.000000    23.5711766224      -3.591428651  
2009 12 23.000000    23.5762004821      -3.572750063  
2009 12 28.000000    23.5823496491      -3.527298430  
2010  1  2.000000    23.5893328979      -3.464686705  
2010  1  7.000000    23.5981844129      -3.425936785  
2010  1 12.000000    23.6076294383      -3.345988192  
2010  1 17.000000    23.6182203893      -3.274789169  
2010  1 22.000000    23.6302880846      -3.209352059  
2010  1 27.000000    23.6426053025      -3.105743641  
2010  2  1.000000    23.6562678657      -3.029171492  
2010  2  6.000000    23.6707456489      -2.934997569  
2010  2 11.000000    23.6854050862      -2.821640495  
2010  2 16.000000    23.7013822938      -2.737446076  
2010  2 21.000000    23.7174761660      -2.619130742  
2010  2 26.000000    23.7338784954      -2.507949338  
2010  3  3.000000    23.7512250567      -2.411980686  
2010  3  8.000000    23.7681476564      -2.280906427  
2010  3 13.000000    23.7855842243      -2.178149495  
2010  3 18.000000    23.8033364315      -2.068141536  
2010  3 23.000000    23.8204135937      -1.938793234  
2010  3 28.000000    23.8380578149      -1.844511991  
2010  4  2.000000    23.8552585709      -1.724053692  
2010  4  7.000000    23.8718517299      -1.609633599  
2010  4 12.000000    23.8888110267      -1.519765629  
2010  4 17.000000    23.9046785056      -1.398371818  
2010  4 22.000000    23.9201790809      -1.306563170  
2010  4 27.000000    23.9355115867      -1.217698271  
2010  5  2.000000    23.9493994503      -1.109042566  
2010  5  7.000000    23.9631605940      -1.040440179  
2010  5 12.000000    23.9760404866      -0.953177853  
2010  5 17.000000    23.9875022951      -0.870115852  
2010  5 22.000000    23.9988222391      -0.820109665  
2010  5 27.000000     0.0085676534      -0.741410055  
2010  6  1.000000     0.0172407446      -0.691781076  
2010  6  6.000000     0.0254432280      -0.654184025  
2010  6 11.000000     0.0316784040      -0.595067983  
2010  6 16.000000     0.0372603362      -0.579126215  
2010  6 21.000000     0.0417563842      -0.551086621  
2010  6 26.000000     0.0443433065      -0.522948065  
2010  7  1.000000     0.0465476544      -0.534074622  
2010  7  6.000000     0.0470510007      -0.517880207  
2010  7 11.000000     0.0461184200      -0.527140644  
2010  7 16.000000     0.0447108551      -0.555678377  
2010  7 21.000000     0.0412658007      -0.558533012  
2010  7 26.000000     0.0370712927      -0.603642142  
2010  7 31.000000     0.0320321855      -0.641182726  
2010  8  5.000000     0.0251312558      -0.670776387  
2010  8 10.000000     0.0180382454      -0.742009138  
2010  8 15.000000     0.0096494983      -0.785212912  
2010  8 20.000000     0.0000734585      -0.845268788  
2010  8 25.000000    23.9905512193      -0.928105110  
2010  8 30.000000    23.9795673681      -0.978331833  
2010  9  4.000000    23.9683146576      -1.064436239  
2010  9  9.000000    23.9569886234      -1.145013794  
2010  9 14.000000    23.9445118734      -1.206079527  
2010  9 19.000000    23.9325990445      -1.305692415  
2010  9 24.000000    23.9203726283      -1.374844656  
2010  9 29.000000    23.9077798697      -1.447892852  
2010 10  4.000000    23.8961816564      -1.543725640  
2010 10  9.000000    23.8841683143      -1.599211261  
2010 10 14.000000    23.8727838274      -1.679659711  
2010 10 19.000000    23.8624137345      -1.755212057  
2010 10 24.000000    23.8519116966      -1.799292335  
2010 10 29.000000    23.8428623217      -1.875866439  
2010 11  3.000000    23.8345563513      -1.921058034  
2010 11  8.000000    23.8267465778      -1.957009897  
2010 11 13.000000    23.8207970816      -2.014767286  
2010 11 18.000000    23.8153589905      -2.027872676  
2010 11 23.000000    23.8111826045      -2.055472637  
2010 11 28.000000    23.8087532294      -2.081036631  
2010 12  3.000000    23.8068144527      -2.067721194  
2010 12  8.000000    23.8067467074      -2.081856827  
2010 12 13.000000    23.8079945177      -2.068177893  
2010 12 18.000000    23.8100059586      -2.036688350  
2010 12 23.000000    23.8140899239      -2.028566033  
2010 12 28.000000    23.8189543053      -1.977605190  
2011  1  2.000000    23.8250078521      -1.934531154  
2011  1  7.000000    23.8328938624      -1.895747722  
