v15.04    Планета: Уран  (INPOP13C)
          Спутник: U1 Ариэль  (Lainey V., 2015..)
                            - эфемериды на инт. 1847/01/00.5-2145/01/02.0
   Обсерватория N:  84 - Pulkovo
    Шкала времени: UTC
Средний экватор и равноденствие эпохи J2000.  ICRF. 
Координаты астрометрические 
Год  Месяц День       alpha (h)          delta (º)
2007  8  1.000000    23.2866568425      -5.476073119  
2007  8  6.000000    23.2777235116      -5.535322530  
2007  8 11.000000    23.2679780033      -5.599410554  
2007  8 16.000000    23.2575161304      -5.667694938  
2007  8 21.000000    23.2464477205      -5.739429960  
2007  8 26.000000    23.2348884368      -5.813856168  
2007  8 31.000000    23.2229539475      -5.890219112  
2007  9  5.000000    23.2107584593      -5.967796127  
2007  9 10.000000    23.1984237147      -6.045808740  
2007  9 15.000000    23.1860825365      -6.123399412  
2007  9 20.000000    23.1738704445      -6.199708235  
2007  9 25.000000    23.1619181455      -6.273915567  
2007  9 30.000000    23.1503473755      -6.345284125  
2007 10  5.000000    23.1392741157      -6.413111979  
2007 10 10.000000    23.1288185419      -6.476662778  
2007 10 15.000000    23.1190997940      -6.535211289  
2007 10 20.000000    23.1102271993      -6.588096594  
2007 10 25.000000    23.1022958792      -6.634773786  
2007 10 30.000000    23.0953853420      -6.674792959  
2007 11  4.000000    23.0895694196      -6.707737926  
2007 11  9.000000    23.0849198960      -6.733192325  
2007 11 14.000000    23.0814973925      -6.750805536  
2007 11 19.000000    23.0793465274      -6.760347430  
2007 11 24.000000    23.0784938295      -6.761696708  
2007 11 29.000000    23.0789526474      -6.754816692  
2007 12  4.000000    23.0807337749      -6.739660504  
2007 12  9.000000    23.0838415140      -6.716223364  
2007 12 14.000000    23.0882662380      -6.684581316  
2007 12 19.000000    23.0939826701      -6.644926423  
2007 12 24.000000    23.1009512511      -6.597531818  
2007 12 29.000000    23.1091276828      -6.542680301  
2008  1  3.000000    23.1184682741      -6.480654081  
2008  1  8.000000    23.1289213751      -6.411766626  
2008  1 13.000000    23.1404241118      -6.336425211  
2008  1 18.000000    23.1529017675      -6.255110105  
2008  1 23.000000    23.1662739247      -6.168330350  
2008  1 28.000000    23.1804636939      -6.076562119  
2008  2  2.000000    23.1953948756      -5.980272980  
2008  2  7.000000    23.2109848811      -5.879978110  
2008  2 12.000000    23.2271429662      -5.776256291  
2008  2 17.000000    23.2437723549      -5.669729546  
2008  2 22.000000    23.2607794504      -5.560983054  
2008  2 27.000000    23.2780774137      -5.450556941  
2008  3  3.000000    23.2955790162      -5.338996582  
2008  3  8.000000    23.3131923203      -5.226888155  
2008  3 13.000000    23.3308200098      -5.114866665  
2008  3 18.000000    23.3483652092      -5.003550557  
2008  3 23.000000    23.3657402704      -4.893493377  
2008  3 28.000000    23.3828629128      -4.785212796  
2008  4  2.000000    23.3996495786      -4.679240418  
2008  4  7.000000    23.4160133615      -4.576146475  
2008  4 12.000000    23.4318649072      -4.476509638  
2008  4 17.000000    23.4471227445      -4.380853158  
2008  4 22.000000    23.4617155341      -4.289618558  
2008  4 27.000000    23.4755750237      -4.203239926  
2008  5  2.000000    23.4886317321      -4.122162668  
2008  5  7.000000    23.5008142347      -4.046852901  
2008  5 12.000000    23.5120545904      -3.977747914  
2008  5 17.000000    23.5222979769      -3.915176572  
2008  5 22.000000    23.5314982214      -3.859419677  
2008  5 27.000000    23.5396110065      -3.810747384  
2008  6  1.000000    23.5465923159      -3.769442600  
2008  6  6.000000    23.5523996489      -3.735766044  
2008  6 11.000000    23.5570022088      -3.709896209  
2008  6 16.000000    23.5603843837      -3.691894486  
2008  6 21.000000    23.5625371890      -3.681791796  
2008  6 26.000000    23.5634546562      -3.679612450  
2008  7  1.000000    23.5631333387      -3.685354949  
2008  7  6.000000    23.5615784761      -3.698963242  
2008  7 11.000000    23.5588135204      -3.720240404  
2008  7 16.000000    23.5548751734      -3.748907379  
2008  7 21.000000    23.5498058071      -3.784663356  
2008  7 26.000000    23.5436514317      -3.827189137  
2008  7 31.000000    23.5364642481      -3.876121989  
2008  8  5.000000    23.5283118117      -3.930991074  
2008  8 10.000000    23.5192794915      -3.991199545  
2008  8 15.000000    23.5094604370      -4.056116163  
2008  8 20.000000    23.4989504909      -4.125109819  
2008  8 25.000000    23.4878475027      -4.197537132  
2008  8 30.000000    23.4762575402      -4.272697716  
2008  9  4.000000    23.4643019754      -4.349787290  
2008  9  9.000000    23.4521102142      -4.427950210  
2008  9 14.000000    23.4398106455      -4.506368995  
2008  9 19.000000    23.4275272520      -4.584258900  
2008  9 24.000000    23.4153817019      -4.660851145  
2008  9 29.000000    23.4035022440      -4.735333518  
2008 10  4.000000    23.3920220809      -4.806854815  
2008 10  9.000000    23.3810688877      -4.874623327  
2008 10 14.000000    23.3707590218      -4.937930106  
2008 10 19.000000    23.3611969286      -4.996154762  
2008 10 24.000000    23.3524816894      -5.048694051  
2008 10 29.000000    23.3447132989      -5.094941048  
2008 11  3.000000    23.3379838097      -5.134338315  
2008 11  8.000000    23.3323698827      -5.166443409  
2008 11 13.000000    23.3279312994      -5.190930988  
2008 11 18.000000    23.3247137213      -5.207552708  
2008 11 23.000000    23.3227591436      -5.216072546  
2008 11 28.000000    23.3221041014      -5.216278725  
2008 12  3.000000    23.3227706485      -5.208070124  
2008 12  8.000000    23.3247635655      -5.191451613  
2008 12 13.000000    23.3280721093      -5.166531553  
2008 12 18.000000    23.3326772564      -5.133449477  
2008 12 23.000000    23.3385594758      -5.092332735  
2008 12 28.000000    23.3456906871      -5.043375033  
2009  1  2.000000    23.3540288246      -4.986861244  
2009  1  7.000000    23.3635185831      -4.923164014  
2009  1 12.000000    23.3740957808      -4.852704512  
2009  1 17.000000    23.3856967479      -4.775880503  
2009  1 22.000000    23.3982585463      -4.693085137  
2009  1 27.000000    23.4117096039      -4.604779740  
2009  2  1.000000    23.4259684773      -4.511492817  
2009  2  6.000000    23.4409463127      -4.413800597  
2009  2 11.000000    23.4565538467      -4.312270499  
2009  2 16.000000    23.4727080826      -4.207414233  
2009  2 21.000000    23.4893253951      -4.099764572  
2009  2 26.000000    23.5063154421      -3.989908492  
2009  3  3.000000    23.5235818222      -3.878467425  
2009  3  8.000000    23.5410269658      -3.766078098  
2009  3 13.000000    23.5585598437      -3.653305656  
2009  3 18.000000    23.5760961617      -3.540685402  
2009  3 23.000000    23.5935491983      -3.428779715  
2009  3 28.000000    23.6108274925      -3.318183189  
2009  4  2.000000    23.6278372224      -3.209509778  
2009  4  7.000000    23.6444893753      -3.103325911  
2009  4 12.000000    23.6607051334      -3.000127721  
2009  4 17.000000    23.6764090959      -2.900393231  
2009  4 22.000000    23.6915231597      -2.804637819  
2009  4 27.000000    23.7059666044      -2.713381336  
2009  5  2.000000    23.7196607257      -2.627134955  
2009  5  7.000000    23.7325376033      -2.546317212  
2009  5 12.000000    23.7445385481      -2.471289400  
2009  5 17.000000    23.7556058970      -2.402423689  
2009  5 22.000000    23.7656805311      -2.340097209  
2009  5 27.000000    23.7747041213      -2.284686875  
2009  6  1.000000    23.7826268661      -2.236489412  
2009  6  6.000000    23.7894134167      -2.195706574  
2009  6 11.000000    23.7950350388      -2.162505820  
2009  6 16.000000    23.7994640275      -2.137056471  
2009  6 21.000000    23.8026744853      -2.119517283  
2009  6 26.000000    23.8046467577      -2.109991432  
2009  7  1.000000    23.8053772627      -2.108466728  
2009  7  6.000000    23.8048765281      -2.114841728  
2009  7 11.000000    23.8031597086      -2.128999205  
2009  7 16.000000    23.8002453623      -2.150806350  
2009  7 21.000000    23.7961576749      -2.180083566  
2009  7 26.000000    23.7909342752      -2.216554819  
2009  7 31.000000    23.7846321121      -2.259806871  
2009  8  5.000000    23.7773177442      -2.309386923  
2009  8 10.000000    23.7690611144      -2.364823994  
2009  8 15.000000    23.7599365314      -2.425627448  
2009  8 20.000000    23.7500270447      -2.491234435  
2009  8 25.000000    23.7394324248      -2.560958406  
2009  8 30.000000    23.7282663209      -2.634050156  
2009  9  4.000000    23.7166436084      -2.709748206  
2009  9  9.000000    23.7046789873      -2.787321450  
2009  9 14.000000    23.6924886617      -2.866011298  
2009  9 19.000000    23.6801969224      -2.944998669  
2009  9 24.000000    23.6679393165      -3.023399062  
2009  9 29.000000    23.6558510216      -3.100346395  
2009 10  4.000000    23.6440591391      -3.175041333  
2009 10  9.000000    23.6326833687      -3.246732383  
2009 10 14.000000    23.6218404803      -3.314686017  
2009 10 19.000000    23.6116504072      -3.378127707  
2009 10 24.000000    23.6022312109      -3.436326390  
2009 10 29.000000    23.5936872024      -3.488641022  
2009 11  3.000000    23.5861075336      -3.534538507  
2009 11  8.000000    23.5795691834      -3.573562888  
2009 11 13.000000    23.5741442309      -3.605262502  
2009 11 18.000000    23.5699018835      -3.629220426  
2009 11 23.000000    23.5668979194      -3.645110847  
2009 11 28.000000    23.5651695620      -3.652735839  
2009 12  3.000000    23.5647381133      -3.651998509  
2009 12  8.000000    23.5656144400      -3.642845709  
2009 12 13.000000    23.5678072623      -3.625235182  
2009 12 18.000000    23.5713171489      -3.599181018  
2009 12 23.000000    23.5761285427      -3.564814871  
2009 12 28.000000    23.5822104028      -3.522360120  
2010  1  2.000000    23.5895207123      -3.472105544  
2010  1  7.000000    23.5980146460      -3.414339691  
2010  1 12.000000    23.6076473175      -3.349346947  
2010  1 17.000000    23.6183640763      -3.277500167  
2010  1 22.000000    23.6300974518      -3.199242155  
2010  1 27.000000    23.6427711798      -3.115084041  
2010  2  1.000000    23.6563053929      -3.025533282  
2010  2  6.000000    23.6706248206      -2.931067108  
2010  2 11.000000    23.6856535357      -2.832175783  
2010  2 16.000000    23.7013065961      -2.729417399  
2010  2 21.000000    23.7174919922      -2.623404949  
2010  2 26.000000    23.7341145898      -2.514745169  
2010  3  3.000000    23.7510835229      -2.404024715  
2010  3  8.000000    23.7683148819      -2.291772416  
2010  3 13.000000    23.7857217114      -2.178562401  
2010  3 18.000000    23.8032107329      -2.065011790  
2010  3 23.000000    23.8206858425      -1.951746873  
2010  3 28.000000    23.8380536766      -1.839368347  
2010  4  2.000000    23.8552298326      -1.728409596  
2010  4  7.000000    23.8721346711      -1.619390424  
2010  4 12.000000    23.8886839179      -1.512862522  
2010  4 17.000000    23.9047901394      -1.409405418  
2010  4 22.000000    23.9203670314      -1.309570966  
2010  4 27.000000    23.9353363449      -1.213851017  
2010  5  2.000000    23.9496299691      -1.122680848  
2010  5  7.000000    23.9631802287      -1.036493149  
2010  5 12.000000    23.9759163367      -0.955760116  
2010  5 17.000000    23.9877675340      -0.880930986  
2010  5 22.000000    23.9986692533      -0.812403412  
2010  5 27.000000     0.0085698720      -0.750496117  
2010  6  1.000000     0.0174248396      -0.695478783  
2010  6  6.000000     0.0251890408      -0.647649407  
2010  6 11.000000     0.0318173267      -0.607288919  
