v15.04    Планета: Уран  (INPOP13C)
          Спутник: U2 Умбриэль  (Lainey V., 2015..)
                            - эфемериды на инт. 1847/01/00.5-2145/02/13.7
   Обсерватория N:  84 - Pulkovo
    Шкала времени: UTC
Средний экватор и равноденствие эпохи J2000.  ICRF. 
Координаты астрометрические 
Год  Месяц День       alpha (h)          delta (º)
2007  8  1.000000    23.2867222593      -5.479791597  
2007  8  6.000000    23.2777482006      -5.536646943  
2007  8 11.000000    23.2678829749      -5.594223065  
2007  8 16.000000    23.2573922225      -5.660929892  
2007  8 21.000000    23.2464207197      -5.737851485  
2007  8 26.000000    23.2349338303      -5.816255163  
2007  8 31.000000    23.2229332581      -5.889181854  
2007  9  5.000000    23.2106249474      -5.960538241  
2007  9 10.000000    23.1982933902      -6.038342190  
2007  9 15.000000    23.1860614135      -6.121750116  
2007  9 20.000000    23.1738990910      -6.201239580  
2007  9 25.000000    23.1618601039      -6.271198543  
2007  9 30.000000    23.1501924408      -6.336983882  
2007 10  5.000000    23.1391545273      -6.406024860  
2007 10 10.000000    23.1288121331      -6.475768989  
2007 10 15.000000    23.1191179023      -6.536586107  
2007 10 20.000000    23.1101457365      -6.584635244  
2007 10 25.000000    23.1021402826      -6.626644166  
2007 10 30.000000    23.0952926427      -6.669206267  
2007 11  4.000000    23.0895864123      -6.708421524  
2007 11  9.000000    23.0849374735      -6.735115187  
2007 11 14.000000    23.0814111383      -6.747515371  
2007 11 19.000000    23.0792110743      -6.753452615  
2007 11 24.000000    23.0784415600      -6.758474737  
2007 11 29.000000    23.0790010705      -6.757604109  
2007 12  4.000000    23.0807628560      -6.742567079  
2007 12  9.000000    23.0837685406      -6.713701853  
2007 12 14.000000    23.0881667840      -6.679570259  
2007 12 19.000000    23.0939786903      -6.644456559  
2007 12 24.000000    23.1010356984      -6.602481620  
2007 12 29.000000    23.1091768245      -6.546576061  
2008  1  3.000000    23.1184194706      -6.479050569  
2008  1  8.000000    23.1288638167      -6.408785428  
2008  1 13.000000    23.1404674087      -6.338576948  
2008  1 18.000000    23.1530199799      -6.261833293  
2008  1 23.000000    23.1663430392      -6.172810916  
2008  1 28.000000    23.1804385525      -6.075638370  
2008  2  2.000000    23.1953731973      -5.979047448  
2008  2  7.000000    23.2110649249      -5.884223259  
2008  2 12.000000    23.2272839426      -5.784019504  
2008  2 17.000000    23.2438512753      -5.674125590  
2008  2 22.000000    23.2607657542      -5.560228060  
2008  2 27.000000    23.2780757895      -5.450541819  
2008  3  3.000000    23.2956779643      -5.344557936  
2008  3  8.000000    23.3133379866      -5.234762461  
2008  3 13.000000    23.3308903549      -5.118364303  
2008  3 18.000000    23.3483432996      -5.002323013  
2008  3 23.000000    23.3657384467      -4.894017220  
2008  3 28.000000    23.3829605999      -4.791209747  
2008  4  2.000000    23.3997796501      -4.686260493  
2008  4  7.000000    23.4160544572      -4.577944101  
2008  4 12.000000    23.4318154654      -4.474218000  
2008  4 17.000000    23.4471036481      -4.381281847  
2008  4 22.000000    23.4617963159      -4.295245668  
2008  4 27.000000    23.4756731450      -4.208567813  
2008  5  2.000000    23.4886279984      -4.121656482  
2008  5  7.000000    23.5007256572      -4.043102409  
2008  5 12.000000    23.5120109502      -3.977644753  
2008  5 17.000000    23.5223551406      -3.919828382  
2008  5 22.000000    23.5315562710      -3.862489051  
2008  5 27.000000    23.5395564225      -3.807646815  
2008  6  1.000000    23.5464647961      -3.764143211  
2008  6  6.000000    23.5523361552      -3.734977634  
2008  6 11.000000    23.5570387033      -3.713263908  
2008  6 16.000000    23.5604030502      -3.692493289  
2008  6 21.000000    23.5624363297      -3.676200294  
2008  6 26.000000    23.5633006639      -3.673063607  
2008  7  1.000000    23.5630646428      -3.684067257  
2008  7  6.000000    23.5616045311      -3.701115559  
2008  7 11.000000    23.5588004242      -3.718587307  
2008  7 16.000000    23.5547419485      -3.741396900  
2008  7 21.000000    23.5496465159      -3.777572069  
2008  7 26.000000    23.5435971992      -3.825955562  
2008  7 31.000000    23.5364921502      -3.877499059  
2008  8  5.000000    23.5282781734      -3.927742920  
2008  8 10.000000    23.5191328720      -3.982752514  
2008  8 15.000000    23.5093195554      -4.049509048  
2008  8 20.000000    23.4989283803      -4.124727478  
2008  8 25.000000    23.4878864934      -4.198824618  
2008  8 30.000000    23.4762144279      -4.268773748  
2008  9  4.000000    23.4641611699      -4.341582805  
2008  9  9.000000    23.4520076695      -4.422927406  
2008  9 14.000000    23.4398312103      -4.507628811  
2008  9 19.000000    23.4275817019      -4.586147041  
2008  9 24.000000    23.4153384556      -4.657155487  
2008  9 29.000000    23.4033837793      -4.728458244  
2008 10  4.000000    23.3919702727      -4.804285493  
2008 10  9.000000    23.3811347177      -4.878043865  
2008 10 14.000000    23.3708294527      -4.940851348  
2008 10 19.000000    23.3611615805      -4.993331107  
2008 10 24.000000    23.3523968435      -5.043849002  
2008 10 29.000000    23.3447160672      -5.095229648  
2008 11  3.000000    23.3380906613      -5.139958946  
2008 11  8.000000    23.3324540871      -5.170392154  
2008 11 13.000000    23.3279085455      -5.189158587  
2008 11 18.000000    23.3246657876      -5.204885979  
2008 11 23.000000    23.3228108634      -5.219028891  
2008 11 28.000000    23.3222415617      -5.223599128  
2008 12  3.000000    23.3228624171      -5.212562754  
2008 12  8.000000    23.3247512333      -5.190417872  
2008 12 13.000000    23.3280544958      -5.165674939  
2008 12 18.000000    23.3327633548      -5.138384240  
2008 12 23.000000    23.3387116396      -5.100456370  
2008 12 28.000000    23.3457784262      -5.047608646  
2009  1  2.000000    23.3540167382      -4.985954554  
2009  1  7.000000    23.3635158362      -4.923437928  
2009  1 12.000000    23.3741959979      -4.858689119  
2009  1 17.000000    23.3858442115      -4.783760321  
2009  1 22.000000    23.3983265525      -4.696192978  
2009  1 27.000000    23.4116818147      -4.603319391  
2009  2  1.000000    23.4259610867      -4.512155979  
2009  2  6.000000    23.4410396599      -4.419896588  
2009  2 11.000000    23.4566777142      -4.318935195  
2009  2 16.000000    23.4727400073      -4.208642972  
2009  2 21.000000    23.4892657103      -4.097188893  
2009  2 26.000000    23.5062866936      -3.990343625  
2009  3  3.000000    23.5236526110      -3.883894777  
2009  3  8.000000    23.5411139070      -3.770784117  
2009  3 13.000000    23.5585441744      -3.652155186  
2009  3 18.000000    23.5759950577      -3.536691090  
2009  3 23.000000    23.5934918799      -3.428622527  
2009  3 28.000000    23.6108707892      -3.322452535  
2009  4  2.000000    23.6278836436      -3.211844058  
2009  4  7.000000    23.6444245511      -3.099671065  
2009  4 12.000000    23.6605646733      -2.994755868  
2009  4 17.000000    23.6763292016      -2.899614526  
2009  4 22.000000    23.6915462377      -2.807603762  
2009  4 27.000000    23.7059794920      -2.713320043  
2009  5  2.000000    23.7195558792      -2.621241333  
2009  5  7.000000    23.7323719031      -2.539974470  
2009  5 12.000000    23.7444536428      -2.470181544  
2009  5 17.000000    23.7556249878      -2.404271472  
2009  5 22.000000    23.7656739272      -2.337971710  
2009  5 27.000000    23.7745758597      -2.277168462  
2009  6  1.000000    23.7824584471      -2.229892697  
2009  6  6.000000    23.7893471209      -2.194822322  
2009  6 11.000000    23.7950691884      -2.163692700  
2009  6 16.000000    23.7994535720      -2.133496102  
2009  6 21.000000    23.8025425350      -2.111288158  
2009  6 26.000000    23.8045005885      -2.104072799  
2009  7  1.000000    23.8053523627      -2.108542168  
2009  7  6.000000    23.8049404127      -2.116000850  
2009  7 11.000000    23.8031573259      -2.124847829  
2009  7 16.000000    23.8001271808      -2.142940342  
2009  7 21.000000    23.7960546190      -2.175841981  
2009  7 26.000000    23.7909651650      -2.218319260  
2009  7 31.000000    23.7847303574      -2.261579892  
2009  8  5.000000    23.7773274819      -2.305490359  
2009  8 10.000000    23.7689675908      -2.358321418  
2009  8 15.000000    23.7598881014      -2.423875219  
2009  8 20.000000    23.7501151297      -2.495162276  
2009  8 25.000000    23.7395580932      -2.563750812  
2009  8 30.000000    23.7282843119      -2.631007804  
2009  9  4.000000    23.7165783721      -2.705282855  
2009  9  9.000000    23.7046857878      -2.788433678  
2009  9 14.000000    23.6926235205      -2.872130565  
2009  9 19.000000    23.6803348483      -2.948792609  
2009  9 24.000000    23.6679577836      -3.021407749  
2009  9 29.000000    23.6558115353      -3.098081088  
2009 10  4.000000    23.6441123217      -3.178826504  
2009 10  9.000000    23.6328465440      -3.254527459  
2009 10 14.000000    23.6219727926      -3.319002062  
2009 10 19.000000    23.6116601348      -3.376904938  
2009 10 24.000000    23.6022098768      -3.435896984  
2009 10 29.000000    23.5937707714      -3.494365929  
2009 11  3.000000    23.5862768989      -3.543029793  
2009 11  8.000000    23.5796787568      -3.577552517  
2009 11 13.000000    23.5741350867      -3.604152448  
2009 11 18.000000    23.5698866294      -3.629879265  
2009 11 23.000000    23.5669917747      -3.651710802  
2009 11 28.000000    23.5653235677      -3.660743437  
2009 12  3.000000    23.5648100610      -3.654691727  
2009 12  8.000000    23.5655762163      -3.641106471  
2009 12 13.000000    23.5677836743      -3.626142435  
2009 12 18.000000    23.5714019009      -3.605599920  
2009 12 23.000000    23.5762498492      -3.571282292  
2009 12 28.000000    23.5822342162      -3.522991211  
2010  1  2.000000    23.5894450251      -3.469180509  
2010  1  7.000000    23.5979707763      -3.414859955  
2010  1 12.000000    23.6077093883      -3.354794744  
2010  1 17.000000    23.6184431661      -3.281728563  
2010  1 22.000000    23.6300689293      -3.197414868  
2010  1 27.000000    23.6426548789      -3.110754752  
2010  2  1.000000    23.6562369090      -3.025371070  
2010  2  6.000000    23.6706606665      -2.935128713  
2010  2 11.000000    23.6856911222      -2.833891444  
2010  2 16.000000    23.7012300032      -2.725150023  
2010  2 21.000000    23.7173409633      -2.617838456  
2010  2 26.000000    23.7340282247      -2.513964615  
2010  3  3.000000    23.7511019919      -2.406687812  
2010  3  8.000000    23.7683221597      -2.291110792  
2010  3 13.000000    23.7856107775      -2.172281359  
2010  3 18.000000    23.8030409681      -2.058730786  
2010  3 23.000000    23.8205994574      -1.950743729  
2010  3 28.000000    23.8380734829      -1.840954410  
2010  4  2.000000    23.8552254965      -1.725863089  
2010  4  7.000000    23.8720094640      -1.611836785  
2010  4 12.000000    23.8885181448      -1.506649135  
2010  4 17.000000    23.9047277807      -1.408798291  
2010  4 22.000000    23.9204100250      -1.310612772  
2010  4 27.000000    23.9353398144      -1.210122254  
2010  5  2.000000    23.9495107348      -1.114771051  
2010  5  7.000000    23.9630418597      -1.031244415  
2010  5 12.000000    23.9759006137      -0.956236454  
2010  5 17.000000    23.9878510194      -0.882034762  
2010  5 22.000000    23.9986936629      -0.808263168  
2010  5 27.000000     0.0084717791      -0.743189302  
2010  6  1.000000     0.0173317336      -0.692054108  
2010  6  6.000000     0.0252345048      -0.649830618  
2010  6 11.000000     0.0319475830      -0.608995750  
