v15.04    Планета: Уран  (INPOP13C)
          Спутник: U3 Титани  (Lainey V., 2015..)
                            - эфемериды на инт. 1847/01/00.5-2145/12/03.2
   Обсерватория N:  84 - Pulkovo
    Шкала времени: UTC
Средний экватор и равноденствие эпохи J2000.  ICRF. 
Координаты астрометрические 
Год  Месяц День       alpha (h)          delta (º)
2007  8  1.000000    23.2867862267      -5.483283296  
2007  8  6.000000    23.2775602286      -5.526537550  
2007  8 11.000000    23.2680307087      -5.602261778  
2007  8 16.000000    23.2574573265      -5.664492284  
2007  8 21.000000    23.2463510005      -5.734163754  
2007  8 26.000000    23.2349525492      -5.817214854  
2007  8 31.000000    23.2227535655      -5.879178361  
2007  9  5.000000    23.2108517226      -5.972947158  
2007  9 10.000000    23.1982469264      -6.035622582  
2007  9 15.000000    23.1860791708      -6.123725779  
2007  9 20.000000    23.1738186415      -6.196007891  
2007  9 25.000000    23.1617707262      -6.266486862  
2007  9 30.000000    23.1504119533      -6.348297409  
2007 10  5.000000    23.1390548327      -6.401147041  
2007 10 10.000000    23.1288894385      -6.481082545  
2007 10 15.000000    23.1189388506      -6.525527733  
2007 10 20.000000    23.1101903316      -6.587570018  
2007 10 25.000000    23.1022739268      -6.632442448  
2007 10 30.000000    23.0952209789      -6.667221667  
2007 11  4.000000    23.0896525643      -6.712091844  
2007 11  9.000000    23.0847173426      -6.722438082  
2007 11 14.000000    23.0815698467      -6.756096810  
2007 11 19.000000    23.0792291955      -6.753135922  
2007 11 24.000000    23.0784583800      -6.761943442  
2007 11 29.000000    23.0789792287      -6.755424516  
2007 12  4.000000    23.0805911149      -6.733544886  
2007 12  9.000000    23.0839617834      -6.723062274  
2007 12 14.000000    23.0881102480      -6.676398423  
2007 12 19.000000    23.0940831028      -6.651938481  
2007 12 24.000000    23.1008933816      -6.593735987  
2007 12 29.000000    23.1091245659      -6.544344727  
2008  1  3.000000    23.1185507056      -6.484633669  
2008  1  8.000000    23.1288233549      -6.407471127  
2008  1 13.000000    23.1405895274      -6.345748235  
2008  1 18.000000    23.1527994220      -6.249540151  
2008  1 23.000000    23.1664127286      -6.176749548  
2008  1 28.000000    23.1804577756      -6.075826228  
2008  2  2.000000    23.1954287762      -5.982769111  
2008  2  7.000000    23.2111092151      -5.886590945  
2008  2 12.000000    23.2270809733      -5.772986160  
2008  2 17.000000    23.2439682863      -5.680508483  
2008  2 22.000000    23.2607072898      -5.557003546  
2008  2 27.000000    23.2782371945      -5.459156949  
2008  3  3.000000    23.2955929088      -5.340069144  
2008  3  8.000000    23.3132377401      -5.228879072  
2008  3 13.000000    23.3309530209      -5.122694234  
2008  3 18.000000    23.3483033471      -4.999886710  
2008  3 23.000000    23.3659344401      -4.904218711  
2008  3 28.000000    23.3827792879      -4.781342738  
2008  4  2.000000    23.3997957776      -4.686485194  
2008  4  7.000000    23.4160074092      -4.577525969  
2008  4 12.000000    23.4318827536      -4.476491272  
2008  4 17.000000    23.4472305633      -4.388410017  
2008  4 22.000000    23.4616136031      -4.284136477  
2008  4 27.000000    23.4757370164      -4.212475907  
2008  5  2.000000    23.4885027546      -4.117095248  
2008  5  7.000000    23.5009168561      -4.051430192  
2008  5 12.000000    23.5120059709      -3.978252317  
2008  5 17.000000    23.5222599835      -3.912028469  
2008  5 22.000000    23.5315670047      -3.865646791  
2008  5 27.000000    23.5394492346      -3.802575978  
2008  6  1.000000    23.5467122926      -3.776325497  
2008  6  6.000000    23.5522201972      -3.728878993  
2008  6 11.000000    23.5570526928      -3.711207455  
2008  6 16.000000    23.5603015699      -3.691105159  
2008  6 21.000000    23.5624408620      -3.675272184  
2008  6 26.000000    23.5634996311      -3.684333719  
2008  7  1.000000    23.5629229676      -3.674626933  
2008  7  6.000000    23.5616703493      -3.703586521  
2008  7 11.000000    23.5586103757      -3.711961287  
2008  7 16.000000    23.5548866113      -3.747423634  
2008  7 21.000000    23.5497244614      -3.783262422  
2008  7 26.000000    23.5435170188      -3.818214575  
2008  7 31.000000    23.5365177939      -3.880200726  
2008  8  5.000000    23.5280863538      -3.919003027  
2008  8 10.000000    23.5193671474      -3.994676538  
2008  8 15.000000    23.5092767300      -4.047975146  
2008  8 20.000000    23.4989443555      -4.122317295  
2008  8 25.000000    23.4878080981      -4.197094433  
2008  8 30.000000    23.4761137697      -4.263135644  
2008  9  4.000000    23.4643921549      -4.354777341  
2008  9  9.000000    23.4519065021      -4.416747400  
2008  9 14.000000    23.4399121311      -4.510341095  
2008  9 19.000000    23.4273993784      -4.578223371  
2008  9 24.000000    23.4153767759      -4.658583318  
2008  9 29.000000    23.4035293365      -4.737512454  
2008 10  4.000000    23.3918931745      -4.798595930  
2008 10  9.000000    23.3812071126      -4.881866267  
2008 10 14.000000    23.3706026105      -4.929272386  
2008 10 19.000000    23.3613202500      -5.001789680  
2008 10 24.000000    23.3524254042      -5.046081535  
2008 10 29.000000    23.3447214934      -5.094225724  
2008 11  3.000000    23.3380791224      -5.139854279  
2008 11  8.000000    23.3322702473      -5.160363258  
2008 11 13.000000    23.3281131119      -5.200638892  
2008 11 18.000000    23.3246107438      -5.201937179  
2008 11 23.000000    23.3229029649      -5.223245774  
2008 11 28.000000    23.3221103227      -5.217005677  
2008 12  3.000000    23.3227943183      -5.208590755  
2008 12  8.000000    23.3249079064      -5.199645083  
2008 12 13.000000    23.3279982990      -5.162095361  
2008 12 18.000000    23.3328840741      -5.144560690  
2008 12 23.000000    23.3384914145      -5.088879938  
2008 12 28.000000    23.3458409651      -5.050812317  
2009  1  2.000000    23.3540653600      -4.989655142  
2009  1  7.000000    23.3635424447      -4.923565685  
2009  1 12.000000    23.3742537719      -4.862018037  
2009  1 17.000000    23.3856227807      -4.771642035  
2009  1 22.000000    23.3984593837      -4.703887733  
2009  1 27.000000    23.4116379171      -4.601928628  
2009  2  1.000000    23.4260982455      -4.517496844  
2009  2  6.000000    23.4409699351      -4.417028443  
2009  2 11.000000    23.4565482403      -4.310944493  
2009  2 16.000000    23.4728409291      -4.216191989  
2009  2 21.000000    23.4892153382      -4.094225171  
2009  2 26.000000    23.5064799614      -3.998851284  
2009  3  3.000000    23.5234684371      -3.874835303  
2009  3  8.000000    23.5411111005      -3.769291775  
2009  3 13.000000    23.5585385169      -3.655707595  
2009  3 18.000000    23.5760370682      -3.536506264  
2009  3 23.000000    23.5936365533      -3.435953929  
2009  3 28.000000    23.6106594139      -3.310448495  
2009  4  2.000000    23.6279553297      -3.215767575  
2009  4  7.000000    23.6443206781      -3.098254723  
2009  4 12.000000    23.6607390997      -2.999995576  
2009  4 17.000000    23.6763427802      -2.901571282  
2009  4 22.000000    23.6914103382      -2.797341402  
2009  4 27.000000    23.7060206334      -2.718804509  
2009  5  2.000000    23.7194430408      -2.617251383  
2009  5  7.000000    23.7326277512      -2.550000757  
2009  5 12.000000    23.7443359287      -2.465114338  
2009  5 17.000000    23.7556105891      -2.399359194  
2009  5 22.000000    23.7656026576      -2.340625062  
2009  5 27.000000    23.7745631235      -2.275018476  
2009  6  1.000000    23.7826858802      -2.240944586  
2009  6  6.000000    23.7891803300      -2.184692760  
2009  6 11.000000    23.7951328630      -2.164631983  
2009  6 16.000000    23.7992719275      -2.131009627  
2009  6 21.000000    23.8026820883      -2.114819775  
2009  6 26.000000    23.8046052329      -2.111218354  
2009  7  1.000000    23.8052410097      -2.097944484  
2009  7  6.000000    23.8049809676      -2.119753723  
2009  7 11.000000    23.8029507509      -2.118545569  
2009  7 16.000000    23.8003789395      -2.152931983  
2009  7 21.000000    23.7960190496      -2.175864063  
2009  7 26.000000    23.7909641372      -2.211888043  
2009  7 31.000000    23.7846618328      -2.263298612  
2009  8  5.000000    23.7772065261      -2.299780224  
2009  8 10.000000    23.7692286596      -2.371628183  
2009  8 15.000000    23.7597761001      -2.417431611  
2009  8 20.000000    23.7501980117      -2.494700093  
2009  8 25.000000    23.7393678385      -2.559958146  
2009  8 30.000000    23.7283145371      -2.630730162  
2009  9  4.000000    23.7167497787      -2.716469379  
2009  9  9.000000    23.7045928654      -2.779835911  
2009  9 14.000000    23.6927067038      -2.875300836  
2009  9 19.000000    23.6800868513      -2.939911840  
2009  9 24.000000    23.6681252483      -3.028553559  
2009  9 29.000000    23.6558532435      -3.102828723  
2009 10  4.000000    23.6441060039      -3.173263591  
2009 10  9.000000    23.6328442378      -3.256363765  
2009 10 14.000000    23.6217652080      -3.309258771  
2009 10 19.000000    23.6118867389      -3.389109306  
2009 10 24.000000    23.6021543176      -3.433813839  
2009 10 29.000000    23.5938576537      -3.494469449  
2009 11  3.000000    23.5861488180      -3.539417380  
2009 11  8.000000    23.5795917612      -3.572219459  
2009 11 13.000000    23.5743225094      -3.616190840  
2009 11 18.000000    23.5698157759      -3.624582367  
2009 11 23.000000    23.5671165486      -3.655923106  
2009 11 28.000000    23.5650959996      -3.651256868  
2009 12  3.000000    23.5648663988      -3.656673858  
2009 12  8.000000    23.5656558308      -3.648266924  
2009 12 13.000000    23.5677844371      -3.622629815  
2009 12 18.000000    23.5714741274      -3.609401827  
2009 12 23.000000    23.5760060939      -3.559345971  
2009 12 28.000000    23.5823831612      -3.531111544  
2010  1  2.000000    23.5894176509      -3.470075567  
2010  1  7.000000    23.5980834334      -3.416251761  
2010  1 12.000000    23.6076552907      -3.353780522  
2010  1 17.000000    23.6182812855      -3.272330854  
2010  1 22.000000    23.6302098503      -3.207411646  
2010  1 27.000000    23.6425955637      -3.107786771  
2010  2  1.000000    23.6564236417      -3.031194529  
2010  2  6.000000    23.6704754339      -2.927730856  
2010  2 11.000000    23.6856642459      -2.830671441  
2010  2 16.000000    23.7012731282      -2.732362287  
2010  2 21.000000    23.7173543988      -2.615411364  
2010  2 26.000000    23.7341892474      -2.520654911  
2010  3  3.000000    23.7508615696      -2.394954131  
2010  3  8.000000    23.7683984743      -2.294464392  
2010  3 13.000000    23.7855395488      -2.174250402  
2010  3 18.000000    23.8031898267      -2.060557413  
2010  3 23.000000    23.8206363323      -1.953776587  
2010  3 28.000000    23.8378894056      -1.829293521  
2010  4  2.000000    23.8553031868      -1.732867035  
2010  4  7.000000    23.8718979258      -1.609528556  
2010  4 12.000000    23.8887741553      -1.513628977  
2010  4 17.000000    23.9046138606      -1.405282294  
2010  4 22.000000    23.9203542868      -1.303390081  
2010  4 27.000000    23.9353161126      -1.216258306  
2010  5  2.000000    23.9494768740      -1.111915995  
2010  5  7.000000    23.9632981012      -1.040889971  
2010  5 12.000000    23.9757040147      -0.946612439  
2010  5 17.000000    23.9879035902      -0.881227402  
2010  5 22.000000    23.9985404133      -0.809998031  
2010  5 27.000000     0.0085954367      -0.744112223  
2010  6  1.000000     0.0174723769      -0.699738272  
2010  6  6.000000     0.0250720347      -0.637749054  
2010  6 11.000000     0.0320076684      -0.613031422  
