v15.04    Планета: Уран  (INPOP13C)
          Спутник: U4 Оберон  (Lainey V., 2015..)
                            - эфемериды на инт. 1847/01/00.5-2146/02/12.7
   Обсерватория N:  84 - Pulkovo
    Шкала времени: UTC
Средний экватор и равноденствие эпохи J2000.  ICRF. 
Координаты астрометрические 
Год  Месяц День       alpha (h)          delta (º)
2007  8  1.000000    23.2867371894      -5.480890522  
2007  8  6.000000    23.2777476299      -5.536569601  
2007  8 11.000000    23.2677664135      -5.587797006  
2007  8 16.000000    23.2576717228      -5.676320134  
2007  8 21.000000    23.2463090107      -5.731923423  
2007  8 26.000000    23.2347774964      -5.807339690  
2007  8 31.000000    23.2230835284      -5.897579998  
2007  9  5.000000    23.2105102178      -5.954180905  
2007  9 10.000000    23.1984518017      -6.046553914  
2007  9 15.000000    23.1860912231      -6.124718406  
2007  9 20.000000    23.1736211481      -6.185393037  
2007  9 25.000000    23.1620419398      -6.280244353  
2007  9 30.000000    23.1502023308      -6.338574561  
2007 10  5.000000    23.1391287862      -6.403698484  
2007 10 10.000000    23.1289397420      -6.484003360  
2007 10 15.000000    23.1188497595      -6.522357501  
2007 10 20.000000    23.1102312589      -6.586706194  
2007 10 25.000000    23.1023205502      -6.638147200  
2007 10 30.000000    23.0951345154      -6.660776584  
2007 11  4.000000    23.0896883922      -6.713580883  
2007 11  9.000000    23.0848104328      -6.729760643  
2007 11 14.000000    23.0813485866      -6.741293731  
2007 11 19.000000    23.0794929217      -6.769355248  
2007 11 24.000000    23.0782878889      -6.752298970  
2007 11 29.000000    23.0789562915      -6.753456750  
2007 12  4.000000    23.0808173545      -6.746614062  
2007 12  9.000000    23.0836274819      -6.704931554  
2007 12 14.000000    23.0884023937      -6.691348613  
2007 12 19.000000    23.0939567873      -6.646130435  
2007 12 24.000000    23.1008224219      -6.589675413  
2007 12 29.000000    23.1093232941      -6.553996953  
2008  1  3.000000    23.1183470427      -6.475713054  
2008  1  8.000000    23.1289331401      -6.411309675  
2008  1 13.000000    23.1405916949      -6.346969454  
2008  1 18.000000    23.1527474419      -6.247046481  
2008  1 23.000000    23.1664235716      -6.175964073  
2008  1 28.000000    23.1805402419      -6.081900960  
2008  2  2.000000    23.1952857636      -5.973927660  
2008  2  7.000000    23.2112162702      -5.892719660  
2008  2 12.000000    23.2271117377      -5.774879902  
2008  2 17.000000    23.2437695478      -5.669356165  
2008  2 22.000000    23.2610093745      -5.573669770  
2008  2 27.000000    23.2779694238      -5.444458395  
2008  3  3.000000    23.2957006100      -5.346026498  
2008  3  8.000000    23.3133419162      -5.234577112  
2008  3 13.000000    23.3306990289      -5.108464454  
2008  3 18.000000    23.3485792930      -5.015835968  
2008  3 23.000000    23.3657633928      -4.893739331  
2008  3 28.000000    23.3827987367      -4.783064690  
2008  4  2.000000    23.3998841593      -4.691988126  
2008  4  7.000000    23.4159131356      -4.570056263  
2008  4 12.000000    23.4319032409      -4.480939567  
2008  4 17.000000    23.4472911166      -4.388854994  
2008  4 22.000000    23.4615452171      -4.281271859  
2008  4 27.000000    23.4757151943      -4.213088498  
2008  5  2.000000    23.4886655426      -4.122213376  
2008  5  7.000000    23.5006555962      -4.041167077  
2008  5 12.000000    23.5122438442      -3.988816347  
2008  5 17.000000    23.5221792017      -3.907660025  
2008  5 22.000000    23.5314270266      -3.859703879  
2008  5 27.000000    23.5397619514      -3.817752648  
2008  6  1.000000    23.5463653417      -3.758081762  
2008  6  6.000000    23.5524478407      -3.741987213  
2008  6 11.000000    23.5570313074      -3.709082289  
2008  6 16.000000    23.5601421250      -3.681992735  
2008  6 21.000000    23.5626722978      -3.690521650  
2008  6 26.000000    23.5633253308      -3.670631565  
2008  7  1.000000    23.5629762235      -3.681197348  
2008  7  6.000000    23.5617141271      -3.705049575  
2008  7 11.000000    23.5585610836      -3.706424404  
2008  7 16.000000    23.5548606876      -3.751659768  
2008  7 21.000000    23.5498457169      -3.783884742  
2008  7 26.000000    23.5433739962      -3.814076881  
2008  7 31.000000    23.5365731151      -3.883223393  
2008  8  5.000000    23.5282027202      -3.922224503  
2008  8 10.000000    23.5190915790      -3.983917185  
2008  8 15.000000    23.5096060472      -4.062691539  
2008  8 20.000000    23.4987181042      -4.111116984  
2008  8 25.000000    23.4878190900      -4.198294436  
2008  8 30.000000    23.4763330390      -4.274056055  
2008  9  4.000000    23.4640424008      -4.336001327  
2008  9  9.000000    23.4522289948      -4.435077897  
2008  9 14.000000    23.4397513703      -4.500522707  
2008  9 19.000000    23.4273571546      -4.576221636  
2008  9 24.000000    23.4155610726      -4.669723114  
2008  9 29.000000    23.4033238325      -4.724099158  
2008 10  4.000000    23.3920148642      -4.807551433  
2008 10  9.000000    23.3811987868      -4.880084120  
2008 10 14.000000    23.3705492328      -4.926150581  
2008 10 19.000000    23.3613450010      -5.004630366  
2008 10 24.000000    23.3524910839      -5.047715787  
2008 10 29.000000    23.3445812287      -5.088083474  
2008 11  3.000000    23.3382063319      -5.146211722  
2008 11  8.000000    23.3322626542      -5.159644492  
2008 11 13.000000    23.3279492453      -5.192443830  
2008 11 18.000000    23.3249049137      -5.217302667  
2008 11 23.000000    23.3226051158      -5.207312328  
2008 11 28.000000    23.3222713746      -5.225819370  
2008 12  3.000000    23.3228540073      -5.211728339  
2008 12  8.000000    23.3246574612      -5.185879696  
2008 12 13.000000    23.3283216281      -5.180202526  
2008 12 18.000000    23.3326374856      -5.130415259  
2008 12 23.000000    23.3385710602      -5.093719439  
2008 12 28.000000    23.3459250880      -5.055611284  
2009  1  2.000000    23.3539104148      -4.980020074  
2009  1  7.000000    23.3636613932      -4.931982055  
2009  1 12.000000    23.3742317926      -4.858913382  
2009  1 17.000000    23.3855771759      -4.770045404  
2009  1 22.000000    23.3984871360      -4.706221623  
2009  1 27.000000    23.4117090484      -4.603382291  
2009  2  1.000000    23.4259199561      -4.510859019  
2009  2  6.000000    23.4411781876      -4.426037142  
2009  2 11.000000    23.4564352084      -4.305359583  
2009  2 16.000000    23.4727671520      -4.213426010  
2009  2 21.000000    23.4894736926      -4.106186786  
2009  2 26.000000    23.5061411283      -3.982006912  
2009  3  3.000000    23.5237345576      -3.889044180  
2009  3  8.000000    23.5410344242      -3.764417224  
2009  3 13.000000    23.5584104030      -3.649092179  
2009  3 18.000000    23.5762824918      -3.551165260  
2009  3 23.000000    23.5934098628      -3.420382829  
2009  3 28.000000    23.6107686383      -3.320131775  
2009  4  2.000000    23.6279731008      -3.214898577  
2009  4  7.000000    23.6442528392      -3.092456232  
2009  4 12.000000    23.6607597591      -3.007271710  
2009  4 17.000000    23.6764212644      -2.897805891  
2009  4 22.000000    23.6912781974      -2.796400814  
2009  4 27.000000    23.7061005864      -2.721727320  
2009  5  2.000000    23.7195194886      -2.617188450  
2009  5  7.000000    23.7323779315      -2.544209014  
2009  5 12.000000    23.7446735612      -2.475865423  
2009  5 17.000000    23.7553454288      -2.389047865  
2009  5 22.000000    23.7656619827      -2.344232920  
2009  5 27.000000    23.7747510471      -2.281999840  
2009  6  1.000000    23.7823384742      -2.225132324  
2009  6  6.000000    23.7895259075      -2.202861024  
2009  6 11.000000    23.7949393465      -2.152409775  
2009  6 16.000000    23.7992599448      -2.132075559  
2009  6 21.000000    23.8028426751      -2.124756739  
2009  6 26.000000    23.8044224601      -2.095925867  
2009  7  1.000000    23.8053375154      -2.111064837  
2009  7  6.000000    23.8049949511      -2.114079218  
2009  7 11.000000    23.8028928897      -2.116509117  
2009  7 16.000000    23.8003757747      -2.158503200  
2009  7 21.000000    23.7961465040      -2.172245746  
2009  7 26.000000    23.7907444703      -2.210655108  
2009  7 31.000000    23.7848564653      -2.267709665  
2009  8  5.000000    23.7771707039      -2.297175206  
2009  8 10.000000    23.7690412918      -2.367633806  
2009  8 15.000000    23.7601352478      -2.428970700  
2009  8 20.000000    23.7498192265      -2.479889436  
2009  8 25.000000    23.7395956234      -2.570611613  
2009  8 30.000000    23.7283414099      -2.630693928  
2009  9  4.000000    23.7164939670      -2.704590120  
2009  9  9.000000    23.7049493229      -2.798961810  
2009  9 14.000000    23.6924175940      -2.857540447  
2009  9 19.000000    23.6802014076      -2.948728905  
2009  9 24.000000    23.6681924184      -3.031617450  
2009  9 29.000000    23.6556975173      -3.091324196  
2009 10  4.000000    23.6442362412      -3.186392142  
2009 10  9.000000    23.6328141698      -3.248237088  
2009 10 14.000000    23.6217163761      -3.310351726  
2009 10 19.000000    23.6119309608      -3.392430938  
2009 10 24.000000    23.6022064300      -3.431468697  
2009 10 29.000000    23.5936868555      -3.492194709  
2009 11  3.000000    23.5863746438      -3.546021039  
2009 11  8.000000    23.5794392868      -3.566094888  
2009 11 13.000000    23.5742933330      -3.616167481  
2009 11 18.000000    23.5700511381      -3.633707101  
2009 11 23.000000    23.5667611470      -3.640106547  
2009 11 28.000000    23.5654155812      -3.666946879  
2009 12  3.000000    23.5647270130      -3.648873098  
2009 12  8.000000    23.5655620815      -3.644062143  
2009 12 13.000000    23.5680494694      -3.637090797  
2009 12 18.000000    23.5711766676      -3.591428369  
2009 12 23.000000    23.5762003059      -3.572746964  
2009 12 28.000000    23.5823497877      -3.527298452  
2010  1  2.000000    23.5893328066      -3.464684136  
2010  1  7.000000    23.5981843387      -3.425935203  
2010  1 12.000000    23.6076295749      -3.345988489  
2010  1 17.000000    23.6182201997      -3.274785117  
2010  1 22.000000    23.6302881271      -3.209351346  
2010  1 27.000000    23.6426053675      -3.105743313  
2010  2  1.000000    23.6562676666      -3.029167595  
2010  2  6.000000    23.6707457614      -2.934996814  
2010  2 11.000000    23.6854050326      -2.821638358  
2010  2 16.000000    23.7013821873      -2.737443995  
2010  2 21.000000    23.7174762949      -2.619130247  
2010  2 26.000000    23.7338783255      -2.507945023  
2010  3  3.000000    23.7512250684      -2.411979524  
2010  3  8.000000    23.7681477459      -2.280906058  
2010  3 13.000000    23.7855840213      -2.178145319  
2010  3 18.000000    23.8033365314      -2.068140588  
2010  3 23.000000    23.8204135891      -1.938791489  
2010  3 28.000000    23.8380576845      -1.844509632  
2010  4  2.000000    23.8552587096      -1.724053300  
2010  4  7.000000    23.8718515991      -1.609629717  
2010  4 12.000000    23.8888110159      -1.519764671  
2010  4 17.000000    23.9046786381      -1.398372214  
2010  4 22.000000    23.9201788860      -1.306559076  
2010  4 27.000000    23.9355116770      -1.217697749  
2010  5  2.000000    23.9493994937      -1.109041590  
2010  5  7.000000    23.9631604348      -1.040437537  
2010  5 12.000000    23.9760406363      -0.953178116  
2010  5 17.000000    23.9875022043      -0.870112702  
2010  5 22.000000    23.9988221924      -0.820108594  
2010  5 27.000000     0.0085677988      -0.741410475  
2010  6  1.000000     0.0172405501      -0.691776720  
2010  6  6.000000     0.0254432922      -0.654183535  
2010  6 11.000000     0.0316784717      -0.595067337  
