v15.04    Планета: Уран  (INPOP13C)
          Спутник: U1 Ариэль  (GUST86, Laskar J. et al (1987) A&A, v.188, p.212.)
   Обсерватория N:  84 - Pulkovo
    Шкала времени: UTC
Средний экватор и равноденствие эпохи J2000.  ICRF. 
Координаты астрометрические 

Год  Месяц День       alpha (h)          delta (º)
2007  8  1.000000    23.2866565715      -5.476075850  
2007  8  6.000000    23.2777232015      -5.535325464  
2007  8 11.000000    23.2679776561      -5.599413601  
2007  8 16.000000    23.2575157500      -5.667698107  
2007  8 21.000000    23.2464473066      -5.739432977  
2007  8 26.000000    23.2348879959      -5.813859134  
2007  8 31.000000    23.2229534865      -5.890222111  
2007  9  5.000000    23.2107579796      -5.967798940  
2007  9 10.000000    23.1984232255      -6.045811592  
2007  9 15.000000    23.1860820389      -6.123401997  
2007  9 20.000000    23.1738699454      -6.199710668  
2007  9 25.000000    23.1619176517      -6.273917851  
2007  9 30.000000    23.1503468892      -6.345286084  
2007 10  5.000000    23.1392736418      -6.413113628  
2007 10 10.000000    23.1288180869      -6.476664110  
2007 10 15.000000    23.1190993646      -6.535212447  
2007 10 20.000000    23.1102267976      -6.588097404  
2007 10 25.000000    23.1022955133      -6.634774503  
2007 10 30.000000    23.0953850121      -6.674793362  
2007 11  4.000000    23.0895691266      -6.707737901  
2007 11  9.000000    23.0849196463      -6.733192034  
2007 11 14.000000    23.0814971861      -6.750804877  
2007 11 19.000000    23.0793463685      -6.760346630  
2007 11 24.000000    23.0784937174      -6.761695538  
2007 11 29.000000    23.0789525829      -6.754815263  
2007 12  4.000000    23.0807337580      -6.739658738  
2007 12  9.000000    23.0838415475      -6.716221456  
2007 12 14.000000    23.0882663214      -6.684579332  
2007 12 19.000000    23.0939827952      -6.644923991  
2007 12 24.000000    23.1009514214      -6.597529281  
2007 12 29.000000    23.1091278966      -6.542677649  
2008  1  3.000000    23.1184685303      -6.480651482  
2008  1  8.000000    23.1289216698      -6.411763992  
2008  1 13.000000    23.1404244387      -6.336422426  
2008  1 18.000000    23.1529021263      -6.255107371  
2008  1 23.000000    23.1662743082      -6.168327478  
2008  1 28.000000    23.1804641015      -6.076559344  
2008  2  2.000000    23.1953953010      -5.980270214  
2008  2  7.000000    23.2109853183      -5.879975294  
2008  2 12.000000    23.2271434164      -5.776253739  
2008  2 17.000000    23.2437728127      -5.669727249  
2008  2 22.000000    23.2607799098      -5.560980950  
2008  2 27.000000    23.2780778696      -5.450555010  
2008  3  3.000000    23.2955794643      -5.338994859  
2008  3  8.000000    23.3131927528      -5.226886484  
2008  3 13.000000    23.3308204273      -5.114865316  
2008  3 18.000000    23.3483656079      -5.003549550  
2008  3 23.000000    23.3657406426      -4.893492543  
2008  3 28.000000    23.3828632579      -4.785212283  
2008  4  2.000000    23.3996498893      -4.679240096  
2008  4  7.000000    23.4160136368      -4.576146429  
2008  4 12.000000    23.4318651456      -4.476509915  
2008  4 17.000000    23.4471229430      -4.380853765  
2008  4 22.000000    23.4617156873      -4.289619291  
2008  4 27.000000    23.4755751321      -4.203240907  
2008  5  2.000000    23.4886317997      -4.122164176  
2008  5  7.000000    23.5008142534      -4.046854547  
2008  5 12.000000    23.5120545635      -3.977749875  
2008  5 17.000000    23.5222979002      -3.915178686  
2008  5 22.000000    23.5314980943      -3.859421779  
2008  5 27.000000    23.5396108375      -3.810749910  
2008  6  1.000000    23.5465920981      -3.769445084  
2008  6  6.000000    23.5523993867      -3.735768522  
2008  6 11.000000    23.5570019070      -3.709898948  
2008  6 16.000000    23.5603840435      -3.691897270  
2008  6 21.000000    23.5625368152      -3.681794758  
2008  6 26.000000    23.5634542525      -3.679615547  
2008  7  1.000000    23.5631329039      -3.685357865  
2008  7  6.000000    23.5615780159      -3.698966056  
2008  7 11.000000    23.5588130435      -3.720243335  
2008  7 16.000000    23.5548746794      -3.748910048  
2008  7 21.000000    23.5498053065      -3.784665984  
2008  7 26.000000    23.5436509269      -3.827191712  
2008  7 31.000000    23.5364637404      -3.876124168  
2008  8  5.000000    23.5283113112      -3.930993194  
2008  8 10.000000    23.5192790018      -3.991201443  
2008  8 15.000000    23.5094599627      -4.056117717  
2008  8 20.000000    23.4989500370      -4.125111147  
2008  8 25.000000    23.4878470741      -4.197538105  
2008  8 30.000000    23.4762571429      -4.272698430  
2008  9  4.000000    23.4643016170      -4.349787917  
2008  9  9.000000    23.4521098956      -4.427950566  
2008  9 14.000000    23.4398103673      -4.506368968  
2008  9 19.000000    23.4275270187      -4.584258543  
2008  9 24.000000    23.4153815147      -4.660850411  
2008  9 29.000000    23.4035021080      -4.735332529  
2008 10  4.000000    23.3920219936      -4.806853423  
2008 10  9.000000    23.3810688496      -4.874621554  
2008 10 14.000000    23.3707590412      -4.937928361  
2008 10 19.000000    23.3611969979      -4.996152727  
2008 10 24.000000    23.3524818120      -5.048691932  
2008 10 29.000000    23.3447134704      -5.094938742  
2008 11  3.000000    23.3379840227      -5.134335558  
2008 11  8.000000    23.3323701448      -5.166440789  
2008 11 13.000000    23.3279316011      -5.190928164  
2008 11 18.000000    23.3247140626      -5.207549903  
2008 11 23.000000    23.3227595192      -5.216069734  
2008 11 28.000000    23.3221045047      -5.216275769  
2008 12  3.000000    23.3227710785      -5.208067294  
2008 12  8.000000    23.3247640146      -5.191448744  
2008 12 13.000000    23.3280725754      -5.166528825  
2008 12 18.000000    23.3326777325      -5.133446811  
2008 12 23.000000    23.3385599577      -5.092330202  
2008 12 28.000000    23.3456911716      -5.043372767  
2009  1  2.000000    23.3540293070      -4.986859241  
2009  1  7.000000    23.3635190553      -4.923162160  
2009  1 12.000000    23.3740962401      -4.852702908  
2009  1 17.000000    23.3856971882      -4.775879102  
2009  1 22.000000    23.3982589606      -4.693083812  
2009  1 27.000000    23.4117099956      -4.604778863  
2009  2  1.000000    23.4259688365      -4.511492101  
2009  2  6.000000    23.4409466362      -4.413800044  
2009  2 11.000000    23.4565541365      -4.312270446  
2009  2 16.000000    23.4727083298      -4.207414315  
2009  2 21.000000    23.4893256025      -4.099765027  
2009  2 26.000000    23.5063156049      -3.989909208  
2009  3  3.000000    23.5235819359      -3.878468184  
2009  3  8.000000    23.5410270345      -3.766079223  
2009  3 13.000000    23.5585598679      -3.653307149  
2009  3 18.000000    23.5760961368      -3.540687050  
2009  3 23.000000    23.5935491271      -3.428781568  
2009  3 28.000000    23.6108273749      -3.318185303  
2009  4  2.000000    23.6278370527      -3.209511759  
2009  4  7.000000    23.6444891671      -3.103328311  
2009  4 12.000000    23.6607048793      -3.000130101  
2009  4 17.000000    23.6764088003      -2.900395529  
2009  4 22.000000    23.6915228319      -2.804640506  
2009  4 27.000000    23.7059662376      -2.713383814  
2009  5  2.000000    23.7196603323      -2.627137726  
2009  5  7.000000    23.7325371844      -2.546320050  
2009  5 12.000000    23.7445381029      -2.471292068  
2009  5 17.000000    23.7556054330      -2.402426367  
2009  5 22.000000    23.7656800536      -2.340099801  
2009  5 27.000000    23.7747036329      -2.284689340  
2009  6  1.000000    23.7826263747      -2.236491676  
2009  6  6.000000    23.7894129245      -2.195708764  
2009  6 11.000000    23.7950345496      -2.162507751  
2009  6 16.000000    23.7994635501      -2.137058319  
2009  6 21.000000    23.8026740202      -2.119519020  
2009  6 26.000000    23.8046463116      -2.109992784  
2009  7  1.000000    23.8053768383      -2.108467782  
2009  7  6.000000    23.8048761289      -2.114842466  
2009  7 11.000000    23.8031593488      -2.128999874  
2009  7 16.000000    23.8002450381      -2.150806735  
2009  7 21.000000    23.7961573939      -2.180083780  
