v15.04    Планета: Уран  (INPOP13C)
          Спутник: U2 Умбриэль  (GUST86, Laskar J. et al (1987) A&A, v.188, p.212.)
   Обсерватория N:  84 - Pulkovo
    Шкала времени: UTC
Средний экватор и равноденствие эпохи J2000.  ICRF. 
Координаты астрометрические 

Год  Месяц День       alpha (h)          delta (º)
2007  8  1.000000    23.2867223044      -5.479794092  
2007  8  6.000000    23.2777477249      -5.536641703  
2007  8 11.000000    23.2678826845      -5.594217973  
2007  8 16.000000    23.2573925512      -5.660932519  
2007  8 21.000000    23.2464211962      -5.737858373  
2007  8 26.000000    23.2349337608      -5.816256400  
2007  8 31.000000    23.2229327433      -5.889175601  
2007  9  5.000000    23.2106247500      -5.960533806  
2007  9 10.000000    23.1982938028      -6.038346004  
2007  9 15.000000    23.1860618372      -6.121756829  
2007  9 20.000000    23.1738989101      -6.201239537  
2007  9 25.000000    23.1618595862      -6.271191881  
2007  9 30.000000    23.1501923559      -6.336980518  
2007 10  5.000000    23.1391550049      -6.406029893  
2007 10 10.000000    23.1288124793      -6.475775185  
2007 10 15.000000    23.1191176218      -6.536584842  
2007 10 20.000000    23.1101452482      -6.584628658  
2007 10 25.000000    23.1021403099      -6.626642018  
2007 10 30.000000    23.0952931508      -6.669212014  
2007 11  4.000000    23.0895866610      -6.708426702  
2007 11  9.000000    23.0849371066      -6.735112430  
2007 11 14.000000    23.0814106964      -6.747508679  
2007 11 19.000000    23.0792112061      -6.753451759  
2007 11 24.000000    23.0784420753      -6.758481138  
2007 11 29.000000    23.0790012218      -6.757608405  
2007 12  4.000000    23.0807624347      -6.742563368  
2007 12  9.000000    23.0837681709      -6.713695910  
2007 12 14.000000    23.0881670087      -6.679570869  
2007 12 19.000000    23.0939791903      -6.644463352  
2007 12 24.000000    23.1010357522      -6.602484792  
2007 12 29.000000    23.1091763636      -6.546571251  
2008  1  3.000000    23.1184191715      -6.479044866  
2008  1  8.000000    23.1288641172      -6.408787295  
2008  1 13.000000    23.1404678671      -6.338583313  
2008  1 18.000000    23.1530199414      -6.261835110  
2008  1 23.000000    23.1663425635      -6.172805520  
2008  1 28.000000    23.1804383407      -6.075633901  
2008  2  2.000000    23.1953735623      -5.979050723  
2008  2  7.000000    23.2110653418      -5.884229671  
2008  2 12.000000    23.2272838184      -5.784020069  
2008  2 17.000000    23.2438507941      -5.674119559  
2008  2 22.000000    23.2607656225      -5.560224513  
2008  2 27.000000    23.2780762002      -5.450546022  
2008  3  3.000000    23.2956783258      -5.344563843  
2008  3  8.000000    23.3133377779      -5.234761431  
2008  3 13.000000    23.3308898872      -5.118358194  
2008  3 18.000000    23.3483432523      -5.002320617  
2008  3 23.000000    23.3657388981      -4.894022513  
2008  3 28.000000    23.3829608992      -4.791215008  
2008  4  2.000000    23.3997793690      -4.686258273  
2008  4  7.000000    23.4160540113      -4.577937955  
2008  4 12.000000    23.4318155097      -4.474217048  
2008  4 17.000000    23.4471041256      -4.381287767  
2008  4 22.000000    23.4617965399      -4.295249923  
2008  4 27.000000    23.4756727905      -4.208564176  
2008  5  2.000000    23.4886275825      -4.121650329  
2008  5  7.000000    23.5007257916      -4.043102848  
2008  5 12.000000    23.5120114446      -3.977651276  
2008  5 17.000000    23.5223552829      -3.919831698  
2008  5 22.000000    23.5315558542      -3.862484425  
2008  5 27.000000    23.5395560562      -3.807641106  
2008  6  1.000000    23.5464650248      -3.764145081  
2008  6  6.000000    23.5523366504      -3.734984420  
2008  6 11.000000    23.5570387493      -3.713265896  
2008  6 16.000000    23.5604025846      -3.692487931  
2008  6 21.000000    23.5624360359      -3.676195457  
2008  6 26.000000    23.5633009867      -3.673066981  
2008  7  1.000000    23.5630651188      -3.684074038  
2008  7  6.000000    23.5616044674      -3.701116009  
2008  7 11.000000    23.5587999123      -3.718580740  
2008  7 16.000000    23.5547417420      -3.741392905  
2008  7 21.000000    23.5496469229      -3.777576481  
2008  7 26.000000    23.5435976326      -3.825962164  
2008  7 31.000000    23.5364919760      -3.877498252  
2008  8  5.000000    23.5282776497      -3.927736170  
2008  8 10.000000    23.5191327708      -3.982749689  
2008  8 15.000000    23.5093200351      -4.049514669  
2008  8 20.000000    23.4989287457      -4.124733582  
2008  8 25.000000    23.4878862105      -4.198822396  
2008  8 30.000000    23.4762139206      -4.268766899  
2008  9  4.000000    23.4641611919      -4.341581469  
2008  9  9.000000    23.4520081935      -4.422933649  
2008  9 14.000000    23.4398314764      -4.507633798  
2008  9 19.000000    23.4275813219      -4.586143536  
2008  9 24.000000    23.4153379851      -4.657148404  
2008  9 29.000000    23.4033839180      -4.728458179  
2008 10  4.000000    23.3919708202      -4.804292618  
2008 10  9.000000    23.3811348755      -4.878047828  
2008 10 14.000000    23.3708290042      -4.940847048  
2008 10 19.000000    23.3611611892      -4.993324924  
2008 10 24.000000    23.3523970916      -5.043850283  
2008 10 29.000000    23.3447165959      -5.095236745  
2008 11  3.000000    23.3380907027      -5.139961548  
2008 11  8.000000    23.3324535848      -5.170386536  
2008 11 13.000000    23.3279082358      -5.189152785  
2008 11 18.000000    23.3246661264      -5.204888634  
2008 11 23.000000    23.3228113531      -5.219035992  
2008 11 28.000000    23.3222414953      -5.223600473  
2008 12  3.000000    23.3228619043      -5.212556892  
2008 12  8.000000    23.3247510326      -5.190413650  
2008 12 13.000000    23.3280549032      -5.165678768  
2008 12 18.000000    23.3327637869      -5.138390990  
2008 12 23.000000    23.3387114757      -5.100456323  
2008 12 28.000000    23.3457779097      -5.047601885  
2009  1  2.000000    23.3540166302      -4.985951215  
2009  1  7.000000    23.3635162877      -4.923442618  
2009  1 12.000000    23.3741963555      -4.858695042  
2009  1 17.000000    23.3858439637      -4.783758998  
2009  1 22.000000    23.3983260662      -4.696186522  
2009  1 27.000000    23.4116818015      -4.603317416  
2009  2  1.000000    23.4259615692      -4.512161634  
2009  2  6.000000    23.4410399415      -4.419901688  
2009  2 11.000000    23.4566773943      -4.318932496  
2009  2 16.000000    23.4727395587      -4.208636688  
2009  2 21.000000    23.4892657897      -4.097188377  
2009  2 26.000000    23.5062871926      -3.990350018  
2009  3  3.000000    23.5236528069      -3.883898602  
2009  3  8.000000    23.5411135263      -3.770780266  
2009  3 13.000000    23.5585437682      -3.652149050  
2009  3 18.000000    23.5759952212      -3.536691861  
2009  3 23.000000    23.5934923792      -3.428629190  
2009  3 28.000000    23.6108709063      -3.322455445  
2009  4  2.000000    23.6278832121      -3.211839165  
2009  4  7.000000    23.6444242061      -3.099665819  
2009  4 12.000000    23.6605649182      -2.994758008  
2009  4 17.000000    23.6763296868      -2.899621135  
2009  4 22.000000    23.6915462628      -2.807605288  
2009  4 27.000000    23.7059790204      -2.713314296  
2009  5  2.000000    23.7195556046      -2.621236993  
2009  5  7.000000    23.7323722329      -2.539978127  
2009  5 12.000000    23.7444541063      -2.470188201  
2009  5 17.000000    23.7556249168      -2.404271488  
2009  5 22.000000    23.7656734235      -2.337965107  
2009  5 27.000000    23.7745756600      -2.277164933  
2009  6  1.000000    23.7824588511      -2.229897627  
2009  6  6.000000    23.7893475390      -2.194828301  
2009  6 11.000000    23.7950690176      -2.163691542  
2009  6 16.000000    23.7994530596      -2.133489389  
2009  6 21.000000    23.8025424358      -2.111286053  
2009  6 26.000000    23.8045010590      -2.104078746  
2009  7  1.000000    23.8053527262      -2.108547702  
2009  7  6.000000    23.8049401367      -2.115997862  
2009  7 11.000000    23.8031568206      -2.124840955  
2009  7 16.000000    23.8001271874      -2.142939466  
2009  7 21.000000    23.7960551380      -2.175848609  
