v15.04    Планета: Уран  (INPOP13C)
          Спутник: U3 Титани  (GUST86, Laskar J. et al (1987) A&A, v.188, p.212.)
   Обсерватория N:  84 - Pulkovo
    Шкала времени: UTC
Средний экватор и равноденствие эпохи J2000.  ICRF. 
Координаты астрометрические 

Год  Месяц День       alpha (h)          delta (º)
2007  8  1.000000    23.2867864092      -5.483282608  
2007  8  6.000000    23.2775601377      -5.526544716  
2007  8 11.000000    23.2680307415      -5.602252787  
2007  8 16.000000    23.2574574286      -5.664505197  
2007  8 21.000000    23.2463508396      -5.734152613  
2007  8 26.000000    23.2349527390      -5.817222185  
2007  8 31.000000    23.2227533636      -5.879174894  
2007  9  5.000000    23.2108518816      -5.972945109  
2007  9 10.000000    23.1982468776      -6.035631084  
2007  9 15.000000    23.1860791555      -6.123715180  
2007  9 20.000000    23.1738187399      -6.196019260  
2007  9 25.000000    23.1617705433      -6.266475364  
2007  9 30.000000    23.1504121341      -6.348303514  
2007 10  5.000000    23.1390546580      -6.401144696  
2007 10 10.000000    23.1288895591      -6.481078891  
2007 10 15.000000    23.1189388205      -6.525536224  
2007 10 20.000000    23.1101902728      -6.587558198  
2007 10 25.000000    23.1022740511      -6.632454033  
2007 10 30.000000    23.0952207896      -6.667210583  
2007 11  4.000000    23.0896527387      -6.712097060  
2007 11  9.000000    23.0847172017      -6.722437732  
2007 11 14.000000    23.0815699382      -6.756092036  
2007 11 19.000000    23.0792292020      -6.753145528  
2007 11 24.000000    23.0784583025      -6.761931717  
2007 11 29.000000    23.0789793746      -6.755436085  
2007 12  4.000000    23.0805909513      -6.733536449  
2007 12  9.000000    23.0839619574      -6.723066551  
2007 12 14.000000    23.0881101307      -6.676399839  
2007 12 19.000000    23.0940831759      -6.651932666  
2007 12 24.000000    23.1008934205      -6.593746828  
2007 12 29.000000    23.1091244956      -6.544334394  
2008  1  3.000000    23.1185508680      -6.484644659  
2008  1  8.000000    23.1288231782      -6.407463606  
2008  1 13.000000    23.1405896999      -6.345750936  
2008  1 18.000000    23.1527993130      -6.249543165  
2008  1 23.000000    23.1664127969      -6.176743073  
2008  1 28.000000    23.1804578267      -6.075837397  
2008  2  2.000000    23.1954286659      -5.982757988  
2008  2  7.000000    23.2111093831      -5.886600420  
2008  2 12.000000    23.2270807657      -5.772979225  
2008  2 17.000000    23.2439684525      -5.680509077  
2008  2 22.000000    23.2607071665      -5.557007501  
2008  2 27.000000    23.2782372313      -5.459148531  
2008  3  3.000000    23.2955929649      -5.340080213  
2008  3  8.000000    23.3132375899      -5.228867433  
2008  3 13.000000    23.3309531961      -5.122702046  
2008  3 18.000000    23.3483031153      -4.999881231  
2008  3 23.000000    23.3659346183      -4.904217845  
2008  3 28.000000    23.3827791654      -4.781348383  
2008  4  2.000000    23.3997958081      -4.686476255  
2008  4  7.000000    23.4160074942      -4.577537753  
2008  4 12.000000    23.4318825815      -4.476480449  
2008  4 17.000000    23.4472307889      -4.388417985  
2008  4 22.000000    23.4616133623      -4.284133252  
2008  4 27.000000    23.4757372084      -4.212474137  
2008  5  2.000000    23.4885026506      -4.117103162  
2008  5  7.000000    23.5009168761      -4.051420978  
2008  5 12.000000    23.5120060958      -3.978265021  
2008  5 17.000000    23.5222597842      -3.912018532  
2008  5 22.000000    23.5315672380      -3.865653198  
2008  5 27.000000    23.5394489742      -3.802574335  
2008  6  1.000000    23.5467124856      -3.776322540  
2008  6  6.000000    23.5522201143      -3.728888807  
2008  6 11.000000    23.5570526734      -3.711196953  
2008  6 16.000000    23.5603016990      -3.691116658  
2008  6 21.000000    23.5624406077      -3.675261797  
2008  6 26.000000    23.5634998803      -3.684338966  
2008  7  1.000000    23.5629226975      -3.674626781  
2008  7  6.000000    23.5616705200      -3.703581586  
2008  7 11.000000    23.5586103074      -3.711971254  
2008  7 16.000000    23.5548865339      -3.747411195  
2008  7 21.000000    23.5497246210      -3.783273795  
2008  7 26.000000    23.5435167291      -3.818204226  
2008  7 31.000000    23.5365180510      -3.880204718  
2008  8  5.000000    23.5280861094      -3.919004275  
2008  8 10.000000    23.5193672869      -3.994669864  
2008  8 15.000000    23.5092767074      -4.047986379  
2008  8 20.000000    23.4989442352      -4.122303993  
2008  8 25.000000    23.4878082947      -4.197105965  
2008  8 30.000000    23.4761135050      -4.263127424  
2008  9  4.000000    23.4643924073      -4.354780268  
2008  9  9.000000    23.4519062989      -4.416750539  
2008  9 14.000000    23.4399122332      -4.510333289  
2008  9 19.000000    23.4273994101      -4.578235880  
2008  9 24.000000    23.4153766521      -4.658571390  
2008  9 29.000000    23.4035295603      -4.737523993  
2008 10  4.000000    23.3918929181      -4.798588846  
2008 10  9.000000    23.3812073420      -4.881867942  
2008 10 14.000000    23.3706024588      -4.929277415  
2008 10 19.000000    23.3613203244      -5.001781798  
2008 10 24.000000    23.3524254787      -5.046094673  
2008 10 29.000000    23.3447213437      -5.094213916  
2008 11  3.000000    23.3380793492      -5.139864722  
2008 11  8.000000    23.3322699977      -5.160357119  
2008 11 13.000000    23.3281133065      -5.200638845  
2008 11 18.000000    23.3246106299      -5.201943432  
2008 11 23.000000    23.3229029929      -5.223236530  
2008 11 28.000000    23.3221104268      -5.217018805  
2008 12  3.000000    23.3227941260      -5.208578152  
2008 12  8.000000    23.3249081058      -5.199652777  
2008 12 13.000000    23.3279980520      -5.162090312  
2008 12 18.000000    23.3328842477      -5.144559047  
2008 12 23.000000    23.3384913288      -5.088887441  
2008 12 28.000000    23.3458409497      -5.050801548  
2009  1  2.000000    23.3540654664      -4.989666950  
2009  1  7.000000    23.3635422319      -4.923553792  
2009  1 12.000000    23.3742539945      -4.862025107  
2009  1 17.000000    23.3856225450      -4.771639262  
2009  1 22.000000    23.3984595537      -4.703884984  
2009  1 27.000000    23.4116378485      -4.601937102  
2009  2  1.000000    23.4260982185      -4.517486329  
2009  2  6.000000    23.4409700855      -4.417041010  
2009  2 11.000000    23.4565480204      -4.310934512  
2009  2 16.000000    23.4728411715      -4.216198056  
2009  2 21.000000    23.4892151080      -4.094224788  
2009  2 26.000000    23.5064801325      -3.998847602  
2009  3  3.000000    23.5234683934      -3.874845663  
2009  3  8.000000    23.5411110531      -3.769281328  
2009  3 13.000000    23.5585386864      -3.655719519  
2009  3 18.000000    23.5760368125      -3.536497207  
2009  3 23.000000    23.5936368124      -3.435958670  
2009  3 28.000000    23.6106591633      -3.310449937  
2009  4  2.000000    23.6279554860      -3.215762241  
2009  4  7.000000    23.6443206378      -3.098265444  
2009  4 12.000000    23.6607390006      -2.999983894  
2009  4 17.000000    23.6763429642      -2.901582013  
2009  4 22.000000    23.6914100217      -2.797332608  
2009  4 27.000000    23.7060209033      -2.718807371  
2009  5  2.000000    23.7194427791      -2.617253964  
2009  5  7.000000    23.7326278834      -2.549993225  
2009  5 12.000000    23.7443359057      -2.465125561  
2009  5 17.000000    23.7556104286      -2.399345964  
2009  5 22.000000    23.7656028815      -2.340635289  
2009  5 27.000000    23.7745627979      -2.275011479  
2009  6  1.000000    23.7826861779      -2.240946020  
2009  6  6.000000    23.7891800728      -2.184697183  
2009  6 11.000000    23.7951329748      -2.164622816  
2009  6 16.000000    23.7992719559      -2.131022370  
2009  6 21.000000    23.8026819171      -2.114807942  
2009  6 26.000000    23.8046055138      -2.111228879  
2009  7  1.000000    23.8052406592      -2.097938819  
2009  7  6.000000    23.8049812713      -2.119753838  
2009  7 11.000000    23.8029505203      -2.118552197  
2009  7 16.000000    23.8003790284      -2.152922875  
2009  7 21.000000    23.7960191303      -2.175877990  
