v15.04    Планета: Уран  (INPOP13C)
          Спутник: U4 Оберон  (GUST86, Laskar J. et al (1987) A&A, v.188, p.212.)
   Обсерватория N:  84 - Pulkovo
    Шкала времени: UTC
Средний экватор и равноденствие эпохи J2000.  ICRF. 
Координаты астрометрические 

Год  Месяц День       alpha (h)          delta (º)
2007  8  1.000000    23.2867372873      -5.480898380  
2007  8  6.000000    23.2777475634      -5.536559884  
2007  8 11.000000    23.2677663894      -5.587801419  
2007  8 16.000000    23.2576717996      -5.676322568  
2007  8 21.000000    23.2463089064      -5.731914392  
2007  8 26.000000    23.2347775355      -5.807347995  
2007  8 31.000000    23.2230835501      -5.897576070  
2007  9  5.000000    23.2105101253      -5.954176512  
2007  9 10.000000    23.1984518900      -6.046562747  
2007  9 15.000000    23.1860911695      -6.124709361  
2007  9 20.000000    23.1736211233      -6.185395959  
2007  9 25.000000    23.1620420151      -6.280248648  
2007  9 30.000000    23.1502022464      -6.338565370  
2007 10  5.000000    23.1391288238      -6.403706341  
2007 10 10.000000    23.1289397694      -6.484001452  
2007 10 15.000000    23.1188496809      -6.522351878  
2007 10 20.000000    23.1102313389      -6.586715431  
2007 10 25.000000    23.1023205184      -6.638139864  
2007 10 30.000000    23.0951344818      -6.660777212  
2007 11  4.000000    23.0896884687      -6.713586861  
2007 11  9.000000    23.0848103415      -6.729750366  
2007 11 14.000000    23.0813486237      -6.741300769  
2007 11 19.000000    23.0794929463      -6.769354601  
2007 11 24.000000    23.0782878066      -6.752291889  
2007 11 29.000000    23.0789563581      -6.753465533  
2007 12  4.000000    23.0808173220      -6.746607424  
2007 12  9.000000    23.0836274385      -6.704930450  
2007 12 14.000000    23.0884024721      -6.691355688  
2007 12 19.000000    23.0939567095      -6.646120837  
2007 12 24.000000    23.1008224350      -6.589680698  
2007 12 29.000000    23.1093233384      -6.553998106  
2008  1  3.000000    23.1183469473      -6.475704813  
2008  1  8.000000    23.1289332101      -6.411318745  
2008  1 13.000000    23.1405916862      -6.346964447  
2008  1 18.000000    23.1527473840      -6.247044335  
2008  1 23.000000    23.1664236515      -6.175971496  
2008  1 28.000000    23.1805401825      -6.081892220  
2008  2  2.000000    23.1952857460      -5.973931289  
2008  2  7.000000    23.2112163434      -5.892722587  
2008  2 12.000000    23.2271116421      -5.774871491  
2008  2 17.000000    23.2437696017      -5.669364782  
2008  2 22.000000    23.2610094035      -5.573666428  
2008  2 27.000000    23.2779693304      -5.444454447  
2008  3  3.000000    23.2957007007      -5.346034803  
2008  3  8.000000    23.3133418736      -5.234568822  
2008  3 13.000000    23.3306989833      -5.108467217  
2008  3 18.000000    23.3485793899      -5.015840046  
2008  3 23.000000    23.3657632991      -4.893730661  
2008  3 28.000000    23.3827987621      -4.783072511  
2008  4  2.000000    23.3998842223      -4.691986119  
2008  4  7.000000    23.4159130026      -4.570050352  
2008  4 12.000000    23.4319033327      -4.480948600  
2008  4 17.000000    23.4472910985      -4.388847169  
2008  4 22.000000    23.4615451352      -4.281273315  
2008  4 27.000000    23.4757153139      -4.213094011  
2008  5  2.000000    23.4886654447      -4.122203625  
2008  5  7.000000    23.5006555881      -4.041174267  
2008  5 12.000000    23.5122439374      -3.988815484  
2008  5 17.000000    23.5221790520      -3.907652975  
2008  5 22.000000    23.5314271032      -3.859713108  
2008  5 27.000000    23.5397619708      -3.817745994  
2008  6  1.000000    23.5463652136      -3.758080945  
2008  6  6.000000    23.5524479718      -3.741994107  
2008  6 11.000000    23.5570312130      -3.709071642  
2008  6 16.000000    23.5601420847      -3.681998920  
2008  6 21.000000    23.5626724135      -3.690522390  
2008  6 26.000000    23.5633251848      -3.670623287  
2008  7  1.000000    23.5629762793      -3.681206651  
2008  7  6.000000    23.5617141745      -3.705043871  
2008  7 11.000000    23.5585609340      -3.706421823  
2008  7 16.000000    23.5548608224      -3.751668185  
2008  7 21.000000    23.5498456616      -3.783875075  
2008  7 26.000000    23.5433739365      -3.814081783  
2008  7 31.000000    23.5365732483      -3.883226439  
2008  8  5.000000    23.5282025707      -3.922214481  
2008  8 10.000000    23.5190916301      -3.983927217  
2008  8 15.000000    23.5096061054      -4.062687192  
2008  8 20.000000    23.4987179633      -4.111112934  
2008  8 25.000000    23.4878192010      -4.198303558  
2008  8 30.000000    23.4763329967      -4.274046439  
2008  9  4.000000    23.4640423237      -4.336004408  
2008  9  9.000000    23.4522291195      -4.435082459  
2008  9 14.000000    23.4397512346      -4.500511636  
2008  9 19.000000    23.4273571806      -4.576230433  
2008  9 24.000000    23.4155611376      -4.669720530  
2008  9 29.000000    23.4033236895      -4.724092687  
2008 10  4.000000    23.3920149676      -4.807561550  
2008 10  9.000000    23.3811987551      -4.880075205  
2008 10 14.000000    23.3705491552      -4.926151730  
2008 10 19.000000    23.3613451105      -5.004636169  
2008 10 24.000000    23.3524909745      -5.047704916  
2008 10 29.000000    23.3445812387      -5.088090859  
2008 11  3.000000    23.3382064109      -5.146211680  
2008 11  8.000000    23.3322625201      -5.159636512  
2008 11 13.000000    23.3279493375      -5.192454142  
2008 11 18.000000    23.3249049002      -5.217295375  
2008 11 23.000000    23.3226050302      -5.207311338  
2008 11 28.000000    23.3222714824      -5.225826712  
2008 12  3.000000    23.3228539200      -5.211718055  
2008 12  8.000000    23.3246574655      -5.185886290  
2008 12 13.000000    23.3283217139      -5.180203983  
2008 12 18.000000    23.3326373620      -5.130406683  
2008 12 23.000000    23.3385711234      -5.093728672  
2008 12 28.000000    23.3459251040      -5.055606050  
2009  1  2.000000    23.3539103068      -4.980017158  
2009  1  7.000000    23.3636615080      -4.931990562  
2009  1 12.000000    23.3742317176      -4.858903307  
2009  1 17.000000    23.3855771459      -4.770050058  
2009  1 22.000000    23.3984872313      -4.706224190  
2009  1 27.000000    23.4117089157      -4.603372580  
2009  2  1.000000    23.4259199997      -4.510867867  
2009  2  6.000000    23.4411782351      -4.426033249  
2009  2 11.000000    23.4564350726      -4.305355124  
2009  2 16.000000    23.4727672610      -4.213434736  
2009  2 21.000000    23.4894736505      -4.106177730  
2009  2 26.000000    23.5061410485      -3.982009530  
2009  3  3.000000    23.5237346899      -3.889048836  
2009  3  8.000000    23.5410342829      -3.764406523  
2009  3 13.000000    23.5584104230      -3.649100714  
2009  3 18.000000    23.5762825777      -3.551162828  
2009  3 23.000000    23.5934097014      -3.420376881  
2009  3 28.000000    23.6107687322      -3.320140745  
2009  4  2.000000    23.6279730895      -3.214889993  
2009  4  7.000000    23.6442527121      -3.092457283  
2009  4 12.000000    23.6607599164      -3.007277773  
2009  4 17.000000    23.6764211463      -2.897795255  
2009  4 22.000000    23.6912781717      -2.796408022  
2009  4 27.000000    23.7061007133      -2.721726554  
2009  5  2.000000    23.7195193028      -2.617180788  
2009  5  7.000000    23.7323780253      -2.544219300  
2009  5 12.000000    23.7446735973      -2.475857990  
2009  5 17.000000    23.7553452750      -2.389047867  
2009  5 22.000000    23.7656621427      -2.344240090  
2009  5 27.000000    23.7747509583      -2.281989185  
2009  6  1.000000    23.7823384036      -2.225138829  
2009  6  6.000000    23.7895260717      -2.202862195  
2009  6 11.000000    23.7949391489      -2.152400762  
2009  6 16.000000    23.7992600112      -2.132086019  
2009  6 21.000000    23.8028427517      -2.124750571  
2009  6 26.000000    23.8044222657      -2.095923416  
2009  7  1.000000    23.8053376706      -2.111073449  
2009  7  6.000000    23.8049948765      -2.114067708  
2009  7 11.000000    23.8028927821      -2.116514547  
2009  7 16.000000    23.8003759580      -2.158506067  
2009  7 21.000000    23.7961463209      -2.172235455  
