v15.04    Планета: Уран  (INPOP13C)
          Спутник: U1 Ариэль  (Emelyanov,Nikonchuk(2013),DOI:10.1093/mnras/stt1851..)
                            - эфемериды на инт. 1787/02/12.0-2032/01/09.0
   Обсерватория N:  84 - Pulkovo
    Шкала времени: UTC
Средний экватор и равноденствие эпохи J2000.  ICRF. 
Координаты астрометрические 
Год  Месяц День       alpha (h)          delta (º)
1952  2  1.000000     6.8321898342      23.336435750  
1952  2 11.000000     6.8085489284      23.364355759  
1952  2 21.000000     6.7896877960      23.385575649  
1952  3  2.000000     6.7764151327      23.399679132  
1952  3 12.000000     6.7692984329      23.406390335  
1952  3 22.000000     6.7685956993      23.405738486  
1952  4  1.000000     6.7744073463      23.397719647  
1952  4 11.000000     6.7865867286      23.382393127  
1952  4 21.000000     6.8047903160      23.359956145  
1952  5  1.000000     6.8285993537      23.330481966  
1952  5 11.000000     6.8574144389      23.294208341  
1952  5 21.000000     6.8905739680      23.251467470  
1952  5 31.000000     6.9273936044      23.202568400  
1952  6 10.000000     6.9670758045      23.148122743  
1952  6 20.000000     7.0088509100      23.088819839  
1952  6 30.000000     7.0519298824      23.025475768  
1952  7 10.000000     7.0954653885      22.959267195  
1952  7 20.000000     7.1386793307      22.891388166  
1952  7 30.000000     7.1807557949      22.823284077  
1952  8  9.000000     7.2208748126      22.756656528  
1952  8 19.000000     7.2582978904      22.693134200  
1952  8 29.000000     7.2922466260      22.634590766  
1952  9  8.000000     7.3220071877      22.582887019  
1952  9 18.000000     7.3469576630      22.539667087  
1952  9 28.000000     7.3664823084      22.506626689  
1952 10  8.000000     7.3801253369      22.485040505  
1952 10 18.000000     7.3875545404      22.475778525  
1952 10 28.000000     7.3885502800      22.479407786  
1952 11  7.000000     7.3831593921      22.495696313  
1952 11 17.000000     7.3715989004      22.523915052  
1952 11 27.000000     7.3543161336      22.562780190  
1952 12  7.000000     7.3320675715      22.610223921  
1952 12 17.000000     7.3057681864      22.663944865  
1952 12 27.000000     7.2765749867      22.721271625  
1953  1  6.000000     7.2458253759      22.779313892  
1953  1 16.000000     7.2148722967      22.835509415  
1953  1 26.000000     7.1851519084      22.887361210  
1953  2  5.000000     7.1580099064      22.932794066  
1953  2 15.000000     7.1346165510      22.970322979  
1953  2 25.000000     7.1160267439      22.998692544  
1953  3  7.000000     7.1030007660      23.017213460  
1953  3 17.000000     7.0960606975      23.025547502  
1953  3 27.000000     7.0955360618      23.023451157  
1953  4  6.000000     7.1014488633      23.011088804  
1953  4 16.000000     7.1136673508      22.988648990  
1953  4 26.000000     7.1318962771      22.956372560  
1953  5  6.000000     7.1556390837      22.914784191  
1953  5 16.000000     7.1843595109      22.864313737  
1953  5 26.000000     7.2174044053      22.805568085  
1953  6  5.000000     7.2540360551      22.739382623  
1953  6 15.000000     7.2935416290      22.666537785  
1953  6 25.000000     7.3351173856      22.588154125  
1953  7  5.000000     7.3779598992      22.505510622  
1953  7 15.000000     7.4212986053      22.419922258  
1953  7 25.000000     7.4642909195      22.333122199  
1953  8  4.000000     7.5061486820      22.246864090  
1953  8 14.000000     7.5460974208      22.163019826  
1953  8 24.000000     7.5833255496      22.083773070  
1953  9  3.000000     7.6171166224      22.011130837  
1953  9 13.000000     7.6467575902      21.947203317  
1953  9 23.000000     7.6715702657      21.894089882  
1953 10  3.000000     7.6910183986      21.853440189  
1953 10 13.000000     7.7046018591      21.826829469  
1953 10 23.000000     7.7119721111      21.815314262  
1953 11  2.000000     7.7129821060      21.819244127  
1953 11 12.000000     7.7076041237      21.838593962  
1953 11 22.000000     7.6960882558      21.872411567  
1953 12  2.000000     7.6789202508      21.919036694  
1953 12 12.000000     7.6567767185      21.976338692  
1953 12 22.000000     7.6306438598      22.041363464  
1954  1  1.000000     7.6016606791      22.110971415  
1954  1 11.000000     7.5711072855      22.181897347  
1954  1 21.000000     7.5404142296      22.250714379  
1954  1 31.000000     7.5109441469      22.314543356  
1954  2 10.000000     7.4840292715      22.370786818  
1954  2 20.000000     7.4608925893      22.417265666  
1954  3  2.000000     7.4424917179      22.452587358  
1954  3 12.000000     7.4296252909      22.475630379  
1954  3 22.000000     7.4228268835      22.485787303  
1954  4  1.000000     7.4223478243      22.482949659  
1954  4 11.000000     7.4282856957      22.467048335  
1954  4 21.000000     7.4404780334      22.438443664  
1954  5  1.000000     7.4585981810      22.397644898  
1954  5 11.000000     7.4822315736      22.345144148  
1954  5 21.000000     7.5107813787      22.281820401  
1954  5 31.000000     7.5436142181      22.208532898  
1954  6 10.000000     7.5800501632      22.126254989  
1954  6 20.000000     7.6193058613      22.036328824  
1954  6 30.000000     7.6606372146      21.940029305  
1954  7 10.000000     7.7032553865      21.838935376  
1954  7 20.000000     7.7463328420      21.734904338  
1954  7 30.000000     7.7891057486      21.629734645  
1954  8  9.000000     7.8307550744      21.525633227  
1954  8 19.000000     7.8704808071      21.424894071  
1954  8 29.000000     7.9075456789      21.329750643  
1954  9  8.000000     7.9411682881      21.242765517  
1954  9 18.000000     7.9706519332      21.166274023  
1954  9 28.000000     7.9953662368      21.102471284  
1954 10  8.000000     8.0146988844      21.053544026  
1954 10 18.000000     8.0282066603      21.021028625  
1954 10 28.000000     8.0355466437      21.006129739  
1954 11  7.000000     8.0365121503      21.009500584  
1954 11 17.000000     8.0311571486      21.030796126  
1954 11 27.000000     8.0196905133      21.069160306  
1954 12  7.000000     8.0025781005      21.122797338  
1954 12 17.000000     7.9805724447      21.189008649  
1954 12 27.000000     7.9545806126      21.264764781  
1955  1  6.000000     7.9257686591      21.346303137  
1955  1 16.000000     7.8954505154      21.429707384  
1955  1 26.000000     7.8649654941      21.511284335  
1955  2  5.000000     7.8357377759      21.587289179  
1955  2 15.000000     7.8090750028      21.654648153  
1955  2 25.000000     7.7861339747      21.710856122  
1955  3  7.000000     7.7679453713      21.753794561  
1955  3 17.000000     7.7552384045      21.782232992  
1955  3 27.000000     7.7485348398      21.795317067  
1955  4  6.000000     7.7481442294      21.792598137  
1955  4 16.000000     7.7540816206      21.774252630  
1955  4 26.000000     7.7662288096      21.740503802  
1955  5  6.000000     7.7842822903      21.691937706  
1955  5 16.000000     7.8077606382      21.629458434  
1955  5 26.000000     7.8361451749      21.553902555  
1955  6  5.000000     7.8687826971      21.466519200  
1955  6 15.000000     7.9049615560      21.368678409  
1955  6 25.000000     7.9439802864      21.261766671  
1955  7  5.000000     7.9850397612      21.147647210  
1955  7 15.000000     8.0273626611      21.028168447  
1955  7 25.000000     8.0701804516      20.905357627  
1955  8  4.000000     8.1126581343      20.781664688  
1955  8 14.000000     8.1540268030      20.659427989  
1955  8 24.000000     8.1935061525      20.541266885  
1955  9  3.000000     8.2302957463      20.430002840  
1955  9 13.000000     8.2636888476      20.328224399  
1955  9 23.000000     8.2929642159      20.238738325  
1955 10  3.000000     8.3174596702      20.164123079  
1955 10 13.000000     8.3366400791      20.106525420  
1955 10 23.000000     8.3500023250      20.067990517  
1955 11  2.000000     8.3572175401      20.049766606  
1955 11 12.000000     8.3581349883      20.052420080  
1955 11 22.000000     8.3527335328      20.075935825  
1955 12  2.000000     8.3412810460      20.119077258  
1955 12 12.000000     8.3242546642      20.179886330  
1955 12 22.000000     8.3023421427      20.255591613  
1956  1  1.000000     8.2765312318      20.342399671  
1956  1 11.000000     8.2479416090      20.436307854  
1956  1 21.000000     8.2178549348      20.532870291  
1956  1 31.000000     8.1876770562      20.627520111  
1956  2 10.000000     8.1587404044      20.716257152  
1956  2 20.000000     8.1323656352      20.795255503  
1956  3  1.000000     8.1097350363      20.861390345  
1956  3 11.000000     8.0917817725      20.912395290  
1956  3 21.000000     8.0792910608      20.946394618  
1956  3 31.000000     8.0727636974      20.962404956  
1956  4 10.000000     8.0724484886      20.959977714  
1956  4 20.000000     8.0784371059      20.938956622  
1956  4 30.000000     8.0905555990      20.899878588  
1956  5 10.000000     8.1084949324      20.843411177  
1956  5 20.000000     8.1318404948      20.770464671  
1956  5 30.000000     8.1600028114      20.682433057  
1956  6  9.000000     8.1923735521      20.580647456  
1956  6 19.000000     8.2282739720      20.466772799  
1956  6 29.000000     8.2669400150      20.342789730  
1956  7  9.000000     8.3076482116      20.210609813  
1956  7 19.000000     8.3496110236      20.072596008  
1956  7 29.000000     8.3920248027      19.931249046  
1956  8  8.000000     8.4341365746      19.789085298  
1956  8 18.000000     8.4751290948      19.649081304  
1956  8 28.000000     8.5142264556      19.514137152  
1956  9  7.000000     8.5506923753      19.387220486  
1956  9 17.000000     8.5837507911      19.271560360  
1956  9 27.000000     8.6127257211      19.170013758  
1956 10  7.000000     8.6369823659      19.085419799  
1956 10 17.000000     8.6559205641      19.020400098  
1956 10 27.000000     8.6691127238      18.976835651  
1956 11  6.000000     8.6762123334      18.956282018  
1956 11 16.000000     8.6770332442      18.959430050  
1956 11 26.000000     8.6716372611      18.985902577  
1956 12  6.000000     8.6602328380      19.034657913  
1956 12 16.000000     8.6433061308      19.103368235  
1956 12 26.000000     8.6216010701      19.188765443  
1957  1  5.000000     8.5960198400      19.286983542  
1957  1 15.000000     8.5677293506      19.393207367  
1957  1 25.000000     8.5380104478      19.502502451  
1957  2  4.000000     8.5081846855      19.609939532  
1957  2 14.000000     8.4796490197      19.710582883  
1957  2 24.000000     8.4536628844      19.800319290  
1957  3  6.000000     8.4313616391      19.875547153  
1957  3 16.000000     8.4137370182      19.933349999  
1957  3 26.000000     8.4014826094      19.971890721  
1957  4  5.000000     8.3951122203      19.989787838  
1957  4 15.000000     8.3949081967      19.986449024  
1957  4 25.000000     8.4008792721      19.962002813  
1957  5  5.000000     8.4129162442      19.916773708  
1957  5 15.000000     8.4307069801      19.851733594  
1957  5 25.000000     8.4537894854      19.768155294  
1957  6  4.000000     8.4816609256      19.667406136  
1957  6 14.000000     8.5136742022      19.551390123  
1957  6 24.000000     8.5491497584      19.422046528  
1957  7  4.000000     8.5873990413      19.281500196  
1957  7 14.000000     8.6276380318      19.132316904  
1957  7 24.000000     8.6691214112      18.976987724  
1957  8  3.000000     8.7110868277      18.818321606  
1957  8 13.000000     8.7527190691      18.659423768  
1957  8 23.000000     8.7932730104      18.503278200  
1957  9  2.000000     8.8319691200      18.353234345  
1957  9 12.000000     8.8680290451      18.212665258  
1957  9 22.000000     8.9007578779      18.084757449  
1957 10  2.000000     8.9294346322      17.972899937  
1957 10 12.000000     8.9534198659      17.880060546  
1957 10 22.000000     8.9721806178      17.808838677  
1957 11  1.000000     8.9852189996      17.761576163  
1957 11 11.000000     8.9922286898      17.739634077  
1957 11 21.000000     8.9930548480      17.743695436  
1957 12  1.000000     8.9876883378      17.773575411  
1957 12 11.000000     8.9764113058      17.827720454  
1957 12 21.000000     8.9596888188      17.903768352  
1957 12 31.000000     8.9382170149      17.998207305  
1958  1 10.000000     8.9129733770      18.106466381  
1958  1 20.000000     8.8850493803      18.223616890  
1958  1 30.000000     8.8557156603      18.344086848  
1958  2  9.000000     8.8263346754      18.462295294  
1958  2 19.000000     8.7981979531      18.573151196  
1958  3  1.000000     8.7725972156      18.671779674  
1958  3 11.000000     8.7506591763      18.754257637  
1958  3 21.000000     8.7332876430      18.817542963  
1958  3 31.000000     8.7212421062      18.859234027  
1958  4 10.000000     8.7149886485      18.878063082  
1958  4 20.000000     8.7147763724      18.873371413  
1958  4 30.000000     8.7206884077      18.845092420  
1958  5 10.000000     8.7325484646      18.793974352  
1958  5 20.000000     8.7500731596      18.720959415  
1958  5 30.000000     8.7728528184      18.627472012  
1958  6  9.000000     8.8003199862      18.515393287  
1958  6 19.000000     8.8319000740      18.386598761  
1958  6 29.000000     8.8669246302      18.243435207  
1958  7  9.000000     8.9046620963      18.088444473  
1958  7 19.000000     8.9444163792      17.924188554  
1958  7 29.000000     8.9854102903      17.753701245  
1958  8  8.000000     9.0268733952      17.580034794  
1958  8 18.000000     9.0680663653      17.406354395  
1958  8 28.000000     9.1081820403      17.236218515  
1958  9  7.000000     9.1464715384      17.073029276  
1958  9 17.000000     9.1821989190      16.920340594  
1958  9 27.000000     9.2145996958      16.781824765  
1958 10  7.000000     9.2430157000      16.660766111  
1958 10 17.000000     9.2668059223      16.560435096  
1958 10 27.000000     9.2853861032      16.483703110  
1958 11  6.000000     9.2983374709      16.432698504  
1958 11 16.000000     9.3053086853      16.409122334  
1958 11 26.000000     9.3061334188      16.413598998  
1958 12  6.000000     9.3008715497      16.445677144  
1958 12 16.000000     9.2897293410      16.504023721  
1958 12 26.000000     9.2732055484      16.585834098  
1959  1  5.000000     9.2520235860      16.687338453  
1959  1 15.000000     9.2270753317      16.803911960  
1959  1 25.000000     9.1995148162      16.929914733  
1959  2  4.000000     9.1705771229      17.059577395  
1959  2 14.000000     9.1415589801      17.186985673  
1959  2 24.000000     9.1138159935      17.306334934  
1959  3  6.000000     9.0885544074      17.412684709  
1959  3 16.000000     9.0668851464      17.501638747  
1959  3 26.000000     9.0497558762      17.569740605  
1959  4  5.000000     9.0378316222      17.614669551  
