v15.04    Планета: Уран  (INPOP13C)
          Спутник: U2 Умбриэль  (Emelyanov,Nikonchuk(2013),DOI:10.1093/mnras/stt1851..)
                            - эфемериды на инт. 1787/02/12.0-2032/01/09.0
   Обсерватория N:  84 - Pulkovo
    Шкала времени: UTC
Средний экватор и равноденствие эпохи J2000.  ICRF. 
Координаты астрометрические 
Год  Месяц День       alpha (h)          delta (º)
1952  2  1.000000     6.8320846880      23.336786918  
1952  2 11.000000     6.8091358584      23.360437806  
1952  2 21.000000     6.7897707541      23.389111069  
1952  3  2.000000     6.7766161047      23.391947102  
1952  3 12.000000     6.7697037759      23.407858453  
1952  3 22.000000     6.7684094013      23.400558069  
1952  4  1.000000     6.7748657536      23.393092250  
1952  4 11.000000     6.7863621874      23.382239639  
1952  4 21.000000     6.8049022525      23.351095207  
1952  5  1.000000     6.8286220524      23.331920982  
1952  5 11.000000     6.8570696145      23.287337667  
1952  5 21.000000     6.8907592740      23.249642489  
1952  5 31.000000     6.9268879462      23.202060257  
1952  6 10.000000     6.9670885661      23.142462197  
1952  6 20.000000     7.0085692009      23.092982679  
1952  6 30.000000     7.0515717757      23.020634035  
1952  7 10.000000     7.0954954746      22.962691099  
1952  7 20.000000     7.1381307231      22.892491537  
1952  7 30.000000     7.1808453975      22.822781554  
1952  8  9.000000     7.2205289401      22.763758686  
1952  8 19.000000     7.2581631258      22.691038545  
1952  8 29.000000     7.2923151212      22.642429877  
1952  9  8.000000     7.3216652318      22.584373031  
1952  9 18.000000     7.3472773360      22.542947335  
1952  9 28.000000     7.3662547953      22.513668056  
1952 10  8.000000     7.3803478762      22.483582286  
1952 10 18.000000     7.3877303576      22.484353685  
1952 10 28.000000     7.3885103913      22.477972183  
1952 11  7.000000     7.3836814938      22.499483995  
1952 11 17.000000     7.3714907171      22.526641871  
1952 11 27.000000     7.3548187302      22.559453572  
1952 12  7.000000     7.3322213377      22.615541390  
1952 12 17.000000     7.3059299003      22.657506428  
1952 12 27.000000     7.2770654314      22.723298707  
1953  1  6.000000     7.2456890017      22.775798367  
1953  1 16.000000     7.2153942253      22.830440696  
1953  1 26.000000     7.1850556136      22.888306202  
1953  2  5.000000     7.1581633248      22.923305939  
1953  2 15.000000     7.1347903522      22.971448498  
1953  2 25.000000     7.1157293892      22.991547590  
1953  3  7.000000     7.1032920653      23.013732479  
1953  3 17.000000     7.0956312419      23.024732781  
1953  3 27.000000     7.0955752101      23.015790327  
1953  4  6.000000     7.1012507824      23.014142101  
1953  4 16.000000     7.1132813800      22.982453100  
1953  4 26.000000     7.1319608198      22.957798766  
1953  5  6.000000     7.1550637790      22.915181152  
1953  5 16.000000     7.1843982197      22.861828619  
1953  5 26.000000     7.2170491654      22.811823320  
1953  6  5.000000     7.2537958922      22.736344317  
1953  6 15.000000     7.2935754011      22.673051590  
1953  6 25.000000     7.3346859878      22.589775784  
1953  7  5.000000     7.3781790610      22.507696188  
1953  7 15.000000     7.4210282222      22.427300232  
1953  7 25.000000     7.4643733210      22.331803328  
1953  8  4.000000     7.5062855427      22.255364459  
1953  8 14.000000     7.5459579887      22.163070184  
1953  8 24.000000     7.5837582192      22.087516125  
1953  9  3.000000     7.6169938595      22.015679684  
1953  9 13.000000     7.6471373144      21.944771696  
1953  9 23.000000     7.6717494953      21.900564181  
1953 10  3.000000     7.6911087332      21.849041681  
1953 10 13.000000     7.7050875102      21.829301630  
1953 10 23.000000     7.7118758169      21.814120087  
1953 11  2.000000     7.7134642003      21.814529914  
1953 11 12.000000     7.7076267871      21.840951325  
1953 11 22.000000     7.6962310436      21.863636064  
1953 12  2.000000     7.6792098285      21.920083924  
1953 12 12.000000     7.6565497063      21.970054278  
1953 12 22.000000     7.6310008422      22.036620682  
1954  1  1.000000     7.6013638263      22.110451453  
1954  1 11.000000     7.5711685312      22.172666498  
1954  1 21.000000     7.5403457689      22.252841522  
1954  1 31.000000     7.5105679526      22.307254835  
1954  2 10.000000     7.4841589778      22.370099402  
1954  2 20.000000     7.4603382028      22.417024742  
1954  3  2.000000     7.4425058813      22.447736846  
1954  3 12.000000     7.4292928092      22.481027925  
1954  3 22.000000     7.4224981190      22.481280952  
1954  4  1.000000     7.4223680351      22.488036135  
1954  4 11.000000     7.4277606798      22.468417667  
1954  4 21.000000     7.4406166340      22.439217047  
1954  5  1.000000     7.4582677632      22.405249520  
1954  5 11.000000     7.4821847488      22.343451053  
1954  5 21.000000     7.5108726256      22.290278045  
1954  5 31.000000     7.5433621625      22.209545945  
1954  6 10.000000     7.5804094035      22.129908317  
1954  6 20.000000     7.6191352096      22.042359759  
1954  6 30.000000     7.6609161881      21.938336621  
1954  7 10.000000     7.7034313885      21.846448233  
1954  7 20.000000     7.7463542482      21.732415887  
1954  7 30.000000     7.7895744639      21.632776460  
1954  8  9.000000     7.8306754205      21.526677741  
1954  8 19.000000     7.8709155915      21.421075280  
1954  8 29.000000     7.9076465376      21.333470588  
1954  9  8.000000     7.9412906264      21.235663183  
1954  9 18.000000     7.9710037511      21.167520510  
1954  9 28.000000     7.9952106153      21.097987313  
1954 10  8.000000     8.0150657516      21.048510172  
1954 10 18.000000     8.0280561926      21.021268183  
1954 10 28.000000     8.0356122873      20.996805317  
1954 11  7.000000     8.0365757731      21.010809344  
1954 11 17.000000     8.0308453474      21.023588398  
1954 11 27.000000     8.0198724547      21.066540678  
1954 12  7.000000     8.0021423613      21.122239710  
1954 12 17.000000     7.9805706178      21.182091957  
1954 12 27.000000     7.9543488477      21.268971671  
1955  1  6.000000     7.9254055105      21.340452796  
1955  1 16.000000     7.8954906919      21.432810537  
1955  1 26.000000     7.8644189995      21.512215589  
1955  2  5.000000     7.8358054393      21.586050150  
1955  2 15.000000     7.8087293645      21.662159437  
1955  2 25.000000     7.7859626046      21.708201174  
1955  3  7.000000     7.7680001225      21.761915370  
1955  3 17.000000     7.7548681773      21.783805539  
1955  3 27.000000     7.7488153863      21.798556833  
1955  4  6.000000     7.7479065801      21.800057938  
1955  4 16.000000     7.7542516732      21.772893377  
1955  4 26.000000     7.7663847325      21.749251398  
1955  5  6.000000     7.7842156535      21.691010209  
1955  5 16.000000     7.8082154201      21.633243173  
1955  5 26.000000     7.8360484261      21.557110361  
1955  6  5.000000     7.8691873770      21.463602718  
1955  6 15.000000     7.9051110550      21.374014358  
1955  6 25.000000     7.9440874597      21.256314678  
1955  7  5.000000     7.9854502822      21.149529339  
1955  7 15.000000     8.0272562167      21.025605554  
1955  7 25.000000     8.0705743182      20.900601961  
1955  8  4.000000     8.1126177211      20.782920715  
1955  8 14.000000     8.1541117809      20.650772012  
1955  8 24.000000     8.1936735345      20.542154760  
1955  9  3.000000     8.2300558454      20.423642407  
1955  9 13.000000     8.2639115641      20.324395339  
1955  9 23.000000     8.2926611734      20.238182854  
1955 10  3.000000     8.3174570300      20.156189706  
1955 10 13.000000     8.3365278894      20.109296874  
1955 10 23.000000     8.3496678106      20.061589131  
1955 11  2.000000     8.3572869558      20.050523701  
1955 11 12.000000     8.3576692507      20.052769597  
1955 11 22.000000     8.3527428465      20.072556905  
1955 12  2.000000     8.3410060070      20.125509460  
1955 12 12.000000     8.3240054895      20.176151673  
1955 12 22.000000     8.3023851461      20.262248213  
1956  1  1.000000     8.2761151881      20.344107375  
1956  1 11.000000     8.2481223149      20.438321477  
1956  1 21.000000     8.2175968181      20.541155850  
1956  1 31.000000     8.1877126861      20.625990023  
1956  2 10.000000     8.1588688037      20.725794015  
1956  2 20.000000     8.1321946670      20.795642851  
1956  3  1.000000     8.1101381635      20.865695391  
1956  3 11.000000     8.0916490301      20.917856224  
1956  3 21.000000     8.0796313722      20.944237578  
1956  3 31.000000     8.0729400067      20.969742885  
1956  4 10.000000     8.0725156991      20.956086247  
1956  4 20.000000     8.0788973507      20.941878444  
1956  4 30.000000     8.0904727862      20.899372021  
1956  5 10.000000     8.1089249431      20.839108967  
1956  5 20.000000     8.1318880263      20.773187536  
1956  5 30.000000     8.1601156270      20.674459256  
1956  6  9.000000     8.1926444667      20.581696856  
1956  6 19.000000     8.2280920165      20.461359204  
1956  6 29.000000     8.2672289349      20.338234719  
1956  7  9.000000     8.3074458014      20.210340432  
1956  7 19.000000     8.3496349906      20.064027471  
1956  7 29.000000     8.3920104726      19.932941326  
1956  8  8.000000     8.4338375401      19.782457147  
1956  8 18.000000     8.4752342867      19.647847911  
1956  8 28.000000     8.5138361285      19.513935803  
1956  9  7.000000     8.5506736997      19.382103846  
1956  9 17.000000     8.5835486769      19.276385902  
1956  9 27.000000     8.6124482852      19.165416567  
1956 10  7.000000     8.6370221424      19.089779839  
1956 10 17.000000     8.6555250495      19.021717301  
1956 10 27.000000     8.6692002641      18.977021333  
1956 11  6.000000     8.6759890561      18.964015080  
1956 11 16.000000     8.6769542493      18.957426991  
1956 11 26.000000     8.6717386948      18.994711563  
1956 12  6.000000     8.6600000647      19.035941602  
1956 12 16.000000     8.6436008017      19.107306773  
1956 12 26.000000     8.6214617857      19.195835954  
1957  1  5.000000     8.5962301508      19.285392276  
1957  1 15.000000     8.5679072151      19.402079276  
1957  1 25.000000     8.5380012066      19.500334584  
1957  2  4.000000     8.5086265783      19.613867489  
1957  2 14.000000     8.4795741531      19.712493808  
1957  2 24.000000     8.4540666965      19.796696331  
1957  3  6.000000     8.4314811598      19.880279713  
1957  3 16.000000     8.4138480350      19.926294956  
1957  3 26.000000     8.4018439145      19.973658832  
1957  4  5.000000     8.3949789930      19.985596249  
1957  4 15.000000     8.3952656698      19.981457495  
1957  4 25.000000     8.4007732790      19.962481453  
1957  5  5.000000     8.4129780978      19.907554445  
1957  5 15.000000     8.4307969963      19.852890145  
1957  5 25.000000     8.4535248991      19.761238711  
1957  6  4.000000     8.4818271021      19.664526058  
1957  6 14.000000     8.5133384905      19.550754570  
1957  6 24.000000     8.5491331800      19.415220363  
1957  7  4.000000     8.5872506932      19.284955383  
1957  7 14.000000     8.6273400102      19.126721542  
1957  7 24.000000     8.6691661752      18.979165108  
1957  8  3.000000     8.7106925207      18.819015967  
1957  8 13.000000     8.7527467748      18.657702898  
1957  8 23.000000     8.7930638686      18.509907927  
1957  9  2.000000     8.8318121441      18.350521877  
1957  9 12.000000     8.8681005286      18.219852317  
1957  9 22.000000     8.9004898818      18.086308928  
1957 10  2.000000     8.9296264206      17.975694596  
1957 10 12.000000     8.9532851039      17.887509324  
1957 10 22.000000     8.9722648234      17.807525703  
1957 11  1.000000     8.9853748806      17.770590278  
1957 11 11.000000     8.9921526892      17.739124265  
1957 11 21.000000     8.9934071608      17.747950069  
1957 12  1.000000     8.9876271894      17.777644415  
1957 12 11.000000     8.9767027633      17.825108349  
1957 12 21.000000     8.9598469092      17.910269627  
1957 12 31.000000     8.9382763203      17.992888731  
1958  1 10.000000     8.9133467503      18.109172745  
1958  1 20.000000     8.8849592284      18.221418753  
1958  1 30.000000     8.8560641015      18.339274934  
1958  2  9.000000     8.8263305704      18.464165755  
1958  2 19.000000     8.7982674978      18.563863884  
1958  3  1.000000     8.7727883274      18.672937989  
1958  3 11.000000     8.7504428520      18.747405001  
1958  3 21.000000     8.7335150510      18.813286491  
1958  3 31.000000     8.7209853136      18.858459446  
1958  4 10.000000     8.7149868883      18.869416659  
1958  4 20.000000     8.7147018574      18.875778666  
1958  4 30.000000     8.7203818379      18.838213810  
1958  5 10.000000     8.7326211431      18.794108869  
1958  5 20.000000     8.7496759333      18.720881613  
1958  5 30.000000     8.7728463353      18.623623882  
1958  6  9.000000     8.8001125030      18.520980328  
1958  6 19.000000     8.8316746613      18.382711337  
1958  6 29.000000     8.8669709604      18.249020303  
1958  7  9.000000     8.9043394868      18.089825291  
1958  7 19.000000     8.9445357111      17.925585640  
1958  7 29.000000     8.9852502359      17.761111705  
1958  8  8.000000     9.0268647636      17.578552189  
1958  8 18.000000     9.0681904914      17.414928076  
1958  8 28.000000     9.1080493540      17.236826738  
1958  9  7.000000     9.1467485115      17.077023850  
1958  9 17.000000     9.1821362585      16.925841266  
1958  9 27.000000     9.2147939157      16.780093218  
1958 10  7.000000     9.2431800079      16.668235852  
1958 10 17.000000     9.2668166475      16.557234938  
1958 10 27.000000     9.2857182848      16.487090381  
1958 11  6.000000     9.2982845475      16.432877724  
1958 11 16.000000     9.3055832106      16.405282790  
1958 11 26.000000     9.3062054249      16.417037248  
1958 12  6.000000     9.3009114089      16.437754944  
1958 12 16.000000     9.2899632195      16.505583391  
1958 12 26.000000     9.2730515552      16.580244383  
1959  1  5.000000     9.2522475895      16.682531834  
1959  1 15.000000     9.2269355572      16.803626042  
1959  1 25.000000     9.1995082615      16.920269999  
1959  2  4.000000     9.1705989282      17.061211386  
1959  2 14.000000     9.1412829791      17.179182748  
1959  2 24.000000     9.1139219903      17.304478348  
1959  3  6.000000     9.0882123268      17.411820920  
1959  3 16.000000     9.0668552427      17.495398701  
1959  3 26.000000     9.0495892804      17.574217830  
1959  4  5.000000     9.0375571793      17.609107345  
