v15.04    Планета: Уран  (INPOP13C)
          Спутник: U3 Титани  (Emelyanov,Nikonchuk(2013),DOI:10.1093/mnras/stt1851..)
                            - эфемериды на инт. 1787/02/12.0-2032/01/09.0
   Обсерватория N:  84 - Pulkovo
    Шкала времени: UTC
Средний экватор и равноденствие эпохи J2000.  ICRF. 
Координаты астрометрические 
Год  Месяц День       alpha (h)          delta (º)
1952  2  1.000000     6.8318852804      23.340248407  
1952  2 11.000000     6.8082953091      23.359036800  
1952  2 21.000000     6.7898940203      23.374949622  
1952  3  2.000000     6.7771021028      23.391184289  
1952  3 12.000000     6.7700784725      23.405100107  
1952  3 22.000000     6.7689858436      23.410399036  
1952  4  1.000000     6.7742142611      23.401968395  
1952  4 11.000000     6.7860533292      23.380073711  
1952  4 21.000000     6.8043877160      23.350155648  
1952  5  1.000000     6.8286433401      23.318299233  
1952  5 11.000000     6.8578181529      23.286664938  
1952  5 21.000000     6.8909306427      23.252006637  
1952  5 31.000000     6.9273099813      23.208490521  
1952  6 10.000000     6.9664886069      23.152875938  
1952  6 20.000000     7.0080793144      23.087320197  
1952  6 30.000000     7.0514207729      23.018220697  
1952  7 10.000000     7.0954426344      22.951944291  
1952  7 20.000000     7.1389773277      22.890312624  
1952  7 30.000000     7.1809639167      22.830333457  
1952  8  9.000000     7.2206729979      22.767713832  
1952  8 19.000000     7.2577148114      22.701270679  
1952  8 29.000000     7.2916458857      22.635526870  
1952  9  8.000000     7.3217995072      22.578449598  
1952  9 18.000000     7.3472713191      22.536271343  
1952  9 28.000000     7.3670627664      22.509978110  
1952 10  8.000000     7.3805371592      22.495454012  
1952 10 18.000000     7.3875261004      22.487627880  
1952 10 28.000000     7.3881989142      22.485466483  
1952 11  7.000000     7.3829010522      22.492985996  
1952 11 17.000000     7.3718047351      22.516148173  
1952 11 27.000000     7.3550051269      22.557296546  
1952 12  7.000000     7.3328743276      22.612015902  
1952 12 17.000000     7.3062275314      22.671465761  
1952 12 27.000000     7.2764970190      22.727616121  
1953  1  6.000000     7.2454506674      22.777918561  
1953  1 16.000000     7.2146699997      22.825572295  
1953  1 26.000000     7.1854282644      22.874628262  
1953  2  5.000000     7.1586467439      22.924887040  
1953  2 15.000000     7.1351660008      22.970611478  
1953  2 25.000000     7.1160760763      23.003760871  
1953  3  7.000000     7.1025050562      23.019848276  
1953  3 17.000000     7.0953798206      23.020734449  
1953  3 27.000000     7.0951370467      23.012551143  
1953  4  6.000000     7.1015287913      23.000692934  
1953  4 16.000000     7.1140080352      22.985256156  
1953  4 26.000000     7.1320570419      22.961304395  
1953  5  6.000000     7.1553194553      22.923267709  
1953  5 16.000000     7.1836432088      22.869394854  
1953  5 26.000000     7.2166934331      22.803698544  
1953  6  5.000000     7.2537290885      22.733197821  
1953  6 15.000000     7.2937232218      22.662598077  
1953  6 25.000000     7.3355063917      22.591591687  
1953  7  5.000000     7.3781446872      22.515919175  
1953  7 15.000000     7.4210670195      22.431558906  
1953  7 25.000000     7.4637998383      22.339373246  
1953  8  4.000000     7.5057962799      22.245485358  
1953  8 14.000000     7.5461996112      22.157846120  
1953  8 24.000000     7.5838670788      22.081516997  
1953  9  3.000000     7.6177607030      22.015937477  
1953  9 13.000000     7.6471099564      21.957158921  
1953  9 23.000000     7.6714907073      21.902572857  
1953 10  3.000000     7.6907300235      21.854396174  
1953 10 13.000000     7.7045078117      21.819626812  
1953 10 23.000000     7.7123264716      21.805403672  
1953 11  2.000000     7.7136723015      21.813786979  
1953 11 12.000000     7.7082302288      21.840641507  
1953 11 22.000000     7.6962774606      21.878399557  
1953 12  2.000000     7.6786233717      21.921657863  
1953 12 12.000000     7.6563169712      21.970544494  
1953 12 22.000000     7.6304531853      22.028748651  
1954  1  1.000000     7.6019189783      22.098627330  
1954  1 11.000000     7.5715892415      22.176705724  
1954  1 21.000000     7.5406715464      22.253906360  
1954  1 31.000000     7.5106713018      22.320777532  
1954  2 10.000000     7.4833235087      22.372634007  
1954  2 20.000000     7.4601807596      22.411428596  
1954  3  2.000000     7.4421825154      22.442618738  
1954  3 12.000000     7.4297834970      22.468949373  
1954  3 22.000000     7.4231332990      22.487661521  
1954  4  1.000000     7.4223722110      22.492305136  
1954  4 11.000000     7.4278430971      22.477408087  
1954  4 21.000000     7.4397808647      22.443149168  
1954  5  1.000000     7.4580828078      22.395140971  
1954  5 11.000000     7.4822059904      22.340034106  
1954  5 21.000000     7.5111887721      22.280933135  
1954  5 31.000000     7.5440902166      22.215352866  
1954  6 10.000000     7.5802194599      22.138081488  
1954  6 20.000000     7.6190796078      22.046360827  
1954  6 30.000000     7.6602746608      21.942742154  
1954  7 10.000000     7.7031464394      21.834363122  
1954  7 20.000000     7.7466817672      21.728539653  
1954  7 30.000000     7.7897671862      21.628019692  
1954  8  9.000000     7.8313501596      21.530732915  
1954  8 19.000000     7.8706946043      21.432925889  
1954  8 29.000000     7.9073661368      21.333841980  
1954  9  8.000000     7.9408922274      21.238549207  
1954  9 18.000000     7.9706402917      21.155560909  
1954  9 28.000000     7.9957473510      21.091904357  
1954 10  8.000000     8.0152619478      21.049288043  
1954 10 18.000000     8.0285658129      21.023934558  
1954 10 28.000000     8.0354424272      21.010981101  
1954 11  7.000000     8.0360259195      21.009251831  
1954 11 17.000000     8.0306520298      21.022497150  
1954 11 27.000000     8.0195183371      21.056587618  
1954 12  7.000000     8.0027951530      21.113537028  
1954 12 17.000000     7.9808877118      21.188442636  
1954 12 27.000000     7.9545914962      21.271694628  
1955  1  6.000000     7.9252968399      21.353935291  
1955  1 16.000000     7.8947025059      21.431240553  
1955  1 26.000000     7.8643749076      21.505523198  
1955  2  5.000000     7.8356156703      21.579651466  
1955  2 15.000000     7.8093585162      21.652635976  
1955  2 25.000000     7.7864454277      21.717873489  
1955  3  7.000000     7.7679085963      21.766368917  
1955  3 17.000000     7.7547911998      21.792807079  
1955  3 27.000000     7.7479822998      21.798299807  
1955  4  6.000000     7.7479069583      21.788732777  
1955  4 16.000000     7.7543521961      21.769766394  
1955  4 26.000000     7.7668222699      21.741853353  
1955  5  6.000000     7.7847927568      21.700538931  
1955  5 16.000000     7.8078870831      21.640559349  
1955  5 26.000000     7.8359211788      21.560375213  
1955  6  5.000000     7.8685380047      21.464506315  
1955  6 15.000000     7.9050442919      21.360628251  
1955  6 25.000000     7.9444714792      21.254353871  
1955  7  5.000000     7.9856927054      21.146343694  
1955  7 15.000000     8.0278006794      21.033000544  
1955  7 25.000000     8.0701876714      20.910883383  
1955  8  4.000000     8.1123444139      20.781386520  
1955  8 14.000000     8.1537313405      20.651157536  
1955  8 24.000000     8.1935186460      20.528998221  
1955  9  3.000000     8.2306295015      20.420789538  
1955  9 13.000000     8.2640708620      20.326674131  
1955  9 23.000000     8.2930536043      20.243347594  
1955 10  3.000000     8.3171209725      20.168511150  
1955 10 13.000000     8.3360561654      20.104676043  
1955 10 23.000000     8.3495327223      20.059241065  
1955 11  2.000000     8.3571161419      20.039586052  
1955 11 12.000000     8.3583461520      20.048085174  
1955 11 22.000000     8.3529381471      20.080649056  
1955 12  2.000000     8.3411564550      20.129316131  
1955 12 12.000000     8.3237428191      20.188163546  
1955 12 22.000000     8.3017147495      20.256483862  
1956  1  1.000000     8.2761791215      20.337059090  
1956  1 11.000000     8.2480563076      20.431475883  
1956  1 21.000000     8.2182716269      20.535254821  
1956  1 31.000000     8.1880092743      20.638232970  
1956  2 10.000000     8.1586975681      20.729758180  
1956  2 20.000000     8.1319968087      20.803738395  
1956  3  1.000000     8.1093919717      20.861047363  
1956  3 11.000000     8.0918253808      20.906369934  
1956  3 21.000000     8.0797903098      20.941982307  
1956  3 31.000000     8.0734402125      20.964974432  
1956  4 10.000000     8.0729023665      20.968684231  
1956  4 20.000000     8.0784639434      20.947436875  
1956  4 30.000000     8.0903021009      20.901419578  
1956  5 10.000000     8.1083257002      20.836393341  
1956  5 20.000000     8.1320301698      20.759584298  
1956  5 30.000000     8.1605173826      20.674844549  
1956  6  9.000000     8.1929011150      20.580327662  
1956  6 19.000000     8.2284755326      20.471476910  
1956  6 29.000000     8.2667158925      20.345993090  
1956  7  9.000000     8.3072090949      20.206917590  
1956  7 19.000000     8.3493014553      20.062137054  
1956  7 29.000000     8.3920502795      19.919710672  
1956  8  8.000000     8.4344064349      19.783216118  
1956  8 18.000000     8.4753391272      19.651358389  
1956  8 28.000000     8.5141070705      19.520869737  
1956  9  7.000000     8.5502220051      19.391550761  
1956  9 17.000000     8.5831793261      19.269001797  
1956  9 27.000000     8.6123787392      19.162244423  
1956 10  7.000000     8.6370052312      19.078978445  
1956 10 17.000000     8.6561694626      19.021398255  
1956 10 27.000000     8.6692738452      18.986024139  
1956 11  6.000000     8.6760531380      18.968239922  
1956 11 16.000000     8.6765982183      18.966788189  
1956 11 26.000000     8.6712221485      18.985303855  
1956 12  6.000000     8.6601498245      19.029492939  
1956 12 16.000000     8.6436303138      19.100934917  
1956 12 26.000000     8.6221030417      19.194232424  
1957  1  5.000000     8.5963455202      19.299005808  
1957  1 15.000000     8.5676882298      19.404800173  
1957  1 25.000000     8.5377371088      19.506594339  
1957  2  4.000000     8.5080302840      19.605095179  
1957  2 14.000000     8.4798856762      19.702104115  
1957  2 24.000000     8.4542519463      19.795790795  
1957  3  6.000000     8.4319777123      19.878646599  
1957  3 16.000000     8.4140284886      19.940918414  
1957  3 26.000000     8.4013546323      19.976578455  
1957  4  5.000000     8.3947970014      19.986146580  
1957  4 15.000000     8.3947644024      19.975346207  
1957  4 25.000000     8.4010947584      19.949934423  
1957  5  5.000000     8.4133577384      19.910629763  
1957  5 15.000000     8.4310352460      19.853390517  
1957  5 25.000000     8.4537366372      19.773218315  
1957  6  4.000000     8.4812394082      19.668932691  
1957  6 14.000000     8.5131642610      19.545570384  
1957  6 24.000000     8.5488708738      19.411378713  
1957  7  4.000000     8.5874589943      19.272764202  
1957  7 14.000000     8.6278622709      19.131128190  
1957  7 24.000000     8.6692057684      18.983450932  
1957  8  3.000000     8.7108419730      18.826932911  
1957  8 13.000000     8.7522239324      18.663497881  
1957  8 23.000000     8.7928115930      18.500378461  
1957  9  2.000000     8.8318047011      18.347120181  
1957  9 12.000000     8.8682040622      18.210182892  
1957  9 22.000000     8.9010664886      18.090302301  
1957 10  2.000000     8.9295891459      17.984714759  
1957 10 12.000000     8.9532804707      17.891469472  
1957 10 22.000000     8.9718677597      17.813499922  
1957 11  1.000000     8.9850182991      17.758540861  
1957 11 11.000000     8.9923624720      17.734130828  
1957 11 21.000000     8.9934989137      17.742805017  
1957 12  1.000000     8.9881845295      17.780360741  
1957 12 11.000000     8.9766675405      17.838563350  
1957 12 21.000000     8.9596129162      17.911113667  
1957 12 31.000000     8.9379964492      17.996643588  
1958  1 10.000000     8.9129228902      18.097183227  
1958  1 20.000000     8.8853461699      18.213492832  
1958  1 30.000000     8.8562428418      18.340087103  
1958  2  9.000000     8.8267673994      18.465844409  
1958  2 19.000000     8.7982651036      18.579053593  
1958  3  1.000000     8.7723027946      18.672547505  
1958  3 11.000000     8.7502814057      18.746337128  
1958  3 21.000000     8.7331460499      18.804331539  
1958  3 31.000000     8.7214316844      18.848337722  
1958  4 10.000000     8.7153070558      18.875179924  
1958  4 20.000000     8.7148965401      18.877956859  
1958  4 30.000000     8.7204262789      18.850954007  
1958  5 10.000000     8.7320147720      18.794421571  
1958  5 20.000000     8.7495817951      18.714315034  
1958  5 30.000000     8.7726657738      18.618359219  
1958  6  9.000000     8.8004498992      18.510900223  
1958  6 19.000000     8.8321136334      18.390626467  
1958  6 29.000000     8.8669401893      18.253570599  
1958  7  9.000000     8.9043779819      18.097915645  
1958  7 19.000000     8.9439882602      17.927293895  
1958  7 29.000000     8.9851222677      17.750269681  
1958  8  8.000000     9.0269140731      17.575491454  
1958  8 18.000000     9.0683842814      17.407194959  
1958  8 28.000000     9.1085341241      17.244655961  
1958  9  7.000000     9.1466164529      17.085102309  
1958  9 17.000000     9.1820816699      16.928952185  
1958  9 27.000000     9.2143912481      16.782335870  
1958 10  7.000000     9.2429723867      16.654755408  
1958 10 17.000000     9.2670611341      16.554380148  
1958 10 27.000000     9.2858419108      16.483664883  
1958 11  6.000000     9.2987380382      16.439374265  
1958 11 16.000000     9.3054366195      16.417123988  
1958 11 26.000000     9.3059818062      16.415714788  
1958 12  6.000000     9.3006520365      16.438793631  
1958 12 16.000000     9.2897006770      16.491815426  
1958 12 26.000000     9.2734583314      16.575891939  
1959  1  5.000000     9.2523978833      16.685075509  
1959  1 15.000000     9.2272834113      16.808272222  
1959  1 25.000000     9.1993737114      16.934240403  
1959  2  4.000000     9.1701665510      17.057127632  
1959  2 14.000000     9.1411630413      17.176648333  
1959  2 24.000000     9.1136883341      17.293656497  
1959  3  6.000000     9.0887104906      17.405407752  
1959  3 16.000000     9.0670901650      17.503547514  
1959  3 26.000000     9.0497226007      17.577704748  
1959  4  5.000000     9.0374633556      17.621300809  
