v15.04    Планета: Уран  (INPOP13C)
          Спутник: U4 Оберон  (Emelyanov,Nikonchuk(2013),DOI:10.1093/mnras/stt1851..)
                            - эфемериды на инт. 1787/02/12.0-2032/01/09.0
   Обсерватория N:  84 - Pulkovo
    Шкала времени: UTC
Средний экватор и равноденствие эпохи J2000.  ICRF. 
Координаты астрометрические 
Год  Месяц День       alpha (h)          delta (º)
1952  2  1.000000     6.8332835584      23.336271606  
1952  2 11.000000     6.8088055848      23.351298337  
1952  2 21.000000     6.7891224840      23.385305218  
1952  3  2.000000     6.7767259908      23.409412615  
1952  3 12.000000     6.7702884672      23.401203295  
1952  3 22.000000     6.7685912945      23.390839633  
1952  4  1.000000     6.7737370753      23.397429374  
1952  4 11.000000     6.7868560755      23.389660360  
1952  4 21.000000     6.8055185050      23.351831401  
1952  5  1.000000     6.8282562164      23.316381893  
1952  5 11.000000     6.8566185989      23.296168691  
1952  5 21.000000     6.8907723969      23.258439602  
1952  5 31.000000     6.9278546447      23.194123814  
1952  6 10.000000     6.9664631590      23.137330893  
1952  6 20.000000     7.0080304601      23.094913942  
1952  6 30.000000     7.0521481102      23.033714554  
1952  7 10.000000     7.0957723231      22.952007886  
1952  7 20.000000     7.1379552487      22.884992573  
1952  7 30.000000     7.1800665693      22.833885393  
1952  8  9.000000     7.2212462622      22.766119242  
1952  8 19.000000     7.2585903229      22.686847208  
1952  8 29.000000     7.2915595164      22.631970622  
1952  9  8.000000     7.3215750740      22.596669608  
1952  9 18.000000     7.3475772402      22.548690702  
1952  9 28.000000     7.3668430729      22.499661538  
1952 10  8.000000     7.3795458277      22.484303485  
1952 10 18.000000     7.3874209344      22.490320623  
1952 10 28.000000     7.3894201761      22.485488253  
1952 11  7.000000     7.3835678225      22.485968812  
1952 11 17.000000     7.3710939593      22.522967994  
1952 11 27.000000     7.3544176179      22.575625372  
1952 12  7.000000     7.3330801669      22.611320554  
1952 12 17.000000     7.3061000033      22.650470553  
1952 12 27.000000     7.2760301070      22.719259406  
1953  1  6.000000     7.2460209377      22.789346519  
1953  1 16.000000     7.2158402727      22.831546180  
1953  1 26.000000     7.1852378457      22.871387821  
1953  2  5.000000     7.1573129880      22.930846856  
1953  2 15.000000     7.1347757245      22.978426284  
1953  2 25.000000     7.1167858745      22.991746227  
1953  3  7.000000     7.1027493369      23.001729083  
1953  3 17.000000     7.0952036835      23.026075389  
1953  3 27.000000     7.0956326370      23.031617136  
1953  4  6.000000     7.1019674839      23.003832203  
1953  4 16.000000     7.1131404660      22.976497226  
1953  4 26.000000     7.1309994624      22.961280435  
1953  5  6.000000     7.1557668225      22.924402637  
1953  5 16.000000     7.1847373612      22.858307427  
1953  5 26.000000     7.2167645703      22.797934696  
1953  6  5.000000     7.2532754528      22.748868271  
1953  6 15.000000     7.2938358078      22.677369136  
1953  6 25.000000     7.3354883296      22.583077794  
1953  7  5.000000     7.3773642804      22.501579616  
1953  7 15.000000     7.4208068043      22.432472230  
1953  7 25.000000     7.4648326796      22.343377396  
1953  8  4.000000     7.5065827733      22.240916153  
1953  8 14.000000     7.5456121130      22.160724286  
1953  8 24.000000     7.5831265893      22.096951708  
1953  9  3.000000     7.6178860418      22.018356107  
1953  9 13.000000     7.6472203174      21.938275978  
1953  9 23.000000     7.6711459240      21.891418264  
1953 10  3.000000     7.6910280847      21.865149153  
1953 10 13.000000     7.7054883666      21.829259325  
1953 10 23.000000     7.7123448062      21.802345574  
1953 11  2.000000     7.7124977904      21.815496333  
1953 11 12.000000     7.7076889518      21.848160578  
1953 11 22.000000     7.6969464054      21.869989873  
1953 12  2.000000     7.6790654989      21.902984710  
1953 12 12.000000     7.6561172845      21.972752301  
1953 12 22.000000     7.6306937367      22.049797056  
1954  1  1.000000     7.6023738630      22.105473100  
1954  1 11.000000     7.5709441127      22.165587400  
1954  1 21.000000     7.5395559232      22.249748952  
1954  1 31.000000     7.5109407636      22.323700040  
1954  2 10.000000     7.4845656042      22.364829837  
1954  2 20.000000     7.4604559620      22.403853975  
1954  3  2.000000     7.4415477544      22.456273318  
1954  3 12.000000     7.4296611101      22.486725245  
1954  3 22.000000     7.4232605588      22.481035979  
1954  4  1.000000     7.4217881533      22.473976156  
1954  4 11.000000     7.4274533850      22.475604248  
1954  4 21.000000     7.4406931744      22.450953613  
1954  5  1.000000     7.4590464021      22.393758599  
1954  5 11.000000     7.4817120219      22.339850766  
1954  5 21.000000     7.5102155780      22.293466254  
1954  5 31.000000     7.5440911809      22.220321128  
1954  6 10.000000     7.5805683500      22.121330442  
1954  6 20.000000     7.6188932097      22.032522243  
1954  6 30.000000     7.6603632203      21.952113378  
1954  7 10.000000     7.7039543494      21.847501087  
1954  7 20.000000     7.7468649339      21.726846087  
1954  7 30.000000     7.7887461715      21.625408803  
1954  8  9.000000     7.8306793850      21.536192378  
1954  8 19.000000     7.8712711637      21.428735006  
1954  8 29.000000     7.9079669225      21.317665108  
1954  9  8.000000     7.9407431972      21.237405471  
1954  9 18.000000     7.9706390481      21.174970111  
1954  9 28.000000     7.9961094501      21.101751788  
1954 10  8.000000     8.0148931277      21.038320780  
1954 10 18.000000     8.0276154068      21.015876063  
1954 10 28.000000     8.0355026628      21.014235020  
1954 11  7.000000     8.0371274553      21.005894707  
1954 11 17.000000     8.0310698951      21.014801315  
1954 11 27.000000     8.0189057674      21.066604971  
1954 12  7.000000     8.0024921768      21.132311973  
1954 12 17.000000     7.9810630088      21.184807449  
1954 12 27.000000     7.9542471862      21.250860760  
1955  1  6.000000     7.9248675042      21.348589340  
1955  1 16.000000     7.8954063638      21.441915681  
1955  1 26.000000     7.8654102056      21.508067941  
1955  2  5.000000     7.8352791812      21.577256315  
1955  2 15.000000     7.8082284104      21.662189442  
1955  2 25.000000     7.7862732041      21.725043294  
1955  3  7.000000     7.7684476595      21.751258025  
1955  3 17.000000     7.7548031579      21.775593578  
1955  3 27.000000     7.7479128240      21.806196323  
1955  4  6.000000     7.7485567322      21.806207734  
1955  4 16.000000     7.7546779977      21.770386849  
1955  4 26.000000     7.7658864539      21.735144149  
1955  5  6.000000     7.7839341218      21.703240449  
1955  5 16.000000     7.8084045189      21.639683049  
1955  5 26.000000     7.8367603725      21.546646122  
1955  6  5.000000     7.8684789611      21.460534496  
1955  6 15.000000     7.9048020322      21.378348568  
1955  6 25.000000     7.9447119629      21.267140658  
1955  7  5.000000     7.9855335817      21.136333128  
1955  7 15.000000     8.0269838308      21.021173915  
1955  7 25.000000     8.0700796482      20.913218123  
1955  8  4.000000     8.1133288428      20.782614436  
1955  8 14.000000     8.1542826501      20.645110846  
1955  8 24.000000     8.1929681518      20.534554740  
1955  9  3.000000     8.2301677442      20.437494295  
1955  9 13.000000     8.2642249784      20.326545177  
1955  9 23.000000     8.2929493558      20.223665079  
1955 10  3.000000     8.3167561698      20.160009173  
1955 10 13.000000     8.3364855314      20.115755196  
1955 10 23.000000     8.3504276087      20.065854084  
1955 11  2.000000     8.3569854576      20.036343456  
1955 11 12.000000     8.3573380855      20.053035652  
1955 11 22.000000     8.3526347372      20.088363590  
1955 12  2.000000     8.3416904005      20.117817407  
1955 12 12.000000     8.3239165674      20.169535209  
1955 12 22.000000     8.3015758039      20.261583246  
1956  1  1.000000     8.2766082703      20.357543263  
1956  1 11.000000     8.2484414508      20.435413494  
1956  1 21.000000     8.2175281429      20.525196315  
1956  1 31.000000     8.1870687848      20.637255483  
1956  2 10.000000     8.1590808564      20.731473361  
1956  2 20.000000     8.1329957133      20.792659054  
1956  3  1.000000     8.1094737942      20.854550686  
1956  3 11.000000     8.0913892514      20.922857190  
1956  3 21.000000     8.0798711865      20.958441990  
1956  3 31.000000     8.0734441562      20.956012907  
1956  4 10.000000     8.0722045397      20.952239281  
1956  4 20.000000     8.0782061345      20.947890956  
1956  4 30.000000     8.0912374001      20.906977832  
1956  5 10.000000     8.1090677024      20.832664560  
1956  5 20.000000     8.1315053541      20.761620982  
1956  5 30.000000     8.1598188334      20.689578559  
1956  6  9.000000     8.1929997270      20.583229814  
1956  6 19.000000     8.2286066057      20.453030625  
1956  6 29.000000     8.2664366526      20.334353804  
1956  7  9.000000     8.3074352926      20.217489968  
1956  7 19.000000     8.3501014733      20.072689979  
1956  7 29.000000     8.3920842488      19.916933498  
1956  8  8.000000     8.4334797627      19.783370287  
1956  8 18.000000     8.4749038531      19.657851582  
1956  8 28.000000     8.5146086576      19.513996453  
1956  9  7.000000     8.5505495895      19.374570013  
1956  9 17.000000     8.5830340095      19.270480285  
1956  9 27.000000     8.6125758203      19.182075088  
1956 10  7.000000     8.6373535288      19.086156662  
1956 10 17.000000     8.6556936142      19.010385711  
1956 10 27.000000     8.6684499162      18.980851353  
1956 11  6.000000     8.6762392228      18.971326632  
1956 11 16.000000     8.6774928184      18.960405627  
1956 11 26.000000     8.6714215456      18.977855112  
1956 12  6.000000     8.6597041545      19.042432027  
1956 12 16.000000     8.6435710901      19.119202484  
1956 12 26.000000     8.6221932672      19.187821501  
1957  1  5.000000     8.5958475141      19.279082510  
1957  1 15.000000     8.5673554913      19.402207341  
1957  1 25.000000     8.5384987685      19.515957042  
1957  2  4.000000     8.5088590957      19.604773258  
1957  2 14.000000     8.4794720674      19.701206925  
1957  2 24.000000     8.4533960384      19.808233601  
1957  3  6.000000     8.4319684136      19.884345214  
1957  3 16.000000     8.4143498593      19.923282465  
1957  3 26.000000     8.4011969384      19.961030661  
1957  4  5.000000     8.3948609451      19.996130765  
1957  4 15.000000     8.3954840321      19.990718967  
1957  4 25.000000     8.4012780398      19.948587874  
1957  5  5.000000     8.4124456362      19.906280918  
1957  5 15.000000     8.4304127042      19.858023010  
1957  5 25.000000     8.4542443458      19.769989660  
1957  6  4.000000     8.4817943871      19.653457610  
1957  6 14.000000     8.5130417158      19.543871621  
1957  6 24.000000     8.5488450885      19.430427174  
1957  7  4.000000     8.5877565882      19.283204531  
1957  7 14.000000     8.6275764783      19.120191944  
1957  7 24.000000     8.6684399176      18.974212806  
1957  8  3.000000     8.7108733169      18.830016197  
1957  8 13.000000     8.7530712671      18.662045691  
1957  8 23.000000     8.7931357904      18.493721416  
1957  9  2.000000     8.8313641270      18.355306653  
1957  9 12.000000     8.8680013516      18.227235368  
1957  9 22.000000     8.9011877129      18.087547175  
1957 10  2.000000     8.9293105556      17.964951614  
1957 10 12.000000     8.9529598870      17.885600314  
1957 10 22.000000     8.9723742121      17.824373646  
1957 11  1.000000     8.9857528862      17.762465947  
1957 11 11.000000     8.9921348763      17.731347878  
1957 11 21.000000     8.9927311666      17.750507855  
1957 12  1.000000     8.9880737256      17.787418933  
1957 12 11.000000     8.9770104064      17.824360105  
1957 12 21.000000     8.9595734402      17.893395050  
1957 12 31.000000     8.9379612081      18.004369583  
1958  1 10.000000     8.9134660655      18.116464210  
1958  1 20.000000     8.8856152826      18.214872464  
1958  1 30.000000     8.8554851038      18.331516965  
1958  2  9.000000     8.8260570846      18.467377780  
1958  2 19.000000     8.7986850511      18.579043232  
1958  3  1.000000     8.7730067094      18.659002794  
1958  3 11.000000     8.7502350349      18.741635278  
1958  3 21.000000     8.7329389978      18.823005653  
1958  3 31.000000     8.7216449436      18.862846471  
1958  4 10.000000     8.7151759701      18.864384814  
1958  4 20.000000     8.7141744870      18.863755198  
1958  4 30.000000     8.7203146124      18.853067376  
1958  5 10.000000     8.7328797565      18.797577487  
1958  5 20.000000     8.7500827929      18.709075565  
1958  5 30.000000     8.7721903670      18.622815977  
1958  6  9.000000     8.8000358481      18.526913140  
1958  6 19.000000     8.8322417426      18.391117165  
1958  6 29.000000     8.8668651920      18.234150886  
1958  7  9.000000     8.9040764343      18.088710072  
1958  7 19.000000     8.9443236722      17.938522400  
1958  7 29.000000     8.9858321344      17.758301001  
1958  8  8.000000     9.0268259681      17.572267779  
1958  8 18.000000     9.0676327547      17.409885453  
1958  8 28.000000     9.1083103380      17.251357687  
1958  9  7.000000     9.1469785756      17.075709680  
1958  9 17.000000     9.1821716104      16.912033001  
1958  9 27.000000     9.2143039896      16.786403732  
1958 10  7.000000     9.2433143416      16.674357293  
1958 10 17.000000     9.2673400568      16.559001599  
1958 10 27.000000     9.2853228416      16.473047173  
1958 11  6.000000     9.2981020616      16.436655135  
1958 11 16.000000     9.3056862284      16.419499384  
1958 11 26.000000     9.3066113588      16.406894848  
1958 12  6.000000     9.3006901012      16.432349526  
1958 12 16.000000     9.2894637468      16.507209441  
1958 12 26.000000     9.2735768170      16.592897960  
1959  1  5.000000     9.2523738007      16.676213999  
1959  1 15.000000     9.2267144976      16.789771662  
1959  1 25.000000     9.1991696245      16.933982700  
1959  2  4.000000     9.1708971548      17.064883086  
1959  2 14.000000     9.1417481477      17.174190435  
1959  2 24.000000     9.1132795276      17.294641715  
1959  3  6.000000     9.0881608238      17.419868683  
1959  3 16.000000     9.0671721190      17.507186735  
1959  3 26.000000     9.0498135377      17.558228314  
1959  4  5.000000     9.0372118894      17.607921309  
