v15.04    Планета: Уран  (INPOP13C)
          Спутник: U1 Ариэль  (Lainey V., 2015..)
                            - эфемериды на инт. 1847/01/00.5-2145/01/02.0
   Обсерватория N:  84 - Pulkovo
    Шкала времени: UTC
Средний экватор и равноденствие эпохи J2000.  ICRF. 
Координаты астрометрические 
Год  Месяц День       alpha (h)          delta (º)
1952  2  1.000000     6.8321898607      23.336442297  
1952  2 11.000000     6.8085490195      23.364361920  
1952  2 21.000000     6.7896879386      23.385581217  
1952  3  2.000000     6.7764153131      23.399683898  
1952  3 12.000000     6.7692986310      23.406394222  
1952  3 22.000000     6.7685958903      23.405741415  
1952  4  1.000000     6.7744075218      23.397721734  
1952  4 11.000000     6.7865868786      23.382394450  
1952  4 21.000000     6.8047904353      23.359956719  
1952  5  1.000000     6.8285994371      23.330481849  
1952  5 11.000000     6.8574144824      23.294207660  
1952  5 21.000000     6.8905739699      23.251466247  
1952  5 31.000000     6.9273935608      23.202566610  
1952  6 10.000000     6.9670757137      23.148120470  
1952  6 20.000000     7.0088507683      23.088817289  
1952  6 30.000000     7.0519296939      23.025472869  
1952  7 10.000000     7.0954651524      22.959264078  
1952  7 20.000000     7.1386790429      22.891385006  
1952  7 30.000000     7.1807554557      22.823281028  
1952  8  9.000000     7.2208744307      22.756653781  
1952  8 19.000000     7.2582974735      22.693132019  
1952  8 29.000000     7.2922461816      22.634589401  
1952  9  8.000000     7.3220067327      22.582886643  
1952  9 18.000000     7.3469572250      22.539667831  
1952  9 28.000000     7.3664818943      22.506628592  
1952 10  8.000000     7.3801249654      22.485043547  
1952 10 18.000000     7.3875542313      22.475782656  
1952 10 28.000000     7.3885500438      22.479412859  
1952 11  7.000000     7.3831592331      22.495702088  
1952 11 17.000000     7.3715988252      22.523921280  
1952 11 27.000000     7.3543161441      22.562786591  
1952 12  7.000000     7.3320676575      22.610230161  
1952 12 17.000000     7.3057683323      22.663950575  
1952 12 27.000000     7.2765751761      22.721276777  
1953  1  6.000000     7.2458255902      22.779318321  
1953  1 16.000000     7.2148725214      22.835513009  
1953  1 26.000000     7.1851521267      22.887363959  
1953  2  5.000000     7.1580101032      22.932796045  
1953  2 15.000000     7.1346167199      22.970324193  
1953  2 25.000000     7.1160268768      22.998692993  
1953  3  7.000000     7.1030008543      23.017213239  
1953  3 17.000000     7.0960607341      23.025546711  
1953  3 27.000000     7.0955360556      23.023449784  
1953  4  6.000000     7.1014488098      23.011086944  
1953  4 16.000000     7.1136672485      22.988646624  
1953  4 26.000000     7.1318961255      22.956369742  
1953  5  6.000000     7.1556388827      22.914781048  
1953  5 16.000000     7.1843592553      22.864310366  
1953  5 26.000000     7.2174040925      22.805564634  
1953  6  5.000000     7.2540356923      22.739379361  
1953  6 15.000000     7.2935412283      22.666535021  
1953  6 25.000000     7.3351169511      22.588151947  
1953  7  5.000000     7.3779594483      22.505509276  
1953  7 15.000000     7.4212981527      22.419921942  
1953  7 25.000000     7.4642904807      22.333122971  
1953  8  4.000000     7.5061482767      22.246865945  
1953  8 14.000000     7.5460970689      22.163022787  
1953  8 24.000000     7.5833252662      22.083777077  
1953  9  3.000000     7.6171164194      22.011135648  
1953  9 13.000000     7.6467574763      21.947208601  
1953  9 23.000000     7.6715702347      21.894095501  
1953 10  3.000000     7.6910184473      21.853445796  
1953 10 13.000000     7.7046019801      21.826834815  
1953 10 23.000000     7.7119722883      21.815319197  
1953 11  2.000000     7.7129823215      21.819248547  
1953 11 12.000000     7.7076043644      21.838597747  
1953 11 22.000000     7.6960885042      21.872414617  
1953 12  2.000000     7.6789204860      21.919038980  
1953 12 12.000000     7.6567769242      21.976340224  
1953 12 22.000000     7.6306440335      22.041364351  
1954  1  1.000000     7.6016608065      22.110971696  
1954  1 11.000000     7.5711073657      22.181897029  
1954  1 21.000000     7.5404142614      22.250713527  
1954  1 31.000000     7.5109441290      22.314541981  
1954  2 10.000000     7.4840292025      22.370784821  
1954  2 20.000000     7.4608924666      22.417263074  
1954  3  2.000000     7.4424915398      22.452584349  
1954  3 12.000000     7.4296250567      22.475627084  
1954  3 22.000000     7.4228265941      22.485783727  
1954  4  1.000000     7.4223474819      22.482946136  
1954  4 11.000000     7.4282853023      22.467045014  
1954  4 21.000000     7.4404775990      22.438440719  
1954  5  1.000000     7.4585977186      22.397642576  
1954  5 11.000000     7.4822310941      22.345142716  
1954  5 21.000000     7.5107808986      22.281820025  
1954  5 31.000000     7.5436137615      22.208533648  
1954  6 10.000000     7.5800497539      22.126256853  
1954  6 20.000000     7.6193055089      22.036331736  
1954  6 30.000000     7.6606369407      21.940033053  
1954  7 10.000000     7.7032551987      21.838939787  
1954  7 20.000000     7.7463327398      21.734909176  
1954  7 30.000000     7.7891057295      21.629739678  
1954  8  9.000000     7.8307551361      21.525638221  
1954  8 19.000000     7.8704809383      21.424898797  
1954  8 29.000000     7.9075458628      21.329754883  
1954  9  8.000000     7.9411685074      21.242769125  
1954  9 18.000000     7.9706521731      21.166277038  
1954  9 28.000000     7.9953664763      21.102473590  
1954 10  8.000000     8.0146991105      21.053545678  
1954 10 18.000000     8.0282068597      21.021029740  
1954 10 28.000000     8.0355468090      21.006130352  
1954 11  7.000000     8.0365122764      21.009500631  
1954 11 17.000000     8.0311572273      21.030795642  
1954 11 27.000000     8.0196905378      21.069159350  
1954 12  7.000000     8.0025780689      21.122795881  
1954 12 17.000000     7.9805723584      21.189006633  
1954 12 27.000000     7.9545804635      21.264762370  
1955  1  6.000000     7.9257684495      21.346300261  
1955  1 16.000000     7.8954502490      21.429704130  
1955  1 26.000000     7.8649651702      21.511280827  
1955  2  5.000000     7.8357373920      21.587285566  
1955  2 15.000000     7.8090745665      21.654644687  
1955  2 25.000000     7.7861334995      21.710853127  
1955  3  7.000000     7.7679448690      21.753792272  
1955  3 17.000000     7.7552378874      21.782231568  
1955  3 27.000000     7.7485343372      21.795316722  
1955  4  6.000000     7.7481437558      21.792598901  
1955  4 16.000000     7.7540811948      21.774254427  
1955  4 26.000000     7.7662284492      21.740506580  
1955  5  6.000000     7.7842820100      21.691941370  
1955  5 16.000000     7.8077604449      21.629462740  
1955  5 26.000000     7.8361450719      21.553907194  
1955  6  5.000000     7.8687826825      21.466523897  
1955  6 15.000000     7.9049616205      21.368682981  
1955  6 25.000000     7.9439804182      21.261770776  
1955  7  5.000000     7.9850399431      21.147650791  
1955  7 15.000000     8.0273628724      21.028171470  
1955  7 25.000000     8.0701806792      20.905360094  
1955  8  4.000000     8.1126583654      20.781666545  
1955  8 14.000000     8.1540270212      20.659429268  
1955  8 24.000000     8.1935063456      20.541267644  
1955  9  3.000000     8.2302959068      20.430003120  
1955  9 13.000000     8.2636889693      20.328224237  
1955  9 23.000000     8.2929642850      20.238737761  
1955 10  3.000000     8.3174596877      20.164122093  
1955 10 13.000000     8.3366400428      20.106524064  
1955 10 23.000000     8.3500022320      20.067988689  
1955 11  2.000000     8.3572173858      20.049764242  
1955 11 12.000000     8.3581347716      20.052417304  
1955 11 22.000000     8.3527332529      20.075932767  
1955 12  2.000000     8.3412807022      20.119073948  
1955 12 12.000000     8.3242542599      20.179882938  
1955 12 22.000000     8.3023416902      20.255588538  
1956  1  1.000000     8.2765307399      20.342396993  
1956  1 11.000000     8.2479410953      20.436305764  
1956  1 21.000000     8.2178544134      20.532869049  
1956  1 31.000000     8.1876765428      20.627519902  
1956  2 10.000000     8.1587399215      20.716257998  
1956  2 20.000000     8.1323652057      20.795257373  
1956  3  1.000000     8.1097346759      20.861393177  
1956  3 11.000000     8.0917814944      20.912398922  
1956  3 21.000000     8.0792908796      20.946398713  
1956  3 31.000000     8.0727636075      20.962409318  
1956  4 10.000000     8.0724484827      20.959982046  
1956  4 20.000000     8.0784371769      20.938960751  
1956  4 30.000000     8.0905557359      20.899882327  
1956  5 10.000000     8.1084951169      20.843414396  
1956  5 20.000000     8.1318407104      20.770467320  
1956  5 30.000000     8.1600030430      20.682435137  
1956  6  9.000000     8.1923737841      20.580648969  
1956  6 19.000000     8.2282741860      20.466773723  
1956  6 29.000000     8.2669402039      20.342790207  
1956  7  9.000000     8.3076483654      20.210609942  
1956  7 19.000000     8.3496111408      20.072595748  
1956  7 29.000000     8.3920248771      19.931248376  
1956  8  8.000000     8.4341365993      19.789084275  
1956  8 18.000000     8.4751290660      19.649079891  
1956  8 28.000000     8.5142263698      19.514135258  
1956  9  7.000000     8.5506922273      19.387218161  
1956  9 17.000000     8.5837505774      19.271557782  
1956  9 27.000000     8.6127254449      19.170010887  
1956 10  7.000000     8.6369820323      19.085416811  
1956 10 17.000000     8.6559201734      19.020397114  
1956 10 27.000000     8.6691122823      18.976832846  
1956 11  6.000000     8.6762118571      18.956279631  
1956 11 16.000000     8.6770327480      18.959428296  
1956 11 26.000000     8.6716367576      18.985901610  
1956 12  6.000000     8.6602323485      19.034657893  
1956 12 16.000000     8.6433056831      19.103369232  
1956 12 26.000000     8.6216006752      19.188767366  
1957  1  5.000000     8.5960195151      19.286986223  
1957  1 15.000000     8.5677291077      19.393210725  
1957  1 25.000000     8.5380102928      19.502506281  
1957  2  4.000000     8.5081846184      19.609943545  
1957  2 14.000000     8.4796490375      19.710586852  
1957  2 24.000000     8.4536629791      19.800323062  
1957  3  6.000000     8.4313617980      19.875550501  
1957  3 16.000000     8.4137372234      19.933352712  
1957  3 26.000000     8.4014828424      19.971892897  
1957  4  5.000000     8.3951124623      19.989789458  
1957  4 15.000000     8.3949084382      19.986450135  
1957  4 25.000000     8.4008794996      19.962003470  
1957  5  5.000000     8.4129164457      19.916773996  
1957  5 15.000000     8.4307071509      19.851733542  
1957  5 25.000000     8.4537896197      19.768154877  
1957  6  4.000000     8.4816610134      19.667405344  
1957  6 14.000000     8.5136742359      19.551388967  
1957  6 24.000000     8.5491497394      19.422044980  
1957  7  4.000000     8.5873989643      19.281498333  
1957  7 14.000000     8.6276378930      19.132314619  
1957  7 24.000000     8.6691212087      18.976985090  
1957  8  3.000000     8.7110865632      18.818318776  
1957  8 13.000000     8.7527187435      18.659420814  
1957  8 23.000000     8.7932726275      18.503275232  
1957  9  2.000000     8.8319686917      18.353231664  
1957  9 12.000000     8.8680285884      18.212663141  
1957  9 22.000000     8.9007574053      18.084755939  
1957 10  2.000000     8.9294341649      17.972899189  
1957 10 12.000000     8.9534194187      17.880060679  
1957 10 22.000000     8.9721802084      17.808839668  
1957 11  1.000000     8.9852186461      17.761577913  
1957 11 11.000000     8.9922284060      17.739636519  
1957 11 21.000000     8.9930546422      17.743698476  
1957 12  1.000000     8.9876882179      17.773578801  
1957 12 11.000000     8.9764112737      17.827723877  
1957 12 21.000000     8.9596888654      17.903771665  
1957 12 31.000000     8.9382171320      17.998210243  
1958  1 10.000000     8.9129735556      18.106468882  
1958  1 20.000000     8.8850496037      18.223618891  
