v15.04    Планета: Уран  (INPOP13C)
          Спутник: U2 Умбриэль  (Lainey V., 2015..)
                            - эфемериды на инт. 1847/01/00.5-2145/02/13.7
   Обсерватория N:  84 - Pulkovo
    Шкала времени: UTC
Средний экватор и равноденствие эпохи J2000.  ICRF. 
Координаты астрометрические 
Год  Месяц День       alpha (h)          delta (º)
1952  2  1.000000     6.8320846738      23.336786885  
1952  2 11.000000     6.8091356736      23.360430593  
1952  2 21.000000     6.7897709202      23.389110097  
1952  3  2.000000     6.7766158836      23.391945439  
1952  3 12.000000     6.7697040731      23.407852704  
1952  3 22.000000     6.7684093524      23.400557605  
1952  4  1.000000     6.7748657140      23.393083832  
1952  4 11.000000     6.7863622663      23.382239243  
1952  4 21.000000     6.8049019795      23.351091857  
1952  5  1.000000     6.8286223222      23.331917540  
1952  5 11.000000     6.8570695138      23.287337492  
1952  5 21.000000     6.8907593854      23.249634710  
1952  5 31.000000     6.9268879678      23.202059773  
1952  6 10.000000     6.9670883504      23.142456899  
1952  6 20.000000     7.0085693946      23.092980894  
1952  6 30.000000     7.0515716093      23.020633309  
1952  7 10.000000     7.0954956819      22.962684272  
1952  7 20.000000     7.1381307013      22.892491452  
1952  7 30.000000     7.1808452651      22.822774570  
1952  8  9.000000     7.2205290607      22.763757961  
1952  8 19.000000     7.2581629284      22.691036641  
1952  8 29.000000     7.2923153649      22.642424917  
1952  9  8.000000     7.3216651808      22.584372649  
1952  9 18.000000     7.3472773342      22.542938990  
1952  9 28.000000     7.3662548427      22.513667686  
1952 10  8.000000     7.3803476313      22.483578289  
1952 10 18.000000     7.3877305892      22.484350664  
1952 10 28.000000     7.3885102820      22.477971953  
1952 11  7.000000     7.3836816260      22.499475857  
1952 11 17.000000     7.3714907218      22.526641390  
1952 11 27.000000     7.3548185420      22.559447243  
1952 12  7.000000     7.3322215095      22.615539841  
1952 12 17.000000     7.3059297214      22.657505169  
1952 12 27.000000     7.2770656775      22.723291773  
1953  1  6.000000     7.2456889662      22.775798188  
1953  1 16.000000     7.2153941324      22.830432427  
1953  1 26.000000     7.1850557229      22.888305632  
1953  2  5.000000     7.1581631032      22.923303278  
1953  2 15.000000     7.1347906335      22.971444047  
1953  2 25.000000     7.1157293315      22.991547070  
1953  3  7.000000     7.1032921277      23.013723693  
1953  3 17.000000     7.0956312749      23.024732294  
1953  3 27.000000     7.0955749676      23.015785471  
1953  4  6.000000     7.1012510209      23.014139756  
1953  4 16.000000     7.1132812498      22.982452657  
1953  4 26.000000     7.1319610013      22.957791377  
1953  5  6.000000     7.1550637854      22.915180721  
1953  5 16.000000     7.1843980718      22.861822134  
1953  5 26.000000     7.2170493081      22.811822123  
1953  6  5.000000     7.2537957215      22.736342820  
1953  6 15.000000     7.2935756358      22.673045990  
1953  6 25.000000     7.3346859535      22.589775594  
1953  7  5.000000     7.3781790119      22.507688504  
1953  7 15.000000     7.4210282957      22.427299862  
1953  7 25.000000     7.4643731365      22.331800450  
1953  8  4.000000     7.5062857683      22.255360805  
1953  8 14.000000     7.5459579368      22.163069643  
1953  8 24.000000     7.5837582895      22.087508152  
1953  9  3.000000     7.6169938740      22.015679204  
1953  9 13.000000     7.6471371216      21.944766467  
1953  9 23.000000     7.6717496716      21.900562278  
1953 10  3.000000     7.6911086193      21.849040971  
1953 10 13.000000     7.7050876845      21.829294465  
1953 10 23.000000     7.7118758134      21.814119715  
1953 11  2.000000     7.7134640793      21.814522643  
1953 11 12.000000     7.7076268920      21.840950351  
1953 11 22.000000     7.6962308777      21.863633987  
1953 12  2.000000     7.6792100639      21.920078427  
1953 12 12.000000     7.6565496666      21.970053923  
1953 12 22.000000     7.6310008316      22.036611914  
1954  1  1.000000     7.6013638806      22.110451116  
1954  1 11.000000     7.5711683280      22.172662509  
1954  1 21.000000     7.5403460070      22.252838266  
1954  1 31.000000     7.5105678929      22.307254132  
1954  2 10.000000     7.4841591114      22.370090995  
1954  2 20.000000     7.4603382159      22.417024089  
1954  3  2.000000     7.4425056949      22.447730543  
1954  3 12.000000     7.4292929803      22.481026434  
1954  3 22.000000     7.4224979792      22.481279835  
1954  4  1.000000     7.4223682600      22.488029592  
1954  4 11.000000     7.4277606755      22.468417270  
1954  4 21.000000     7.4406165577      22.439209602  
1954  5  1.000000     7.4582678629      22.405248760  
1954  5 11.000000     7.4821845779      22.343448555  
1954  5 21.000000     7.5108728575      22.290273600  
1954  5 31.000000     7.5433621259      22.209545540  
1954  6 10.000000     7.5804094348      22.129900357  
1954  6 20.000000     7.6191352490      22.042359530  
1954  6 30.000000     7.6609160199      21.938332549  
1954  7 10.000000     7.7034315846      21.846445795  
1954  7 20.000000     7.7463541947      21.732415083  
1954  7 30.000000     7.7895745900      21.632769075  
1954  8  9.000000     7.8306754281      21.526677149  
1954  8 19.000000     7.8709154536      21.421069091  
1954  8 29.000000     7.9076466521      21.333469462  
1954  9  8.000000     7.9412905116      21.235661789  
1954  9 18.000000     7.9710039329      21.167514719  
1954  9 28.000000     7.9952106133      21.097986729  
1954 10  8.000000     8.0150657000      21.048502426  
1954 10 18.000000     8.0280562502      21.021267546  
1954 10 28.000000     8.0356121385      20.996802273  
1954 11  7.000000     8.0365759644      21.010805354  
1954 11 17.000000     8.0308453170      21.023587757  
1954 11 27.000000     8.0198725038      21.066532170  
1954 12  7.000000     8.0021423843      21.122239288  
1954 12 17.000000     7.9805704561      21.182086710  
1954 12 27.000000     7.9543490189      21.268969633  
1955  1  6.000000     7.9254054455      21.340451727  
1955  1 16.000000     7.8954908582      21.432802942  
1955  1 26.000000     7.8644190109      21.512214801  
1955  2  5.000000     7.8358053194      21.586042669  
1955  2 15.000000     7.8087294730      21.662158475  
1955  2 25.000000     7.7859624639      21.708199190  
1955  3  7.000000     7.7680003417      21.761910064  
1955  3 17.000000     7.7548681735      21.783804868  
1955  3 27.000000     7.7488153812      21.798548787  
1955  4  6.000000     7.7479066396      21.800057337  
1955  4 16.000000     7.7542515259      21.772889722  
1955  4 26.000000     7.7663849359      21.749248153  
1955  5  6.000000     7.7842156181      21.691009511  
1955  5 16.000000     7.8082155105      21.633235469  
1955  5 26.000000     7.8360484469      21.557109856  
1955  6  5.000000     7.8691872436      21.463597473  
1955  6 15.000000     7.9051111989      21.374012928  
1955  6 25.000000     7.9440874073      21.256313442  
1955  7  5.000000     7.9854504421      21.149522971  
1955  7 15.000000     8.0272562262      21.025604719  
1955  7 25.000000     8.0705742325      20.900594902  
1955  8  4.000000     8.1126177937      20.782919990  
1955  8 14.000000     8.1541116700      20.650769776  
1955  8 24.000000     8.1936736994      20.542150421  
1955  9  3.000000     8.2300558512      20.423641716  
1955  9 13.000000     8.2639115673      20.324387636  
1955  9 23.000000     8.2926612011      20.238182158  
1955 10  3.000000     8.3174569059      20.156185584  
1955 10 13.000000     8.3365280323      20.109294289  
1955 10 23.000000     8.3496677896      20.061588197  
1955 11  2.000000     8.3572870335      20.050516082  
1955 11 12.000000     8.3576692653      20.052768952  
1955 11 22.000000     8.3527427268      20.072550683  
1955 12  2.000000     8.3410061064      20.125508235  
1955 12 12.000000     8.3240054385      20.176149928  
1955 12 22.000000     8.3023853021      20.262242078  
1956  1  1.000000     8.2761152073      20.344106352  
1956  1 11.000000     8.2481222550      20.438313307  
1956  1 21.000000     8.2175968782      20.541155137  
1956  1 31.000000     8.1877125578      20.625986925  
1956  2 10.000000     8.1588689880      20.725790035  
1956  2 20.000000     8.1321946743      20.795642010  
1956  3  1.000000     8.1101382076      20.865687304  
1956  3 11.000000     8.0916490626      20.917855524  
1956  3 21.000000     8.0796312472      20.944232674  
1956  3 31.000000     8.0729401662      20.969740740  
1956  4 10.000000     8.0725156685      20.956085023  
1956  4 20.000000     8.0788974797      20.941871284  
1956  4 30.000000     8.0904728084      20.899371368  
1956  5 10.000000     8.1089248447      20.839102579  
1956  5 20.000000     8.1318881195      20.773186629  
1956  5 30.000000     8.1601155732      20.674457416  
1956  6  9.000000     8.1926446321      20.581691819  
1956  6 19.000000     8.2280920447      20.461358012  
1956  6 29.000000     8.2672289031      20.338227227  
1956  7  9.000000     8.3074458413      20.210339845  
1956  7 19.000000     8.3496348818      20.064024224  
1956  7 29.000000     8.3920106115      19.932938260  
1956  8  8.000000     8.4338375532      19.782456256  
1956  8 18.000000     8.4752343252      19.647840754  
1956  8 28.000000     8.5138361536      19.513934955  
1956  9  7.000000     8.5506735987      19.382098758  
1956  9 17.000000     8.5835487691      19.276384327  
1956  9 27.000000     8.6124482682      19.165415139  
1956 10  7.000000     8.6370222345      19.089773401  
1956 10 17.000000     8.6555250750      19.021716485  
1956 10 27.000000     8.6692001771      18.977014420  
1956 11  6.000000     8.6759891142      18.964014423  
1956 11 16.000000     8.6769542008      18.957424602  
1956 11 26.000000     8.6717388163      18.994706990  
1956 12  6.000000     8.6600001027      19.035940238  
1956 12 16.000000     8.6436007804      19.107298670  
1956 12 26.000000     8.6214618168      19.195835226  
1957  1  5.000000     8.5962300415      19.285387971  
1957  1 15.000000     8.5679073431      19.402076630  
1957  1 25.000000     8.5380012224      19.500333441  
1957  2  4.000000     8.5086266433      19.613859916  
1957  2 14.000000     8.4795741869      19.712492716  
1957  2 24.000000     8.4540666004      19.796690381  
1957  3  6.000000     8.4314812579      19.880278415  
1957  3 16.000000     8.4138480133      19.926293125  
1957  3 26.000000     8.4018440505      19.973652738  
1957  4  5.000000     8.3949790253      19.985595195  
1957  4 15.000000     8.3952656086      19.981450185  
1957  4 25.000000     8.4007733423      19.962480856  
1957  5  5.000000     8.4129780345      19.907551781  
1957  5 15.000000     8.4307971387      19.852886431  
1957  5 25.000000     8.4535249455      19.761237375  
1957  6  4.000000     8.4818271136      19.664518532  
1957  6 14.000000     8.5133385178      19.550753643  
1957  6 24.000000     8.5491330804      19.415215997  
1957  7  4.000000     8.5872507997      19.284953481  
1957  7 14.000000     8.6273400245      19.126720364  
1957  7 24.000000     8.6691662342      18.979158730  
1957  8  3.000000     8.7106925568      18.819014899  
1957  8 13.000000     8.7527466969      18.657697154  
1957  8 23.000000     8.7930639249      18.509906885  
1957  9  2.000000     8.8318121323      18.350519877  
1957  9 12.000000     8.8681006098      18.219847448  
1957  9 22.000000     8.9004899229      18.086307768  
1957 10  2.000000     8.9296263614      17.975687433  
1957 10 12.000000     8.9532851373      17.887508795  
1957 10 22.000000     8.9722647741      17.807522546  
1957 11  1.000000     8.9853749678      17.770587213  
1957 11 11.000000     8.9921527449      17.739122754  
1957 11 21.000000     8.9934071533      17.747942585  
1957 12  1.000000     8.9876272152      17.777643318  
1957 12 11.000000     8.9767026697      17.825103033  
1957 12 21.000000     8.9598469852      17.910268101  
1957 12 31.000000     8.9382763414      17.992887130  
1958  1 10.000000     8.9133468105      18.109166300  
1958  1 20.000000     8.8849592775      18.221417495  
