v15.04    Планета: Уран  (INPOP13C)
          Спутник: U3 Титани  (Lainey V., 2015..)
                            - эфемериды на инт. 1847/01/00.5-2145/12/03.2
   Обсерватория N:  84 - Pulkovo
    Шкала времени: UTC
Средний экватор и равноденствие эпохи J2000.  ICRF. 
Координаты астрометрические 
Год  Месяц День       alpha (h)          delta (º)
1952  2  1.000000     6.8318856141      23.340251630  
1952  2 11.000000     6.8082954796      23.359037843  
1952  2 21.000000     6.7898942112      23.374949196  
1952  3  2.000000     6.7771021843      23.391184395  
1952  3 12.000000     6.7700785676      23.405098424  
1952  3 22.000000     6.7689861962      23.410397571  
1952  4  1.000000     6.7742146735      23.401970017  
1952  4 11.000000     6.7860535389      23.380075254  
1952  4 21.000000     6.8043878374      23.350155518  
1952  5  1.000000     6.8286434161      23.318299290  
1952  5 11.000000     6.8578181454      23.286664871  
1952  5 21.000000     6.8909307576      23.252005246  
1952  5 31.000000     6.9273103452      23.208490630  
1952  6 10.000000     6.9664889771      23.152878674  
1952  6 20.000000     7.0080795262      23.087321666  
1952  6 30.000000     7.0514209340      23.018220566  
1952  7 10.000000     7.0954427196      22.951944583  
1952  7 20.000000     7.1389773533      22.890311951  
1952  7 30.000000     7.1809641344      22.830331548  
1952  8  9.000000     7.2206733778      22.767713900  
1952  8 19.000000     7.2577151317      22.701272208  
1952  8 29.000000     7.2916460575      22.635527237  
1952  9  8.000000     7.3217995767      22.578449212  
1952  9 18.000000     7.3472712911      22.536271031  
1952  9 28.000000     7.3670627650      22.509977713  
1952 10  8.000000     7.3805373778      22.495453034  
1952 10 18.000000     7.3875265181      22.487629229  
1952 10 28.000000     7.3881992256      22.485469462  
1952 11  7.000000     7.3829011908      22.492986982  
1952 11 17.000000     7.3718048802      22.516148064  
1952 11 27.000000     7.3550051623      22.557297191  
1952 12  7.000000     7.3328744165      22.612014434  
1952 12 17.000000     7.3062279250      22.671464392  
1952 12 27.000000     7.2764974774      22.727617928  
1953  1  6.000000     7.2454509099      22.777919395  
1953  1 16.000000     7.2146701592      22.825571503  
1953  1 26.000000     7.1854283231      22.874628125  
1953  2  5.000000     7.1586467116      22.924886413  
1953  2 15.000000     7.1351661442      22.970609523  
1953  2 25.000000     7.1160764438      23.003761113  
1953  3  7.000000     7.1025054093      23.019850826  
1953  3 17.000000     7.0953800176      23.020736018  
1953  3 27.000000     7.0951371768      23.012551311  
1953  4  6.000000     7.1015288519      23.000693458  
1953  4 16.000000     7.1140080778      22.985255987  
1953  4 26.000000     7.1320572876      22.961303025  
1953  5  6.000000     7.1553198748      22.923268189  
1953  5 16.000000     7.1836435354      22.869396601  
1953  5 26.000000     7.2166936141      22.803698625  
1953  6  5.000000     7.2537291926      22.733197133  
1953  6 15.000000     7.2937232195      22.662597755  
1953  6 25.000000     7.3355064035      22.591590876  
1953  7  5.000000     7.3781449192      22.515918053  
1953  7 15.000000     7.4210673994      22.431560123  
1953  7 25.000000     7.4638000934      22.339375620  
1953  8  4.000000     7.5057963839      22.245485975  
1953  8 14.000000     7.5461997048      22.157846307  
1953  8 24.000000     7.5838670756      22.081517854  
1953  9  3.000000     7.6177607790      22.015936502  
1953  9 13.000000     7.6471103270      21.957158088  
1953  9 23.000000     7.6714911383      21.902574812  
1953 10  3.000000     7.6907302660      21.854396640  
1953 10 13.000000     7.7045079708      21.819625837  
1953 10 23.000000     7.7123265087      21.805403597  
1953 11  2.000000     7.7136722499      21.813786141  
1953 11 12.000000     7.7082303800      21.840639250  
1953 11 22.000000     7.6962778156      21.878399507  
1953 12  2.000000     7.6786237149      21.921659581  
1953 12 12.000000     7.6563171555      21.970545566  
1953 12 22.000000     7.6304532570      22.028748812  
1954  1  1.000000     7.6019189635      22.098627846  
1954  1 11.000000     7.5715892535      22.176705956  
1954  1 21.000000     7.5406717929      22.253905332  
1954  1 31.000000     7.5106717667      22.320778396  
1954  2 10.000000     7.4833238653      22.372636166  
1954  2 20.000000     7.4601809499      22.411428715  
1954  3  2.000000     7.4421826521      22.442618012  
1954  3 12.000000     7.4297835142      22.468949384  
1954  3 22.000000     7.4231333374      22.487660293  
1954  4  1.000000     7.4223725063      22.492303763  
1954  4 11.000000     7.4278435002      22.477409320  
1954  4 21.000000     7.4397810980      22.443150833  
1954  5  1.000000     7.4580829107      22.395140965  
1954  5 11.000000     7.4822060540      22.340034358  
1954  5 21.000000     7.5111887468      22.280933818  
1954  5 31.000000     7.5440903015      22.215351991  
1954  6 10.000000     7.5802198241      22.138081297  
1954  6 20.000000     7.6190800058      22.046363139  
1954  6 30.000000     7.6602748887      21.942742818  
1954  7 10.000000     7.7031465951      21.834362435  
1954  7 20.000000     7.7466818159      21.728539884  
1954  7 30.000000     7.7897671602      21.628019000  
1954  8  9.000000     7.8313503332      21.530730883  
1954  8 19.000000     7.8706949451      21.432925728  
1954  8 29.000000     7.9073664479      21.333843031  
1954  9  8.000000     7.9408923884      21.238549499  
1954  9 18.000000     7.9706403253      21.155560808  
1954  9 28.000000     7.9957472877      21.091904646  
1954 10  8.000000     8.0152619276      21.049288309  
1954 10 18.000000     8.0285660224      21.023933733  
1954 10 28.000000     8.0354428553      21.010982063  
1954 11  7.000000     8.0360262542      21.009254030  
1954 11 17.000000     8.0306521835      21.022497463  
1954 11 27.000000     8.0195184416      21.056587262  
1954 12  7.000000     8.0027951421      21.113537735  
1954 12 17.000000     7.9808877547      21.188441355  
1954 12 27.000000     7.9545918400      21.271693054  
1955  1  6.000000     7.9252972822      21.353936439  
1955  1 16.000000     7.8947027513      21.431241187  
1955  1 26.000000     7.8643750235      21.505522396  
1955  2  5.000000     7.8356156858      21.579651660  
1955  2 15.000000     7.8093584496      21.652636264  
1955  2 25.000000     7.7864455259      21.717872248  
1955  3  7.000000     7.7679089710      21.766369057  
1955  3 17.000000     7.7547915918      21.792809523  
1955  3 27.000000     7.7479825228      21.798300765  
1955  4  6.000000     7.7479070983      21.788732475  
1955  4 16.000000     7.7543522381      21.769767029  
1955  4 26.000000     7.7668222704      21.741853057  
1955  5  6.000000     7.7847929722      21.700537274  
1955  5 16.000000     7.8078874619      21.640559370  
1955  5 26.000000     7.8359214946      21.560376204  
1955  6  5.000000     7.8685381689      21.464506074  
1955  6 15.000000     7.9050443373      21.360627784  
1955  6 25.000000     7.9444714233      21.254353898  
1955  7  5.000000     7.9856926895      21.146343568  
1955  7 15.000000     8.0278008861      21.032999694  
1955  7 25.000000     8.0701880520      20.910884381  
1955  8  4.000000     8.1123446935      20.781388571  
1955  8 14.000000     8.1537314496      20.651157950  
1955  8 24.000000     8.1935187175      20.528998357  
1955  9  3.000000     8.2306294753      20.420790732  
1955  9 13.000000     8.2640709134      20.326673217  
1955  9 23.000000     8.2930539457      20.243346359  
1955 10  3.000000     8.3171213918      20.168512357  
1955 10 13.000000     8.3360563963      20.104675895  
1955 10 23.000000     8.3495328308      20.059239862  
1955 11  2.000000     8.3571161165      20.039586252  
1955 11 12.000000     8.3583460559      20.048085083  
1955 11 22.000000     8.3529382486      20.080647394  
1955 12  2.000000     8.3411568057      20.129316124  
1955 12 12.000000     8.3237431856      20.188165314  
1955 12 22.000000     8.3017149482      20.256484676  
1956  1  1.000000     8.2761791927      20.337059108  
1956  1 11.000000     8.2480562770      20.431476880  
1956  1 21.000000     8.2182716106      20.535255174  
1956  1 31.000000     8.1880095023      20.638231755  
1956  2 10.000000     8.1586980031      20.729758450  
1956  2 20.000000     8.1319971605      20.803739593  
1956  3  1.000000     8.1093921493      20.861046868  
1956  3 11.000000     8.0918254449      20.906369240  
1956  3 21.000000     8.0797902603      20.941982396  
1956  3 31.000000     8.0734402092      20.964973789  
1956  4 10.000000     8.0729026141      20.968683088  
1956  4 20.000000     8.0784643308      20.947437819  
1956  4 30.000000     8.0903023530      20.901421274  
1956  5 10.000000     8.1083257874      20.836393504  
1956  5 20.000000     8.1320302169      20.759584756  
1956  5 30.000000     8.1605173452      20.674845872  
1956  6  9.000000     8.1929011856      20.580326998  
1956  6 19.000000     8.2284758905      20.471476262  
1956  6 29.000000     8.2667162948      20.345994712  
1956  7  9.000000     8.3072093144      20.206917363  
1956  7 19.000000     8.3493015716      20.062135940  
1956  7 29.000000     8.3920502683      19.919710986  
1956  8  8.000000     8.4344063610      19.783215798  
1956  8 18.000000     8.4753392558      19.651356576  
1956  8 28.000000     8.5141073941      19.520869557  
1956  9  7.000000     8.5502223195      19.391551713  
1956  9 17.000000     8.5831794814      19.269002069  
1956  9 27.000000     8.6123787509      19.162244505  
1956 10  7.000000     8.6370051450      19.078979400  
1956 10 17.000000     8.6561694259      19.021399022  
1956 10 27.000000     8.6692740435      18.986023399  
1956 11  6.000000     8.6760535557      18.968240448  
1956 11 16.000000     8.6765985553      18.966789600  
1956 11 26.000000     8.6712222945      18.985303525  
1956 12  6.000000     8.6601498632      19.029492503  
1956 12 16.000000     8.6436302434      19.100935604  
1956 12 26.000000     8.6221030408      19.194231504  
1957  1  5.000000     8.5963458035      19.299004318  
1957  1 15.000000     8.5676886401      19.404800864  
1957  1 25.000000     8.5377373541      19.506595128  
1957  2  4.000000     8.5080303555      19.605094738  
1957  2 14.000000     8.4798856608      19.702104780  
1957  2 24.000000     8.4542518641      19.795791997  
1957  3  6.000000     8.4319777899      19.878645842  
1957  3 16.000000     8.4140288663      19.940918222  
1957  3 26.000000     8.4013550395      19.976580427  
1957  4  5.000000     8.3947972239      19.986146614  
1957  4 15.000000     8.3947645176      19.975345440  
1957  4 25.000000     8.4010947559      19.949935169  
1957  5  5.000000     8.4133576930      19.910629528  
1957  5 15.000000     8.4310354264      19.853388702  
1957  5 25.000000     8.4537369876      19.773218087  
1957  6  4.000000     8.4812397124      19.668933202  
1957  6 14.000000     8.5131644019      19.545570006  
1957  6 24.000000     8.5488708719      19.411378564  
1957  7  4.000000     8.5874588989      19.272764838  
1957  7 14.000000     8.6278622386      19.131128815  
1957  7 24.000000     8.6692059635      18.983450354  
1957  8  3.000000     8.7108423598      18.826933719  
1957  8 13.000000     8.7522242257      18.663499500  
1957  8 23.000000     8.7928116995      18.500378454  
1957  9  2.000000     8.8318047271      18.347120230  
1957  9 12.000000     8.8682039973      18.210184181  
1957  9 22.000000     8.9010665056      18.090301512  
1957 10  2.000000     8.9295894357      17.984713397  
1957 10 12.000000     8.9532808592      17.891470125  
1957 10 22.000000     8.9718679744      17.813499747  
1957 11  1.000000     8.9850183503      17.758539903  
1957 11 11.000000     8.9923623987      17.734131535  
1957 11 21.000000     8.9934987936      17.742805787  
1957 12  1.000000     8.9881846001      17.780359681  
1957 12 11.000000     8.9766678847      17.838563281  
1957 12 21.000000     8.9596132920      17.911115324  
1957 12 31.000000     8.9379966451      17.996643883  
1958  1 10.000000     8.9129229407      18.097183073  
1958  1 20.000000     8.8853461122      18.213494246  
