v15.04    Планета: Уран  (INPOP13C)
          Спутник: U4 Оберон  (Lainey V., 2015..)
                            - эфемериды на инт. 1847/01/00.5-2146/02/12.7
   Обсерватория N:  84 - Pulkovo
    Шкала времени: UTC
Средний экватор и равноденствие эпохи J2000.  ICRF. 
Координаты астрометрические 
Год  Месяц День       alpha (h)          delta (º)
1952  2  1.000000     6.8332837592      23.336277289  
1952  2 11.000000     6.8088060200      23.351299429  
1952  2 21.000000     6.7891225639      23.385306200  
1952  3  2.000000     6.7767261213      23.409414524  
1952  3 12.000000     6.7702887143      23.401209778  
1952  3 22.000000     6.7685916955      23.390840307  
1952  4  1.000000     6.7737371741      23.397430812  
1952  4 11.000000     6.7868562304      23.389662426  
1952  4 21.000000     6.8055188247      23.351837901  
1952  5  1.000000     6.8282565960      23.316381467  
1952  5 11.000000     6.8566187115      23.296169805  
1952  5 21.000000     6.8907725325      23.258441685  
1952  5 31.000000     6.9278549878      23.194129105  
1952  6 10.000000     6.9664634475      23.137329846  
1952  6 20.000000     7.0080305546      23.094915165  
1952  6 30.000000     7.0521482116      23.033717116  
1952  7 10.000000     7.0957726858      22.952012733  
1952  7 20.000000     7.1379554301      22.884992099  
1952  7 30.000000     7.1800666791      22.833887060  
1952  8  9.000000     7.2212463774      22.766122773  
1952  8 19.000000     7.2585907494      22.686851896  
1952  8 29.000000     7.2915596764      22.631970061  
1952  9  8.000000     7.3215752326      22.596671356  
1952  9 18.000000     7.3475773858      22.548694911  
1952  9 28.000000     7.3668435449      22.499665110  
1952 10  8.000000     7.3795459640      22.484302433  
1952 10 18.000000     7.3874210880      22.490321936  
1952 10 28.000000     7.3894203427      22.485492599  
1952 11  7.000000     7.3835682802      22.485971284  
1952 11 17.000000     7.3710940345      22.522967709  
1952 11 27.000000     7.3544177540      22.575626820  
1952 12  7.000000     7.3330803497      22.611326107  
1952 12 17.000000     7.3061004338      22.650472535  
1952 12 27.000000     7.2760301742      22.719260050  
1953  1  6.000000     7.2460211088      22.789348398  
1953  1 16.000000     7.2158405104      22.831552844  
1953  1 26.000000     7.1852383108      22.871388905  
1953  2  5.000000     7.1573130828      22.930847680  
1953  2 15.000000     7.1347758932      22.978428096  
1953  2 25.000000     7.1167861645      22.991752384  
1953  3  7.000000     7.1027497682      23.001728953  
1953  3 17.000000     7.0952037650      23.026076005  
1953  3 27.000000     7.0956327708      23.031618868  
1953  4  6.000000     7.1019677927      23.003837917  
1953  4 16.000000     7.1131407644      22.976496848  
1953  4 26.000000     7.1309995364      22.961281615  
1953  5  6.000000     7.1557669288      22.924405096  
1953  5 16.000000     7.1847377059      22.858313174  
1953  5 26.000000     7.2167648105      22.797934256  
1953  6  5.000000     7.2532755678      22.748870136  
1953  6 15.000000     7.2938359204      22.677372217  
1953  6 25.000000     7.3354887423      22.583082980  
1953  7  5.000000     7.3773644951      22.501578606  
1953  7 15.000000     7.4208069295      22.432473672  
1953  7 25.000000     7.4648328178      22.343380435  
1953  8  4.000000     7.5065832043      22.240920211  
1953  8 14.000000     7.5456122490      22.160723123  
1953  8 24.000000     7.5831266991      22.096952875  
1953  9  3.000000     7.6178861774      22.018359878  
1953  9 13.000000     7.6472207132      21.938279150  
1953  9 23.000000     7.6711459997      21.891417839  
1953 10  3.000000     7.6910282165      21.865150822  
1953 10 13.000000     7.7054885278      21.829264476  
1953 10 23.000000     7.7123452385      21.802348266  
1953 11  2.000000     7.7124978616      21.815496614  
1953 11 12.000000     7.7076891080      21.848162272  
1953 11 22.000000     7.6969466288      21.869995546  
1953 12  2.000000     7.6790659691      21.902986277  
1953 12 12.000000     7.6561173547      21.972752216  
1953 12 22.000000     7.6306939010      22.049798412  
1954  1  1.000000     7.6023741219      22.105478928  
1954  1 11.000000     7.5709445129      22.165587858  
1954  1 21.000000     7.5395559741      22.249749214  
1954  1 31.000000     7.5109408934      22.323701748  
1954  2 10.000000     7.4845658803      22.364835980  
1954  2 20.000000     7.4604562996      22.403854079  
1954  3  2.000000     7.4415478231      22.456274914  
1954  3 12.000000     7.4296612279      22.486727567  
1954  3 22.000000     7.4232609013      22.481042460  
1954  4  1.000000     7.4217884714      22.473975790  
1954  4 11.000000     7.4274534801      22.475605806  
1954  4 21.000000     7.4406933162      22.450955948  
1954  5  1.000000     7.4590467964      22.393764395  
1954  5 11.000000     7.4817122823      22.339849533  
1954  5 21.000000     7.5102156718      22.293467343  
1954  5 31.000000     7.5440913044      22.220323711  
1954  6 10.000000     7.5805687246      22.121334901  
1954  6 20.000000     7.6188933738      22.032521103  
1954  6 30.000000     7.6603633104      21.952114834  
1954  7 10.000000     7.7039544596      21.847504590  
1954  7 20.000000     7.7468653210      21.726850106  
1954  7 30.000000     7.7887462724      21.625408546  
1954  8  9.000000     7.8306794976      21.536194054  
1954  8 19.000000     7.8712713149      21.428739332  
1954  8 29.000000     7.9079673556      21.317668488  
1954  9  8.000000     7.9407432840      21.237404975  
1954  9 18.000000     7.9706391911      21.174971513  
1954  9 28.000000     7.9961096402      21.101756563  
1954 10  8.000000     8.0148935452      21.038322775  
1954 10 18.000000     8.0276154602      21.015875391  
1954 10 28.000000     8.0355027875      21.014236230  
1954 11  7.000000     8.0371276647      21.005899771  
1954 11 17.000000     8.0310702685      21.014802483  
1954 11 27.000000     8.0189057928      21.066605593  
1954 12  7.000000     8.0024922944      21.132313613  
1954 12 17.000000     7.9810632653      21.184813724  
1954 12 27.000000     7.9542475469      21.250861554  
1955  1  6.000000     7.9248675494      21.348590566  
1955  1 16.000000     7.8954065188      21.441917588  
1955  1 26.000000     7.8654105308      21.508074736  
1955  2  5.000000     7.8352795478      21.577255982  
1955  2 15.000000     7.8082284795      21.662190415  
1955  2 25.000000     7.7862733502      21.725045234  
1955  3  7.000000     7.7684480081      21.751263768  
1955  3 17.000000     7.7548034544      21.775592484  
1955  3 27.000000     7.7479128828      21.806197387  
1955  4  6.000000     7.7485568434      21.806210065  
1955  4 16.000000     7.7546783546      21.770392114  
1955  4 26.000000     7.7658866408      21.735143574  
1955  5  6.000000     7.7839341948      21.703242020  
1955  5 16.000000     7.8084046334      21.639686271  
1955  5 26.000000     7.8367607702      21.546651178  
1955  6  5.000000     7.8684791138      21.460533865  
1955  6 15.000000     7.9048021473      21.378350282  
1955  6 25.000000     7.9447120990      21.267144408  
1955  7  5.000000     7.9855340044      21.136337006  
1955  7 15.000000     8.0269839472      21.021172780  
1955  7 25.000000     8.0700797561      20.913219333  
1955  8  4.000000     8.1133289983      20.782618135  
1955  8 14.000000     8.1542830423      20.645113519  
1955  8 24.000000     8.1929681977      20.534554198  
1955  9  3.000000     8.2301678363      20.437495519  
1955  9 13.000000     8.2642251512      20.326549878  
1955  9 23.000000     8.2929497066      20.223667186  
1955 10  3.000000     8.3167561910      20.160009528  
1955 10 13.000000     8.3364856562      20.115756836  
1955 10 23.000000     8.3504278340      20.065859995  
1955 11  2.000000     8.3569858292      20.036344779  
1955 11 12.000000     8.3573381189      20.053036289  
1955 11 22.000000     8.3526348767      20.088365174  
1955 12  2.000000     8.3416906812      20.117823251  
1955 12 12.000000     8.3239169287      20.169535295  
1955 12 22.000000     8.3015758291      20.261583646  
1956  1  1.000000     8.2766084009      20.357544742  
1956  1 11.000000     8.2484417595      20.435419302  
1956  1 21.000000     8.2175284152      20.525195980  
1956  1 31.000000     8.1870688108      20.637256497  
1956  2 10.000000     8.1590809720      20.731475611  
1956  2 20.000000     8.1329960552      20.792665225  
1956  3  1.000000     8.1094740257      20.854550258  
1956  3 11.000000     8.0913893226      20.922859101  
1956  3 21.000000     8.0798713067      20.958444912  
1956  3 31.000000     8.0734445580      20.956018719  
1956  4 10.000000     8.0722047524      20.952238261  
1956  4 20.000000     8.0782062227      20.947892445  
1956  4 30.000000     8.0912375398      20.906980648  
1956  5 10.000000     8.1090681148      20.832669173  
1956  5 20.000000     8.1315054904      20.761619678  
1956  5 30.000000     8.1598189091      20.689579682  
1956  6  9.000000     8.1929998573      20.583233163  
1956  6 19.000000     8.2286069696      20.453034124  
1956  6 29.000000     8.2664367184      20.334353180  
1956  7  9.000000     8.3074353822      20.217491552  
1956  7 19.000000     8.3501016193      20.072694467  
1956  7 29.000000     8.3920846188      19.916936474  
1956  8  8.000000     8.4334798058      19.783370418  
1956  8 18.000000     8.4749039605      19.657853160  
1956  8 28.000000     8.5146088550      19.514001381  
1956  9  7.000000     8.5505499675      19.374571952  
1956  9 17.000000     8.5830340362      19.270480083  
1956  9 27.000000     8.6125759372      19.182076289  
1956 10  7.000000     8.6373537610      19.086161784  
1956 10 17.000000     8.6556939278      19.010386481  
1956 10 27.000000     8.6684499162      18.980851406  
1956 11  6.000000     8.6762393248      18.971328044  
1956 11 16.000000     8.6774930747      18.960411244  
1956 11 26.000000     8.6714218105      18.977855446  
1956 12  6.000000     8.6597041645      19.042433482  
1956 12 16.000000     8.6435711993      19.119204507  
1956 12 26.000000     8.6221935875      19.187827979  
1957  1  5.000000     8.5958477750      19.279082375  
1957  1 15.000000     8.5673555288      19.402208925  
1957  1 25.000000     8.5384989109      19.515959178  
1957  2  4.000000     8.5088594725      19.604779548  
1957  2 14.000000     8.4794723014      19.701205750  
1957  2 24.000000     8.4533960871      19.808234720  
1957  3  6.000000     8.4319685459      19.884347594  
1957  3 16.000000     8.4143502260      19.923287491  
1957  3 26.000000     8.4011970975      19.961029409  
1957  4  5.000000     8.3948609978      19.996132247  
1957  4 15.000000     8.3954841469      19.990722210  
1957  4 25.000000     8.4012784111      19.948592450  
1957  5  5.000000     8.4124457323      19.906280562  
1957  5 15.000000     8.4304127802      19.858024749  
1957  5 25.000000     8.4542444886      19.769993680  
1957  6  4.000000     8.4817947860      19.653461555  
1957  6 14.000000     8.5130417909      19.543871059  
1957  6 24.000000     8.5488451916      19.430428642  
1957  7  4.000000     8.5877567588      19.283208857  
1957  7 14.000000     8.6275768474      19.120194418  
1957  7 24.000000     8.6684399519      18.974212026  
1957  8  3.000000     8.7108734024      18.830017333  
1957  8 13.000000     8.7530714516      18.662050072  
1957  8 23.000000     8.7931360991      18.493722956  
1957  9  2.000000     8.8313641230      18.355307043  
1957  9 12.000000     8.8680014316      18.227236785  
1957  9 22.000000     8.9011879344      18.087552633  
1957 10  2.000000     8.9293108299      17.964952790  
1957 10 12.000000     8.9529598846      17.885601385  
1957 10 22.000000     8.9723743259      17.824375324  
1957 11  1.000000     8.9857531658      17.762472183  
1957 11 11.000000     8.9921351435      17.731348035  
1957 11 21.000000     8.9927311749      17.750508810  
1957 12  1.000000     8.9880738475      17.787420609  
1957 12 11.000000     8.9770107167      17.824365759  
1957 12 21.000000     8.9595736634      17.893394268  
1957 12 31.000000     8.9379612112      18.004370604  
1958  1 10.000000     8.9134661774      18.116466211  
1958  1 20.000000     8.8856156136      18.214878024  
