v15.04    Планета: Уран  (INPOP13C)
          Спутник: U1 Ариэль  (GUST86, Laskar J. et al (1987) A&A, v.188, p.212.)
   Обсерватория N:  84 - Pulkovo
    Шкала времени: UTC
Средний экватор и равноденствие эпохи J2000.  ICRF. 
Координаты астрометрические 

Год  Месяц День       alpha (h)          delta (º)
1952  2  1.000000     6.8321899346      23.336440735  
1952  2 11.000000     6.8085490152      23.364360576  
1952  2 21.000000     6.7896878601      23.385579576  
1952  3  2.000000     6.7764151625      23.399682080  
1952  3 12.000000     6.7692984008      23.406392492  
1952  3 22.000000     6.7685956234      23.405739902  
1952  4  1.000000     6.7744072182      23.397720128  
1952  4 11.000000     6.7865865614      23.382393173  
1952  4 21.000000     6.8047900909      23.359955941  
1952  5  1.000000     6.8285990887      23.330481287  
1952  5 11.000000     6.8574141524      23.294207401  
1952  5 21.000000     6.8905736544      23.251466116  
1952  5 31.000000     6.9273932874      23.202566771  
1952  6 10.000000     6.9670755022      23.148121157  
1952  6 20.000000     7.0088506191      23.088817997  
1952  6 30.000000     7.0519295980      23.025473938  
1952  7 10.000000     7.0954651271      22.959265362  
1952  7 20.000000     7.1386791016      22.891386314  
1952  7 30.000000     7.1807555843      22.823282128  
1952  8  9.000000     7.2208746369      22.756654849  
1952  8 19.000000     7.2582977496      22.693133348  
1952  8 29.000000     7.2922465161      22.634590541  
1952  9  8.000000     7.3220071156      22.582887434  
1952  9 18.000000     7.3469576250      22.539668383  
1952  9 28.000000     7.3664823114      22.506628954  
1952 10  8.000000     7.3801253879      22.485043604  
1952 10 18.000000     7.3875546469      22.475782145  
1952 10 28.000000     7.3885504125      22.479412330  
1952 11  7.000000     7.3831595374      22.495701481  
1952 11 17.000000     7.3715990775      22.523920359  
1952 11 27.000000     7.3543163187      22.562785350  
1952 12  7.000000     7.3320677374      22.610228702  
1952 12 17.000000     7.3057683252      22.663949114  
1952 12 27.000000     7.2765750939      22.721275240  
1953  1  6.000000     7.2458254321      22.779317034  
1953  1 16.000000     7.2148722676      22.835511653  
1953  1 26.000000     7.1851518182      22.887362622  
1953  2  5.000000     7.1580097573      22.932795025  
1953  2 15.000000     7.1346163439      22.970323090  
1953  2 25.000000     7.1160264810      22.998692094  
1953  3  7.000000     7.1030004579      23.017212826  
1953  3 17.000000     7.0960603699      23.025546418  
1953  3 27.000000     7.0955357095      23.023449690  
1953  4  6.000000     7.1014485150      23.011087112  
1953  4 16.000000     7.1136670076      22.988647203  
1953  4 26.000000     7.1318959493      22.956370401  
1953  5  6.000000     7.1556387892      22.914781779  
1953  5 16.000000     7.1843592180      22.864311273  
1953  5 26.000000     7.2174041378      22.805565693  
1953  6  5.000000     7.2540358323      22.739380608  
1953  6 15.000000     7.2935414253      22.666536094  
1953  6 25.000000     7.3351172080      22.588152950  
1953  7  5.000000     7.3779597643      22.505510102  
1953  7 15.000000     7.4212985242      22.419922589  
1953  7 25.000000     7.4642908774      22.333123399  
1953  8  4.000000     7.5061486886      22.246866033  
1953  8 14.000000     7.5460974889      22.163022862  
1953  8 24.000000     7.5833256599      22.083776892  
1953  9  3.000000     7.6171167804      22.011135062  
1953  9 13.000000     7.6467577903      21.947207821  
1953  9 23.000000     7.6715704874      21.894094537  
1953 10  3.000000     7.6910186244      21.853444817  
1953 10 13.000000     7.7046020713      21.826833574  
1953 10 23.000000     7.7119722931      21.815318111  
1953 11  2.000000     7.7129822285      21.819247645  
1953 11 12.000000     7.7076041879      21.838596670  
1953 11 22.000000     7.6960882416      21.872413515  
1953 12  2.000000     7.6789201508      21.919038056  
1953 12 12.000000     7.6567765392      21.976339486  
1953 12 22.000000     7.6306436048      22.041363775  
1954  1  1.000000     7.6016603643      22.110971347  
1954  1 11.000000     7.5711068999      22.181896934  
1954  1 21.000000     7.5404138139      22.250713443  
1954  1 31.000000     7.5109437358      22.314542116  
1954  2 10.000000     7.4840288596      22.370784867  
1954  2 20.000000     7.4608921816      22.417263547  
1954  3  2.000000     7.4424913282      22.452585328  
1954  3 12.000000     7.4296249206      22.475627991  
1954  3 22.000000     7.4228265429      22.485784660  
1954  4  1.000000     7.4223475212      22.482946928  
1954  4 11.000000     7.4282854288      22.467046015  
1954  4 21.000000     7.4404778023      22.438441747  
1954  5  1.000000     7.4585980057      22.397643441  
1954  5 11.000000     7.4822314168      22.345143615  
1954  5 21.000000     7.5107812587      22.281820622  
1954  5 31.000000     7.5436141704      22.208533957  
1954  6 10.000000     7.5800501794      22.126257028  
1954  6 20.000000     7.6193059342      22.036331576  
1954  6 30.000000     7.6606373441      21.940032679  
1954  7 10.000000     7.7032555701      21.838939261  
1954  7 20.000000     7.7463330532      21.734908657  
1954  7 30.000000     7.7891059704      21.629738771  
1954  8  9.000000     7.8307553147      21.525637131  
1954  8 19.000000     7.8704810293      21.424897750  
1954  8 29.000000     7.9075458696      21.329753828  
1954  9  8.000000     7.9411684247      21.242768110  
1954  9 18.000000     7.9706519933      21.166276225  
1954  9 28.000000     7.9953662126      21.102472966  
1954 10  8.000000     8.0146987632      21.053545040  
1954 10 18.000000     8.0282064542      21.021029192  
1954 10 28.000000     8.0355463630      21.006130270  
1954 11  7.000000     8.0365118055      21.009500650  
1954 11 17.000000     8.0311567412      21.030795941  
1954 11 27.000000     8.0196900516      21.069159760  
1954 12  7.000000     8.0025776081      21.122796481  
1954 12 17.000000     7.9805719504      21.189007427  
1954 12 27.000000     7.9545801340      21.264763095  
1955  1  6.000000     7.9257681962      21.346301116  
1955  1 16.000000     7.8954500794      21.429705163  
1955  1 26.000000     7.8649651128      21.511281940  
1955  2  5.000000     7.8357374205      21.587286480  
1955  2 15.000000     7.8090746944      21.654645491  
1955  2 25.000000     7.7861337196      21.710854062  
1955  3  7.000000     7.7679451642      21.753793118  
1955  3 17.000000     7.7552382561      21.782232212  
1955  3 27.000000     7.7485347555      21.795317072  
1955  4  6.000000     7.7481442017      21.792599222  
1955  4 16.000000     7.7540816478      21.774254596  
1955  4 26.000000     7.7662289058      21.740506197  
1955  5  6.000000     7.7842824426      21.691940976  
1955  5 16.000000     7.8077608229      21.629462204  
1955  5 26.000000     7.8361454116      21.553906389  
1955  6  5.000000     7.8687829577      21.466523003  
1955  6 15.000000     7.9049618076      21.368681974  
1955  6 25.000000     7.9439805140      21.261769790  
1955  7  5.000000     7.9850399553      21.147649764  
1955  7 15.000000     8.0273627957      21.028170607  
1955  7 25.000000     8.0701805015      20.905359301  
1955  8  4.000000     8.1126581054      20.781665848  
1955  8 14.000000     8.1540266974      20.659429061  
1955  8 24.000000     8.1935059582      20.541267391  
1955  9  3.000000     8.2302954615      20.430003083  
1955  9 13.000000     8.2636884824      20.328224596  
1955  9 23.000000     8.2929637974      20.238738289  
1955 10  3.000000     8.3174592049      20.164122668  
1955 10 13.000000     8.3366395839      20.106524786  
1955 10 23.000000     8.3500018207      20.067989730  
1955 11  2.000000     8.3572170369      20.049765456  
1955 11 12.000000     8.3581345056      20.052418420  
1955 11 22.000000     8.3527330633      20.075933785  
1955 12  2.000000     8.3412806147      20.119074870  
1955 12 12.000000     8.3242542906      20.179883974  
1955 12 22.000000     8.3023418295      20.255589337  
1956  1  1.000000     8.2765309738      20.342397743  
1956  1 11.000000     8.2479414171      20.436306384  
1956  1 21.000000     8.2178548187      20.532869362  
1956  1 31.000000     8.1876769988      20.627519944  
1956  2 10.000000     8.1587404137      20.716257674  
1956  2 20.000000     8.1323657327      20.795257046  
1956  3  1.000000     8.1097351980      20.861392768  
1956  3 11.000000     8.0917819891      20.912398181  
