v15.04    Планета: Уран  (INPOP13C)
          Спутник: U2 Умбриэль  (GUST86, Laskar J. et al (1987) A&A, v.188, p.212.)
   Обсерватория N:  84 - Pulkovo
    Шкала времени: UTC
Средний экватор и равноденствие эпохи J2000.  ICRF. 

Координаты астрометрические 
Год  Месяц День       alpha (h)          delta (º)
1952  2  1.000000     6.8320849607      23.336801769  
1952  2 11.000000     6.8091349781      23.360418091  
1952  2 21.000000     6.7897717273      23.389115404  
1952  3  2.000000     6.7766150683      23.391947406  
1952  3 12.000000     6.7697045211      23.407842982  
1952  3 22.000000     6.7684092965      23.400571321  
1952  4  1.000000     6.7748653194      23.393069388  
1952  4 11.000000     6.7863629402      23.382249075  
1952  4 21.000000     6.8049011280      23.351088039  
1952  5  1.000000     6.8286229652      23.331913068  
1952  5 11.000000     6.8570691826      23.287347739  
1952  5 21.000000     6.8907592703      23.249620740  
1952  5 31.000000     6.9268884408      23.202072367  
1952  6 10.000000     6.9670875814      23.142448294  
1952  6 20.000000     7.0085700887      23.092981661  
1952  6 30.000000     7.0515710702      23.020638960  
1952  7 10.000000     7.0954958256      22.962672492  
1952  7 20.000000     7.1381309535      22.892504812  
1952  7 30.000000     7.1808446528      22.822762523  
1952  8  9.000000     7.2205297626      22.763763820  
1952  8 19.000000     7.2581622194      22.691037199  
1952  8 29.000000     7.2923157369      22.642417094  
1952  9  8.000000     7.3216651771      22.584384941  
1952  9 18.000000     7.3472769140      22.542924982  
1952  9 28.000000     7.3662554935      22.513678176  
1952 10  8.000000     7.3803468371      22.483573133  
1952 10 18.000000     7.3877311923      22.484347537  
1952 10 28.000000     7.3885099629      22.477981335  
1952 11  7.000000     7.3836814842      22.499461950  
1952 11 17.000000     7.3714912276      22.526654864  
1952 11 27.000000     7.3548177601      22.559436566  
1952 12  7.000000     7.3322222614      22.615542698  
1952 12 17.000000     7.3059290843      22.657509831  
1952 12 27.000000     7.2770658957      22.723280412  
1953  1  6.000000     7.2456891538      22.775812093  
1953  1 16.000000     7.2153935314      22.830418120  
1953  1 26.000000     7.1850564930      22.888314278  
1953  2  5.000000     7.1581622860      22.923301620  
1953  2 15.000000     7.1347911410      22.971437559  
1953  2 25.000000     7.1157291247      22.991559076  
1953  3  7.000000     7.1032918578      23.013708879  
1953  3 17.000000     7.0956318781      23.024744126  
1953  3 27.000000     7.0955741651      23.015778205  
1953  4  6.000000     7.1012517006      23.014138953  
1953  4 16.000000     7.1132807709      22.982460359  
1953  4 26.000000     7.1319610405      22.957778499  
1953  5  6.000000     7.1550641370      22.915193636  
1953  5 16.000000     7.1843974000      22.861811309  
1953  5 26.000000     7.2170500186      22.811826415  
1953  6  5.000000     7.2537950740      22.736345356  
1953  6 15.000000     7.2935758980      22.673036840  
1953  6 25.000000     7.3346860498      22.589787637  
1953  7  5.000000     7.3781785194      22.507675590  
1953  7 15.000000     7.4210289671      22.427308234  
1953  7 25.000000     7.4643724134      22.331797453  
1953  8  4.000000     7.5062862209      22.255356309  
1953  8 14.000000     7.5459577909      22.163079648  
1953  8 24.000000     7.5837580131      22.087495139  
1953  9  3.000000     7.6169944395      22.015690635  
1953  9 13.000000     7.6471363710      21.944758583  
1953  9 23.000000     7.6717502906      21.900562916  
1953 10  3.000000     7.6911082279      21.849046976  
1953 10 13.000000     7.7050876600      21.829282782  
1953 10 23.000000     7.7118761897      21.814132947  
1953 11  2.000000     7.7134633815      21.814510705  
1953 11 12.000000     7.7076276174      21.840955995  
1953 11 22.000000     7.6962302225      21.863634639  
1953 12  2.000000     7.6792103499      21.920070290  
1953 12 12.000000     7.6565497469      21.970066659  
1953 12 22.000000     7.6310003371      22.036597489  
1954  1  1.000000     7.6013645748      22.110461326  
1954  1 11.000000     7.5711675182      22.172657334  
1954  1 21.000000     7.5403466027      22.252835301  
1954  1 31.000000     7.5105676067      22.307263549  
1954  2 10.000000     7.4841589382      22.370077652  
1954  2 20.000000     7.4603387180      22.417037345  
1954  3  2.000000     7.4425049154      22.447720385  
1954  3 12.000000     7.4292937014      22.481028951  
1954  3 22.000000     7.4224974154      22.481284068  
1954  4  1.000000     7.4223684162      22.488018973  
1954  4 11.000000     7.4277608981      22.468430243  
1954  4 21.000000     7.4406159643      22.439196783  
1954  5  1.000000     7.4582685666      22.405255774  
1954  5 11.000000     7.4821838907      22.343447450  
1954  5 21.000000     7.5108732519      22.290267382  
1954  5 31.000000     7.5433620817      22.209556458  
1954  6 10.000000     7.5804090700      22.129887373  
1954  6 20.000000     7.6191358487      22.042369699  
1954  6 30.000000     7.6609152886      21.938326679  
1954  7 10.000000     7.7034321225      21.846444568  
1954  7 20.000000     7.7463539114      21.732422280  
1954  7 30.000000     7.7895744492      21.632757426  
1954  8  9.000000     7.8306758857      21.526689067  
1954  8 19.000000     7.8709147598      21.421059306  
1954  8 29.000000     7.9076472992      21.333472955  
1954  9  8.000000     7.9412900125      21.235664337  
1954  9 18.000000     7.9710040391      21.167505719  
1954  9 28.000000     7.9952108833      21.097998432  
1954 10  8.000000     8.0150651075      21.048490020  
1954 10 18.000000     8.0280569606      21.021275828  
1954 10 28.000000     8.0356114453      20.996799660  
1954 11  7.000000     8.0365763166      21.010800664  
1954 11 17.000000     8.0308452953      21.023597767  
1954 11 27.000000     8.0198721149      21.066518716  
1954 12  7.000000     8.0021430257      21.122251022  
1954 12 17.000000     7.9805696545      21.182078739  
1954 12 27.000000     7.9543496199      21.268970058  
1955  1  6.000000     7.9254050774      21.340457589  
1955  1 16.000000     7.8954908008      21.432790924  
1955  1 26.000000     7.8644194372      21.512228143  
1955  2  5.000000     7.8358046166      21.586031032  
1955  2 15.000000     7.8087302086      21.662164169  
1955  2 25.000000     7.7859618086      21.708199925  
1955  3  7.000000     7.7680006108      21.761902151  
1955  3 17.000000     7.7548682866      21.783816749  
1955  3 27.000000     7.7488148870      21.798535439  
1955  4  6.000000     7.7479073078      21.800066731  
1955  4 16.000000     7.7542507800      21.772885379  
1955  4 26.000000     7.7663854337      21.749245088  
1955  5  6.000000     7.7842154328      21.691017932  
1955  5 16.000000     7.8082152676      21.633223192  
1955  5 26.000000     7.8360489767      21.557121214  
1955  6  5.000000     7.8691865325      21.463588851  
1955  6 15.000000     7.9051118040      21.374014731  
1955  6 25.000000     7.9440870022      21.256317651  
1955  7  5.000000     7.9854504414      21.149513600  
1955  7 15.000000     8.0272565663      21.025616122  
1955  7 25.000000     8.0705736123      20.900583768  
1955  8  4.000000     8.1126184543      20.782926194  
1955  8 14.000000     8.1541111074      20.650769258  
1955  8 24.000000     8.1936739159      20.542144638  
1955  9  3.000000     8.2300559647      20.423651769  
1955  9 13.000000     8.2639110724      20.324375308  
1955  9 23.000000     8.2926618535      20.238191434  
1955 10  3.000000     8.3174562231      20.156180087  
1955 10 13.000000     8.3365284758      20.109292803  
1955 10 23.000000     8.3496676398      20.061595396  
1955 11  2.000000     8.3572867589      20.050504554  
1955 11 12.000000     8.3576698321      20.052780433  
1955 11 22.000000     8.3527419816      20.072540802  
1955 12  2.000000     8.3410067479      20.125511887  
1955 12 12.000000     8.3240049890      20.176152762  
1955 12 22.000000     8.3023853351      20.262233209  
1956  1  1.000000     8.2761155270      20.344118152  
1956  1 11.000000     8.2481215972      20.438300678  
1956  1 21.000000     8.2175976153      20.541163447  
1956  1 31.000000     8.1877118819      20.625984123  
1956  2 10.000000     8.1588693407      20.725785182  
1956  2 20.000000     8.1321946580      20.795651978  
1956  3  1.000000     8.1101378150      20.865674315  
1956  3 11.000000     8.0916497085      20.917866380  
