v15.04    Планета: Уран  (INPOP13C)
          Спутник: U3 Титани  (GUST86, Laskar J. et al (1987) A&A, v.188, p.212.)
   Обсерватория N:  84 - Pulkovo
    Шкала времени: UTC
Средний экватор и равноденствие эпохи J2000.  ICRF. 
Координаты астрометрические 

Год  Месяц День       alpha (h)          delta (º)
1952  2  1.000000     6.8318860570      23.340267157  
1952  2 11.000000     6.8082949278      23.359052989  
1952  2 21.000000     6.7898929496      23.374951337  
1952  3  2.000000     6.7771012795      23.391170158  
1952  3 12.000000     6.7700786763      23.405080874  
1952  3 22.000000     6.7689871047      23.410390057  
1952  4  1.000000     6.7742155989      23.401977572  
1952  4 11.000000     6.7860537654      23.380092986  
1952  4 21.000000     6.8043870998      23.350168039  
1952  5  1.000000     6.8286423159      23.318296615  
1952  5 11.000000     6.8578175758      23.286648919  
1952  5 21.000000     6.8909311243      23.251988887  
1952  5 31.000000     6.9273113080      23.208486202  
1952  6 10.000000     6.9664897186      23.152888068  
1952  6 20.000000     7.0080794775      23.087337662  
1952  6 30.000000     7.0514200449      23.018229183  
1952  7 10.000000     7.0954416538      22.951937824  
1952  7 20.000000     7.1389769513      22.890295571  
1952  7 30.000000     7.1809645896      22.830318675  
1952  8  9.000000     7.2206743242      22.767713983  
1952  8 19.000000     7.2577157493      22.701286058  
1952  8 29.000000     7.2916458226      22.635543458  
1952  9  8.000000     7.3217986481      22.578454537  
1952  9 18.000000     7.3472704150      22.536261144  
1952  9 28.000000     7.3670626039      22.509958969  
1952 10  8.000000     7.3805380776      22.495441670  
1952 10 18.000000     7.3875274695      22.487633249  
1952 10 28.000000     7.3881996421      22.485484712  
1952 11  7.000000     7.3829007232      22.493001055  
1952 11 17.000000     7.3718037443      22.516148949  
1952 11 27.000000     7.3550043209      22.557282411  
1952 12  7.000000     7.3328745061      22.611996333  
1952 12 17.000000     7.3062287585      22.671457285  
1952 12 27.000000     7.2764983408      22.727626490  
1953  1  6.000000     7.2454510953      22.777938100  
1953  1 16.000000     7.2146693523      22.825584386  
1953  1 26.000000     7.1854272052      22.874624378  
1953  2  5.000000     7.1586461601      22.924869457  
1953  2 15.000000     7.1351665417      22.970593725  
1953  2 25.000000     7.1160775145      23.003757749  
1953  3  7.000000     7.1025061823      23.019862579  
1953  3 17.000000     7.0953799024      23.020752361  
1953  3 27.000000     7.0951362385      23.012558458  
1953  4  6.000000     7.1015278015      23.000685006  
1953  4 16.000000     7.1140077376      22.985237949  
1953  4 26.000000     7.1320578317      22.961290359  
1953  5  6.000000     7.1553207921      22.923269843  
1953  5 16.000000     7.1836440486      22.869410914  
1953  5 26.000000     7.2166932604      22.803714232  
1953  6  5.000000     7.2537282186      22.733201297  
1953  6 15.000000     7.2937223922      22.662587392  
1953  6 25.000000     7.3355063309      22.591573757  
1953  7  5.000000     7.3781456517      22.515908744  
1953  7 15.000000     7.4210682893      22.431565306  
1953  7 25.000000     7.4638004433      22.339390359  
1953  8  4.000000     7.5057959445      22.245498143  
1953  8 14.000000     7.5461986893      22.157845879  
1953  8 24.000000     7.5838663711      22.081503509  
1953  9  3.000000     7.6177608760      22.015919997  
1953  9 13.000000     7.6471110399      21.957152520  
1953  9 23.000000     7.6714918772      21.902583345  
1953 10  3.000000     7.6907304137      21.854413810  
1953 10 13.000000     7.7045072841      21.819637064  
1953 10 23.000000     7.7123255144      21.805399107  
1953 11  2.000000     7.7136717240      21.813769906  
1953 11 12.000000     7.7082306955      21.840624896  
1953 11 22.000000     7.6962787484      21.878397642  
1953 12  2.000000     7.6786244437      21.921672648  
1953 12 12.000000     7.6563170842      21.970562266  
1953 12 22.000000     7.6304524010      22.028755486  
1954  1  1.000000     7.6019180054      22.098618604  
1954  1 11.000000     7.5715889392      22.176686321  
1954  1 21.000000     7.5406723777      22.253892491  
1954  1 31.000000     7.5106726755      22.320781094  
1954  2 10.000000     7.4833243368      22.372651117  
1954  2 20.000000     7.4601805536      22.411444239  
1954  3  2.000000     7.4421815758      22.442621148  
1954  3 12.000000     7.4297826516      22.468937012  
1954  3 22.000000     7.4231333291      22.487643366  
1954  4  1.000000     7.4223732883      22.492295829  
1954  4 11.000000     7.4278443987      22.477416423  
1954  4 21.000000     7.4397814110      22.443167150  
1954  5  1.000000     7.4580823888      22.395152869  
1954  5 11.000000     7.4822050544      22.340032449  
1954  5 21.000000     7.5111881301      22.280918469  
1954  5 31.000000     7.5440905065      22.215335981  
1954  6 10.000000     7.5802205814      22.138076919  
1954  6 20.000000     7.6190806859      22.046371812  
1954  6 30.000000     7.6602749555      21.942759023  
1954  7 10.000000     7.7031458876      21.834371670  
1954  7 20.000000     7.7466808794      21.728534317  
1954  7 30.000000     7.7897667293      21.628003836  
1954  8  9.000000     7.8313506435      21.530718439  
1954  8 19.000000     7.8706957613      21.432925419  
1954  8 29.000000     7.9073670728      21.333855805  
1954  9  8.000000     7.9408923042      21.238564822  
1954  9 18.000000     7.9706395841      21.155566289  
1954  9 28.000000     7.9957464844      21.091895454  
1954 10  8.000000     8.0152616624      21.049270382  
1954 10 18.000000     8.0285665251      21.023922569  
1954 10 28.000000     8.0354436551      21.010985305  
1954 11  7.000000     8.0360266984      21.009268210  
1954 11 17.000000     8.0306518931      21.022511143  
1954 11 27.000000     8.0195174847      21.056588964  
1954 12  7.000000     8.0027943346      21.113524236  
1954 12 17.000000     7.9808877059      21.188424568  
1954 12 27.000000     7.9545925005      21.271686238  
1955  1  6.000000     7.9252980999      21.353944357  
1955  1 16.000000     7.8947030541      21.431259011  
1955  1 26.000000     7.8643744594      21.505534859  
1955  2  5.000000     7.8356147346      21.579648440  
1955  2 15.000000     7.8093578729      21.652620061  
1955  2 25.000000     7.7864457769      21.717856347  
1955  3  7.000000     7.7679098279      21.766365189  
1955  3 17.000000     7.7547923001      21.792819774  
1955  3 27.000000     7.7479825318      21.798316971  
1955  4  6.000000     7.7479063128      21.788740239  
1955  4 16.000000     7.7543512660      21.769759576  
1955  4 26.000000     7.7668218804      21.741836811  
1955  5  6.000000     7.7847933312      21.700525520  
1955  5 16.000000     7.8078882887      21.640560510  
1955  5 26.000000     7.8359220522      21.560389844  
1955  6  5.000000     7.8685379861      21.464521253  
1955  6 15.000000     7.9050435620      21.360631983  
1955  6 25.000000     7.9444706693      21.254344280  
1955  7  5.000000     7.9856925177      21.146326925  
1955  7 15.000000     8.0278014206      21.032990259  
1955  7 25.000000     8.0701888056      20.910888647  
1955  8  4.000000     8.1123450792      20.781402142  
1955  8 14.000000     8.1537311558      20.651169565  
1955  8 24.000000     8.1935178688      20.528998455  
1955  9  3.000000     8.2306287892      20.420777590  
1955  9 13.000000     8.2640708720      20.326657895  
1955  9 23.000000     8.2930544980      20.243341014  
1955 10  3.000000     8.3171220656      20.168520154  
1955 10 13.000000     8.3360566481      20.104692198  
1955 10 23.000000     8.3495323545      20.059250735  
1955 11  2.000000     8.3571152888      20.039582393  
1955 11 12.000000     8.3583455230      20.048070055  
1955 11 22.000000     8.3529384040      20.080633530  
1955 12  2.000000     8.3411575659      20.129313693  
1955 12 12.000000     8.3237438796      20.188177005  
1955 12 22.000000     8.3017150058      20.256500026  
1956  1  1.000000     8.2761785238      20.337065446  
1956  1 11.000000     8.2480553937      20.431468198  
1956  1 21.000000     8.2182711993      20.535237295  
1956  1 31.000000     8.1880098563      20.638219960  
1956  2 10.000000     8.1586987839      20.729760803  
1956  2 20.000000     8.1319976734      20.803754399  
1956  3  1.000000     8.1093919201      20.861062455  
1956  3 11.000000     8.0918245995      20.906372594  
