v15.04    Планета: Уран  (INPOP13C)
          Спутник: U4 Оберон  (GUST86, Laskar J. et al (1987) A&A, v.188, p.212.)
   Обсерватория N:  84 - Pulkovo
    Шкала времени: UTC
Средний экватор и равноденствие эпохи J2000.  ICRF. 
Координаты астрометрические 

Год  Месяц День       alpha (h)          delta (º)
1952  2  1.000000     6.8332837243      23.336257972  
1952  2 11.000000     6.8088045967      23.351299598  
1952  2 21.000000     6.7891226261      23.385324598  
1952  3  2.000000     6.7767273013      23.409412173  
1952  3 12.000000     6.7702884484      23.401190495  
1952  3 22.000000     6.7685903848      23.390843936  
1952  4  1.000000     6.7737374469      23.397448380  
1952  4 11.000000     6.7868573326      23.389657160  
1952  4 21.000000     6.8055183756      23.351820720  
1952  5  1.000000     6.8282553850      23.316389106  
1952  5 11.000000     6.8566191765      23.296185951  
1952  5 21.000000     6.8907734712      23.258433837  
1952  5 31.000000     6.9278543301      23.194114031  
1952  6 10.000000     6.9664623691      23.137340285  
1952  6 20.000000     7.0080311909      23.094928784  
1952  6 30.000000     7.0521490290      23.033706308  
1952  7 10.000000     7.0957718410      22.951999631  
1952  7 20.000000     7.1379545684      22.885004419  
1952  7 30.000000     7.1800674940      22.833898146  
1952  8  9.000000     7.2212470541      22.766109486  
1952  8 19.000000     7.2585897839      22.686841065  
1952  8 29.000000     7.2915590255      22.631984887  
1952  9  8.000000     7.3215761688      22.596680308  
1952  9 18.000000     7.3475778487      22.548679430  
1952  9 28.000000     7.3668424302      22.499657118  
1952 10  8.000000     7.3795454657      22.484320100  
1952 10 18.000000     7.3874221041      22.490328461  
1952 10 28.000000     7.3894206176      22.485475485  
1952 11  7.000000     7.3835670186      22.485966219  
1952 11 17.000000     7.3710937524      22.522986166  
1952 11 27.000000     7.3544188916      22.575629785  
1952 12  7.000000     7.3330804619      22.611306754  
1952 12 17.000000     7.3060991287      22.650470429  
1952 12 27.000000     7.2760300850      22.719279164  
1953  1  6.000000     7.2460223092      22.789348094  
1953  1 16.000000     7.2158404150      22.831533587  
1953  1 26.000000     7.1852369680      22.871390630  
1953  2  5.000000     7.1573132052      22.930866827  
1953  2 15.000000     7.1347770560      22.978425428  
1953  2 25.000000     7.1167858302      22.991734334  
1953  3  7.000000     7.1027484509      23.001733941  
1953  3 17.000000     7.0952041080      23.026093881  
1953  3 27.000000     7.0956338364      23.031612899  
1953  4  6.000000     7.1019672606      23.003820636  
1953  4 16.000000     7.1131396202      22.976504332  
1953  4 26.000000     7.1310000562      22.961297085  
1953  5  6.000000     7.1557678877      22.924395788  
1953  5 16.000000     7.1847370199      22.858297922  
1953  5 26.000000     7.2167638727      22.797944695  
1953  6  5.000000     7.2532762542      22.748883619  
1953  6 15.000000     7.2938367073      22.677360760  
1953  6 25.000000     7.3354879028      22.583070407  
1953  7  5.000000     7.3773636977      22.501591663  
1953  7 15.000000     7.4208077206      22.432484391  
1953  7 25.000000     7.4648333911      22.343367193  
1953  8  4.000000     7.5065821838      22.240910269  
1953  8 14.000000     7.5456116449      22.160737920  
1953  8 24.000000     7.5831276109      22.096961041  
1953  9  3.000000     7.6178865897      22.018344060  
1953  9 13.000000     7.6472196321      21.938271692  
1953  9 23.000000     7.6711456351      21.891434308  
1953 10  3.000000     7.6910292327      21.865156144  
1953 10 13.000000     7.7054887538      21.829246740  
1953 10 23.000000     7.7123440834      21.802343904  
1953 11  2.000000     7.7124976793      21.815514745  
1953 11 12.000000     7.7076901832      21.848165001  
1953 11 22.000000     7.6969466261      21.869977025  
1953 12  2.000000     7.6790647019      21.902985525  
1953 12 12.000000     7.6561173409      21.972771501  
1953 12 22.000000     7.6306949789      22.049797830  
1954  1  1.000000     7.6023739463      22.105459268  
1954  1 11.000000     7.5709432501      22.165590423  
1954  1 21.000000     7.5395561707      22.249767633  
1954  1 31.000000     7.5109420182      22.323697240  
1954  2 10.000000     7.4845655109      22.364816705  
1954  2 20.000000     7.4604551026      22.403859551  
1954  3  2.000000     7.4415482196      22.456292123  
1954  3 12.000000     7.4296622734      22.486720787  
1954  3 22.000000     7.4232603184      22.481025374  
1954  4  1.000000     7.4217873746      22.473984504  
1954  4 11.000000     7.4274540382      22.475621019  
1954  4 21.000000     7.4406941780      22.450946875  
1954  5  1.000000     7.4590460301      22.393749248  
1954  5 11.000000     7.4817113365      22.339860805  
1954  5 21.000000     7.5102163450      22.293480061  
1954  5 31.000000     7.5440919925      22.220311877  
1954  6 10.000000     7.5805678542      22.121322282  
1954  6 20.000000     7.6188926687      22.032534471  
1954  6 30.000000     7.6603641102      21.952124979  
1954  7 10.000000     7.7039550092      21.847490520  
1954  7 20.000000     7.7468643729      21.726840711  
1954  7 30.000000     7.7887457694      21.625423748  
1954  8  9.000000     7.8306804001      21.536201453  
1954  8 19.000000     7.8712716538      21.428724072  
1954  8 29.000000     7.9079662933      21.317662034  
1954  9  8.000000     7.9407429492      21.237421835  
1954  9 18.000000     7.9706401010      21.174976036  
1954  9 28.000000     7.9961097704      21.101739398  
1954 10  8.000000     8.0148924152      21.038319430  
1954 10 18.000000     8.0276153434      21.015893309  
1954 10 28.000000     8.0355037829      21.014237820  
1954 11  7.000000     8.0371276285      21.005881199  
1954 11 17.000000     8.0310691269      21.014801936  
1954 11 27.000000     8.0189058958      21.066623876  
1954 12  7.000000     8.0024933384      21.132312072  
1954 12 17.000000     7.9810630244      21.184794882  
1954 12 27.000000     7.9542463813      21.250864882  
1955  1  6.000000     7.9248678012      21.348609422  
1955  1 16.000000     7.8954075081      21.441913036  
1955  1 26.000000     7.8654100964      21.508056447  
1955  2  5.000000     7.8352783724      21.577263045  
1955  2 15.000000     7.8082288950      21.662207401  
1955  2 25.000000     7.7862742737      21.725037509  
1955  3  7.000000     7.7684474026      21.751246824  
1955  3 17.000000     7.7548024170      21.775601864  
1955  3 27.000000     7.7479134923      21.806212205  
1955  4  6.000000     7.7485576979      21.806199736  
1955  4 16.000000     7.7546776115      21.770378105  
1955  4 26.000000     7.7658857916      21.735155226  
1955  5  6.000000     7.7839349464      21.703254702  
1955  5 16.000000     7.8084052987      21.639674450  
1955  5 26.000000     7.8367599052      21.546639638  
1955  6  5.000000     7.8684784526      21.460547662  
1955  6 15.000000     7.9048029417      21.378359882  
1955  6 25.000000     7.9447125410      21.267130291  
1955  7  5.000000     7.9855330390      21.136327877  
1955  7 15.000000     8.0269834863      21.021187904  
1955  7 25.000000     8.0700806088      20.913226091  
1955  8  4.000000     8.1133292709      20.782602592  
1955  8 14.000000     8.1542820469      20.645107744  
1955  8 24.000000     8.1929679727      20.534570320  
1955  9  3.000000     8.2301687776      20.437499463  
1955  9 13.000000     8.2642252487      20.326533280  
1955  9 23.000000     8.2929486939      20.223664556  
1955 10  3.000000     8.3167561353      20.160027153  
1955 10 13.000000     8.3364865822      20.115757701  
1955 10 23.000000     8.3504277198      20.065842604  
1955 11  2.000000     8.3569847498      20.036345339  
1955 11 12.000000     8.3573382395      20.053053904  
1955 11 22.000000     8.3526358041      20.088363258  
1955 12  2.000000     8.3416903710      20.117805081  
1955 12 12.000000     8.3239158649      20.169538910  
1955 12 22.000000     8.3015761613      20.261601268  
1956  1  1.000000     8.2766093514      20.357539406  
1956  1 11.000000     8.2484413005      20.435401568  
1956  1 21.000000     8.2175274284      20.525202798  
1956  1 31.000000     8.1870693068      20.637273517  
1956  2 10.000000     8.1590818561      20.731467233  
1956  2 20.000000     8.1329954278      20.792649121  
1956  3  1.000000     8.1094731093      20.854560450  
1956  3 11.000000     8.0913899330      20.922873855  
